N	2gram	Bakhtin_Pr_4	Vvedenie
1	и в	46	32
2	в том	9	31
3	в этом	16	30
4	том что	4	26
5	может быть	23	26
6	не только	14	22
7	того чтобы	1	20
8	таким образом	4	19
9	также и	3	18
10	то что	4	16
11	потому что	4	15
12	так как	5	15
13	не может	19	14
14	в самом	9	13
15	в нем	17	13
16	о том	5	13
17	со стороны	1	13
18	в их	4	12
19	в общем	2	12
20	в его	9	12
21	только в	6	12
22	и не	27	12
23	как на	1	12
24	как мы	12	11
25	в ее	1	11
26	в данном	2	11
27	что такое	2	11
28	языка и	2	10
29	что в	4	10
30	то же	6	9
31	и как	2	9
32	но в	6	9
33	по себе	7	9
34	между тем	2	9
35	в той	3	9
36	этом смысле	2	9
37	а только	1	8
38	это не	5	8
39	не в	10	8
40	не менее	2	8
41	с другой	3	8
42	именно в	1	8
43	самом деле	4	7
44	вопрос о	2	7
45	но не	4	7
46	все же	4	7
47	было бы	3	7
48	точки зрения	11	7
49	можно было	2	7
50	прежде всего	9	7
51	о котором	2	7
52	в большей	2	7
53	смысле слова	2	6
54	и это	3	6
55	из этих	3	6
56	как он	3	6
57	широком смысле	2	6
58	его в	1	6
59	как и	12	6
60	вовсе не	9	6
61	в то	5	6
62	же время	5	6
63	тем что	3	6
64	не могут	3	6
65	один из	1	6
66	этот вопрос	2	6
67	и его	6	6
68	и даже	3	6
69	до сих	8	6
70	но и	12	6
71	а именно	1	6
72	сих пор	8	6
73	все это	6	6
74	работы над	1	6
75	хотя бы	2	6
76	одним из	3	5
77	а как	2	5
78	в целом	1	5
79	в широком	1	5
80	с их	1	5
81	об этом	2	5
82	на почве	2	5
83	и тем	2	5
84	данном случае	1	5
85	в них	1	5
86	но если	3	5
87	в которых	2	5
88	сказать что	2	5
89	могут быть	2	5
90	так что	2	5
91	уже в	4	5
92	не есть	1	5
93	что не	1	5
94	на этот	2	5
95	а не	11	5
96	как бы	19	5
97	другой стороны	3	5
98	есть и	2	5
99	в какой	1	5
100	вместе с	2	5
101	и то	1	4
102	как это	1	4
103	связи между	2	4
104	в первом	1	4
105	той же	3	4
106	мы имеем	3	4
107	язык как	1	4
108	по отношению	5	4
109	от этого	2	4
110	уже не	4	4
111	так или	1	4
112	в себе	7	4
113	но ведь	2	4
114	должен был	1	4
115	в своей	3	4
116	в котором	5	4
117	по сравнению	1	4
118	только с	1	4
119	в каждом	6	4
120	здесь нет	3	4
121	это только	1	4
122	и т.д	3	4
123	времени и	2	4
124	и что	3	4
125	еще не	7	4
126	что он	6	4
127	с одной	1	4
128	речь в	2	4
129	всяком случае	1	4
130	как раз	7	4
131	даже и	1	4
132	что могло	1	4
133	одной стороны	1	4
134	или иначе	1	4
135	по мере	4	4
136	еще и	4	4
137	сравнению с	1	4
138	этом случае	1	4
139	и для	3	4
140	а в	2	4
141	отношению к	5	4
142	во всяком	2	4
143	не признать	1	3
144	и есть	1	3
145	собственном смысле	1	3
146	в сущности	7	3
147	так чтобы	3	3
148	не вполне	1	3
149	то это	3	3
150	в виду	4	3
151	и на	11	3
152	он сам	2	3
153	в различных	3	3
154	своего рода	4	3
155	сама по	2	3
156	в центре	3	3
157	стороны и	2	3
158	однако не	1	3
159	хотя и	6	3
160	и к	9	3
161	сливается с	1	3
162	бы и	2	3
163	что это	1	3
164	все эти	4	3
165	в этой	3	3
166	что она	1	3
167	при этом	5	3
168	если бы	3	3
169	не как	3	3
170	отношений между	1	3
171	свое время	2	3
172	на этом	3	3
173	на нее	1	3
174	на этой	1	3
175	в свое	2	3
176	в прямом	1	3
177	и уже	1	3
178	строгом смысле	2	3
179	чем в	1	3
180	духовной жизни	1	3
181	как целое	1	3
182	нисколько не	1	3
183	в этих	4	3
184	от себя	1	3
185	и вот	1	3
186	однако в	1	3
187	тогда когда	1	3
188	дело в	3	3
189	дело не	1	3
190	своей природе	2	3
191	связи с	1	3
192	как будто	1	3
193	в области	1	3
194	языка в	2	3
195	но все	2	3
196	себе что	2	3
197	в ней	1	3
198	в собственном	1	3
199	на том	2	3
200	что может	1	3
201	во второй	1	3
202	и вообще	1	3
203	можно сказать	4	3
204	к нему	5	3
205	и других	4	3
206	в известной	2	3
207	в одном	11	3
208	в конце	3	3
209	что и	3	3
210	отношение к	3	3
211	может служить	1	3
212	свое выражение	1	3
