N	2gram	Losev_Dial_4	PoTuStor
1	может быть	17	17
2	и в	15	16
3	и пр	9	12
4	в этом	11	9
5	таким образом	5	9
6	и только	2	9
7	мы можем	3	9
8	прежде всего	11	9
9	и с	4	8
10	точки зрения	14	8
11	и его	7	8
12	не может	11	8
13	совершенно не	3	8
14	с его	5	7
15	не только	8	7
16	сказать что	6	7
17	я и	1	6
18	конечно не	2	6
19	при этом	2	6
20	с точки	9	6
21	и это	8	6
22	еще не	4	5
23	в чем	8	5
24	отношение к	1	5
25	все эти	3	5
26	сознание и	1	5
27	что такое	5	5
28	только для	3	5
29	ни в	8	5
30	в него	1	5
31	как бы	14	5
32	на самом	1	4
33	и ее	8	4
34	и на	5	4
35	отнюдь не	4	4
36	и наконец	3	4
37	но в	3	4
38	в этой	4	4
39	в нем	5	4
40	и может	2	4
41	его в	1	4
42	в один	3	4
43	все это	9	4
44	как мы	1	4
45	с ее	10	4
46	так и	5	4
47	но мы	2	4
48	можно сказать	5	4
49	в его	4	4
50	с ними	4	4
51	только в	7	4
52	для всех	3	4
53	и их	2	4
54	так как	14	4
55	и даже	6	4
56	но и	4	4
57	и не	30	4
58	и все	11	4
59	хотя бы	4	4
60	все что	2	4
61	отношения к	3	3
62	тех же	2	3
63	едва ли	3	3
64	во всех	2	3
65	в общем	1	3
66	и есть	19	3
67	и как	4	3
68	и художественного	1	3
69	учение о	5	3
70	с их	4	3
71	чувств и	1	3
72	и теперь	1	3
73	и вот	11	3
74	их в	1	3
75	на этом	3	3
76	этом смысле	4	3
77	том что	10	3
78	никаких оснований	1	3
79	в одном	4	3
80	по крайней	7	3
81	и притом	3	3
82	в основе	10	3
83	чем не	1	3
84	и оно	1	3
85	к себе	1	3
86	те же	1	3
87	мира и	1	3
88	по сравнению	2	3
89	с другими	1	3
90	крайней мере	7	3
91	и она	1	3
92	в том	11	3
93	даже не	2	3
94	в области	3	3
95	но оно	1	3
96	вместе с	2	3
97	и потому	3	3
98	как это	2	3
99	сравнению с	2	3
100	могут быть	3	3
101	что в	7	3
102	а в	1	3
103	то что	16	3
104	жизни и	4	3
105	во всяком	2	3
106	нем нет	2	2
107	же как	1	2
108	в самом	2	2
109	и этот	1	2
110	мы уже	3	2
111	мы не	9	2
112	и о	8	2
113	говорить о	11	2
114	и говорить	1	2
115	на них	1	2
116	на высоте	1	2
117	из этих	2	2
118	но как	2	2
119	нет и	2	2
120	за пределы	3	2
121	с этим	3	2
122	в этот	2	2
123	что это	13	2
124	и через	1	2
125	но ведь	1	2
126	вообще не	1	2
127	он не	1	2
128	момента в	1	2
129	и по	2	2
130	то же	9	2
131	связанные с	1	2
132	и мы	7	2
133	было бы	9	2
134	в жизни	5	2
135	в них	2	2
136	всю жизнь	1	2
137	как и	7	2
138	между собою	2	2
139	потому и	1	2
140	на первый	1	2
141	в своей	3	2
142	почти не	1	2
143	знаем что	1	2
144	рождение и	1	2
145	можем сказать	2	2
146	и вся	1	2
147	этих трех	1	2
148	не менее	2	2
149	никогда не	2	2
150	и лишь	1	2
151	здесь же	1	2
152	что на	2	2
153	в каком	5	2
154	не могут	2	2
155	что оно	7	2
156	не будет	2	2
157	как не	2	2
158	только то	1	2
159	в пределах	1	2
160	быть может	1	2
161	для этого	2	2
162	и вообще	7	2
163	с ним	3	2
164	находится в	2	2
165	о том	5	2
166	другими словами	5	2
167	что и	6	2
168	во всей	2	2
169	один из	4	2
170	оно и	3	2
171	сделать это	2	2
172	мы видим	4	2
173	что он	7	2
174	и так	2	2
175	поэтому и	1	2
176	есть в	4	2
177	с нею	1	2
178	да еще	2	2
179	не можем	1	2
180	если мы	5	2
181	об его	3	2
182	в душе	1	2
183	и других	1	2
184	цели и	1	2
185	для меня	2	2
186	оно не	2	2
187	себя и	3	2
188	что не	3	2
189	что мы	7	2
190	в частности	2	2
191	необходимость и	1	2
192	так же	4	2
193	в область	1	2
194	чувства и	2	2
195	с этой	2	2
196	в свое	2	2
197	своей жизни	1	2
198	но это	4	2
199	и для	5	2
200	сознания и	3	2
201	в голову	1	2
202	не удается	1	2
203	нет никаких	1	2
204	не есть	40	2
205	из тех	1	2
206	не знает	1	2
207	есть и	3	2
208	ее в	2	2
209	к этому	3	2
210	во сне	1	2
211	можно назвать	3	2
212	говоря о	1	1
213	потом и	1	1
214	человека и	2	1
215	нельзя это	1	1
216	все остальное	1	1
217	и то	3	1
218	он может	1	1
219	и помогает	1	1
220	это и	9	1
221	жизни мы	1	1
222	самый предмет	1	1
223	случае нельзя	1	1
224	каком отношении	1	1
225	его не	1	1
226	хорошо и	1	1
227	мы имеем	5	1
228	что если	3	1
229	теперь мы	7	1
230	мир не	2	1
231	вопрос о	2	1
232	одних и	2	1
233	память о	1	1
234	так чтобы	3	1
235	оно есть	4	1
236	я не	5	1
237	из того	1	1
238	конечно и	1	1
239	же что	3	1
240	зависимости от	1	1
241	в ней	5	1
242	же нужно	1	1
243	как один	1	1
244	первый план	1	1
245	иное как	8	1
246	где же	1	1
247	оно совершенно	1	1
248	коем случае	2	1
249	полной самостоятельности	1	1
250	не входит	1	1
251	значение и	1	1
252	ее самой	1	1
253	мы сейчас	1	1
254	что они	4	1
255	в течение	4	1
256	общего с	3	1
257	сам же	1	1
258	все же	2	1
259	в полном	1	1
260	хотя и	6	1
261	когда он	3	1
262	что по	2	1
263	сомнений в	1	1
264	этой цели	1	1
265	от этого	3	1
266	уже не	9	1
267	та же	3	1
268	ни один	2	1
269	а во-вторых	1	1
270	сказать о	1	1
271	в нашем	1	1
272	или во	1	1
273	как он	1	1
274	имеем в	1	1
275	необходимости не	1	1
276	всей его	2	1
277	человек не	1	1
278	как совершенно	1	1
279	что она	5	1
280	что было	2	1
281	главным образом	2	1
282	время и	2	1
283	но именно	2	1
284	даже тогда	1	1
285	есть та	1	1
286	идеи и	4	1
287	именно и	1	1
288	только те	1	1
289	подобно тому	4	1
290	ли от	1	1
291	с чем	1	1
292	две сферы	2	1
293	человека в	1	1
294	от нее	3	1
295	а вместе	1	1
296	то ни	4	1
297	для всей	1	1
298	как они	1	1
299	а то	1	1
300	что мир	1	1
301	не должна	1	1
302	конечно в	1	1
303	что никакого	1	1
304	той же	5	1
305	по смыслу	2	1
306	на все	2	1
307	лишь в	2	1
308	образ не	1	1
309	входит в	1	1
310	это было	2	1
311	ничего удивительного	1	1
312	этот больной	1	1
313	истории и	2	1
314	мы сказали	1	1
315	на большой	1	1
316	весь мир	2	1
317	еще одно	1	1
318	чтобы прежде	1	1
319	он является	1	1
320	с тем	4	1
321	как кажется	1	1
322	одна и	1	1
323	все моменты	1	1
324	нечто третье	2	1
325	похоже на	1	1
326	ясно из	1	1
327	форма и	1	1
328	действительно не	1	1
329	смысл и	3	1
330	одного и	1	1
331	и еще	1	1
332	взаимоотношение двух	1	1
333	но если	5	1
334	что есть	2	1
335	отождествление с	1	1
336	свой смысл	1	1
337	что я	5	1
338	которые в	1	1
339	в философии	1	1
340	друг другу	1	1
341	это сознание	1	1
342	на другую	4	1
343	есть еще	2	1
344	оно само	1	1
345	важный момент	1	1
346	вещей и	1	1
347	однако в	2	1
348	общего не	2	1
349	она по	1	1
350	можно ли	1	1
351	существует для	1	1
352	или что	2	1
353	иной раз	3	1
354	есть прежде	3	1
355	в смысле	5	1
356	тогда когда	5	1
357	дело в	1	1
358	одна из	1	1
359	в сущности	5	1
360	что иное	8	1
361	того чтобы	5	1
362	можно получить	1	1
363	работы но	1	1
364	только не	3	1
365	не имеет	14	1
366	это мы	1	1
367	не их	2	1
368	или прямо	1	1
369	наука и	1	1
370	и всегда	1	1
371	в коем	2	1
372	ничего не	17	1
373	того в	1	1
374	что жизнь	1	1
375	она хочет	4	1
376	во всем	2	1
377	связи с	1	1
378	ничто не	2	1
379	в виду	9	1
380	только одним	1	1
381	с определяющей	1	1
382	от того	2	1
383	у меня	1	1
384	деятельности и	1	1
385	в духе	1	1
386	состояние организма	1	1
387	самостоятельности и	2	1
388	третье что	1	1
389	его за	1	1
390	но откуда	1	1
391	отличается от	1	1
392	должны быть	4	1
393	той или	4	1
394	она же	1	1
395	день и	2	1
396	она не	4	1
397	ничего общего	4	1
398	из всего	1	1
399	надо искать	1	1
400	без всякого	2	1
401	данном случае	1	1
402	только при	1	1
403	тело в	1	1
404	в себя	5	1
405	и возможна	1	1
406	роль в	1	1
407	и что	9	1
408	ее жизнь	1	1
409	что может	1	1
410	пусть в	1	1
411	можно было	1	1
412	его жизни	1	1
413	мог бы	2	1
414	только свои	1	1
415	именно этот	2	1
416	qua non	1	1
417	к тем	1	1
418	это только	1	1
419	если бы	6	1
420	в глубине	2	1
421	в разных	2	1
422	о ней	2	1
423	о нем	2	1
424	часто и	2	1
425	и здесь	1	1
426	имеем дело	1	1
427	и та	3	1
428	говорит об	1	1
429	необходим для	1	1
430	познание и	1	1
431	говорить об	2	1
432	этот момент	3	1
433	с нами	1	1
434	эти два	2	1
435	никаких сомнений	1	1
436	никаких вопросов	1	1
437	не более	1	1
438	в другой	1	1
439	как учение	1	1
440	и можно	5	1
441	в свете	5	1
442	все время	1	1
443	человека как	1	1
444	и об	3	1
445	вся жизнь	1	1
446	это приводит	1	1
447	войдя в	1	1
448	к нему	1	1
449	что здесь	3	1
450	но так	1	1
451	что только	1	1
452	философии и	1	1
453	биологическая и	1	1
454	тот же	1	1
455	и познание	4	1
456	бы из	1	1
457	сознания ни	1	1
458	бы ни	2	1
459	кроме этого	1	1
460	и жизни	2	1
461	с одной	1	1
462	в качестве	2	1
463	себя в	2	1
464	же и	2	1
465	этого третьего	1	1
466	мы принуждены	1	1
467	уже в	1	1
468	и они	1	1
469	то и	2	1
470	в нашей	2	1
471	сделать и	1	1
472	а это	2	1
473	рано или	1	1
474	веры и	6	1
475	не дает	2	1
476	его и	1	1
477	наука о	1	1
478	в конце	1	1
479	вовсе не	6	1
480	в землю	1	1
481	с этими	1	1
482	ее не	1	1
483	как его	1	1
484	случае не	2	1
485	заметить что	1	1
486	не говорит	5	1
487	как раз	4	1
488	себе свою	1	1
489	даже и	3	1
490	для того	5	1
491	науки в	1	1
492	и всему	1	1
493	притом чисто	1	1
494	или поздно	1	1
495	со стороны	3	1
496	или иной	1	1
497	с другой	1	1
498	моменты и	1	1
499	и тех	2	1
500	эти две	3	1
501	и прежде	1	1
502	в свою	3	1
503	на которые	1	1
504	мы еще	2	1
505	психику как	1	1
506	что для	1	1
507	говорит о	3	1
508	ее сами	1	1
509	них и	1	1
510	у нас	3	1
511	на этот	1	1
512	и самый	1	1
513	а не	18	1
514	своем месте	1	1
515	именно так	2	1
516	жизнь в	1	1
517	имеют какой-нибудь	1	1
518	об ее	2	1
519	не всегда	3	1
520	именно оно	1	1
521	становится ясным	1	1
522	в связи	1	1
523	всех трех	1	1
524	утверждение что	1	1
525	из мира	1	1
526	в человеке	2	1
527	в данном	3	1
528	он будет	1	1
529	тому как	4	1
530	и основной	1	1
531	что же	2	1
532	а потом	1	1
533	быть только	1	1
534	наконец и	1	1
535	в состоянии	1	1
536	глубине ее	1	1
537	быть не	2	1
538	нам из	1	1
539	несколько слов	1	1
540	человека который	1	1
541	есть то	5	1
542	и действия	1	1
543	имеет значение	1	1
544	это отличие	1	1
545	это уже	1	1
546	и часто	2	1
547	делает ее	1	1
548	при таком	2	1
549	потому не	1	1
550	да по	1	1
551	она может	1	1
552	мы только	2	1
553	бы второе	1	1
554	которой можно	1	1
555	которая в	1	1
556	sine qua	1	1
