N	2gram	Savitsky_E_1	Russkaja
1	не может	9	22
2	и не	14	19
3	в том	11	17
4	в этом	12	17
5	и в	37	14
6	с другом	3	14
7	друг с	3	14
8	то что	6	13
9	то же	15	11
10	точки зрения	23	11
11	таким образом	2	11
12	в то	16	10
13	же время	14	10
14	но и	14	10
15	в себе	9	9
16	не только	18	9
17	том что	6	9
18	с точки	17	9
19	может быть	6	9
20	во всяком	3	9
21	того чтобы	6	8
22	прежде всего	9	8
23	как на	3	8
24	отнюдь не	9	7
25	и если	2	7
26	и с	2	7
27	в данном	3	7
28	к тому	8	7
29	не будет	3	7
30	россии в	4	7
31	о том	3	7
32	мы должны	2	7
33	к которой	1	6
34	если в	2	6
35	в своем	14	6
36	и к	3	6
37	в россии	5	6
38	с тем	3	6
39	в своих	2	6
40	признать что	1	6
41	если бы	2	6
42	и для	3	6
43	для того	6	6
44	всяком случае	3	6
45	для всех	1	6
46	для него	1	6
47	вопрос о	4	5
48	и на	6	5
49	между собой	2	5
50	во всех	6	5
51	на то	6	5
52	в нем	1	5
53	при этом	1	5
54	он не	2	5
55	было бы	8	5
56	в своей	8	5
57	никогда не	3	5
58	данного народа	3	5
59	потому что	3	5
60	между тем	8	5
61	и только	3	5
62	только в	9	5
63	хотя бы	15	5
64	конечно не	1	5
65	в последние	6	5
66	или иной	4	5
67	а в	2	5
68	жизни в	3	5
69	романо-германцев и	4	4
70	и то	2	4
71	смотреть на	1	4
72	бы то	4	4
73	но не	5	4
74	все же	1	4
75	более или	1	4
76	не в	5	4
77	в этой	2	4
78	в корне	1	4
79	на земле	1	4
80	тому чтобы	2	4
81	то ни	4	4
82	в совершенно	1	4
83	том случае	1	4
84	как и	7	4
85	или менее	1	4
86	в их	11	4
87	тогда когда	2	4
88	во всем	1	4
89	ли это	3	4
90	от того	1	4
91	не могут	2	4
92	в мире	2	4
93	можно было	3	4
94	при том	1	4
95	в его	2	4
96	так как	7	4
97	со стороны	5	4
98	вместе с	2	4
99	что же	2	4
100	как бы	6	4
101	отказаться от	1	4
102	жизни и	2	4
103	что в	21	4
104	к этой	1	4
105	все что	1	4
106	и т	1	3
107	то в	4	3
108	и этот	2	3
109	признание что	1	3
110	говорить о	1	3
111	в будущем	3	3
112	он сам	2	3
113	окажется в	1	3
114	самих себя	1	3
115	россии и	3	3
116	в самом	4	3
117	что это	2	3
118	главным образом	2	3
119	и по	5	3
120	лишь в	1	3
121	для них	2	3
122	о которых	1	3
123	несмотря на	4	3
124	должно быть	1	3
125	всех этих	1	3
126	но если	5	3
127	и сейчас	2	3
128	мы говорили	1	3
129	можно ли	3	3
130	одна из	1	3
131	связи с	1	3
132	в сознании	1	3
133	то это	1	3
134	что оно	1	3
135	той или	4	3
136	приходит к	1	3
137	что все	2	3
138	данном случае	2	3
139	что может	1	3
140	для этого	1	3
141	сводится к	1	3
142	может не	1	3
143	в вопросах	1	3
144	в значительной	2	3
145	и во	2	3
146	что и	3	3
147	в лучшем	1	3
148	того что	7	3
149	одной из	5	3
150	в качестве	14	3
151	в большинстве	2	3
152	в виде	5	3
153	из них	3	3
154	условии если	1	3
155	тем что	3	3
156	именно в	4	3
157	только к	2	3
158	что для	1	3
159	не было	1	3
160	россию в	2	3
161	ко всем	1	3
162	и потому	5	3
163	в положении	1	3
164	культуры в	4	3
165	при условии	2	3
166	лучшем случае	1	3
167	она может	1	3
168	или в	2	3
169	о котором	1	3
170	и как	2	3
171	ибо в	1	3
172	не есть	2	3
173	собой это	1	3
174	случае если	1	3
175	себя как	1	2
176	речь идет	1	2
177	от своей	1	2
178	должна быть	2	2
179	из всех	3	2
180	на себя	3	2
181	но даже	4	2
182	в ней	4	2
183	в таком	3	2
184	культуру в	2	2
185	время в	3	2
186	по отношению	1	2
187	тогда как	1	2
188	друг от	2	2
189	с этим	2	2
190	последнее время	1	2
191	помнить что	2	2
192	целый ряд	2	2
193	и наконец	2	2
194	к культуре	1	2
195	но в	14	2
196	от европы	1	2
197	не можем	2	2
198	это есть	1	2
199	все эти	1	2
200	каждого народа	1	2
201	и тот	1	2
202	во многих	4	2
203	и те	1	2
204	этой культуры	2	2
205	говорили в	1	2
206	культуре и	1	2
207	состоит в	1	2
208	не к	2	2
209	европейской культуры	3	2
210	чтобы в	1	2
211	значительной части	1	2
212	того или	4	2
213	по себе	4	2
214	и тем	3	2
215	ведь в	1	2
216	участие в	2	2
217	русской культуры	1	2
218	на основании	2	2
219	культуры с	2	2
220	народа и	1	2
221	в этих	2	2
222	весьма часто	1	2
223	в котором	2	2
224	место в	3	2
225	в силу	2	2
226	друг другу	1	2
227	и более	2	2
228	том же	1	2
229	для нее	1	2
230	бы нас	1	2
231	тому что	1	2
232	она не	2	2
233	культурной жизни	4	2
234	что с	1	2
235	принадлежат к	1	2
236	для нас	4	2
237	больше чем	1	2
238	как будто	2	2
239	в области	11	2
240	свое собственное	1	2
241	на такую	1	2
242	романо-германской цивилизации	1	2
243	для себя	1	2
244	и о	1	2
245	от друга	2	2
246	значительной мере	1	2
247	культуры и	2	2
248	романо-германского ига	1	2
249	даже не	1	2
250	в порядке	2	2
251	некоторых из	1	2
252	и что	2	2
253	россии к	3	2
254	это потому	1	2
255	любви к	1	2
256	к нему	2	2
257	это в	1	2
258	отметить что	3	2
259	народов и	3	2
260	быть и	1	2
261	европейской цивилизации	4	2
262	этот вопрос	2	2
263	бы ни	3	2
264	по этому	1	2
265	уже не	1	2
266	на такой	1	2
267	в начале	1	2
268	то которое	2	2
269	но совершенно	1	2
270	представить себе	1	2
271	не о	1	2
272	мы можем	3	2
273	к той	2	2
274	в других	2	2
275	и даже	6	2
276	будет ли	2	2
277	в некоторых	2	2
278	у других	1	2
279	зависит от	1	2
280	а не	2	2
281	культурными ценностями	1	2
282	большинстве случаев	3	2
283	совершенно очевидно	2	2
284	в частности	5	2
285	так же	9	2
286	их к	1	2
287	в течение	5	2
288	или иного	4	2
289	романо-германский мир	1	2
290	но это	1	2
291	и европейской	1	2
292	если не	1	2
293	и от	3	2
294	в результате	3	2
295	и однако	1	2
296	с ним	1	2
297	отношении к	15	2
298	в культурном	3	2
299	ее в	3	2
300	тем самым	5	2
301	в силе	1	1
302	и большевистские	1	1
303	в сфере	3	1
304	области техники	1	1
305	культурного творчества	2	1
306	того же	3	1
307	сплошь и	2	1
308	силы и	1	1
309	тех же	1	1
310	тех изменений	1	1
311	идет о	3	1
312	земном шаре	2	1
313	ту же	1	1
314	с культурой	1	1
315	права и	1	1
316	что эти	2	1
317	исходит из	1	1
318	противном случае	1	1
319	от которых	1	1
320	с таким	1	1
321	к созданию	1	1
322	также и	7	1
323	не случайны	1	1
324	есть не	2	1
325	на тех	1	1
326	мы не	4	1
327	же как	5	1
328	он считает	1	1
329	неизбежно приводит	1	1
330	китая и	2	1
331	изменений в	1	1
332	о россии	3	1
333	в деле	3	1
334	только сама	1	1
335	в полной	4	1
336	которое в	2	1
337	галлов и	1	1
338	изменение в	1	1
339	исключительно к	1	1
340	с отказом	1	1
341	чем больше	2	1
342	а другие	1	1
343	и россии	8	1
344	на них	2	1
345	столь же	5	1
346	культурной ценности	3	1
347	что его	1	1
348	как путь	1	1
349	ясна без	1	1
350	друг к	1	1
351	но как	2	1
352	точка зрения	2	1
353	значение и	1	1
354	только тогда	1	1
355	силу этого	1	1
356	в китае	1	1
357	в общем	3	1
358	очевидно что	3	1
359	отказом от	1	1
360	и небольшой	1	1
361	которые не	1	1
362	в истории	2	1
363	твердо помнить	1	1
364	что во	1	1
365	в одной	1	1
366	в противном	1	1
367	в полном	1	1
368	к европейской	1	1
369	когда он	3	1
370	что по	1	1
371	не являются	1	1
372	имеет в	2	1
373	он на	1	1
374	от этого	5	1
375	не быть	1	1
376	тех русских	1	1
377	культуру как	1	1
378	эти положения	1	1
379	существующих на	2	1
380	что к	2	1
381	то и	1	1
382	же этого	1	1
383	тому же	1	1
384	претендовать на	1	1
385	но на	3	1
386	к участию	1	1
387	вообще не	3	1
388	на его	1	1
389	как оно	2	1
390	значительная часть	3	1
391	что россия	2	1
392	эта последняя	1	1
393	в принципе	1	1
394	прочим и	2	1
395	войти в	1	1
396	этого переворота	1	1
397	народов которые	2	1
398	его можно	1	1
399	находит себе	1	1
400	заключает в	3	1
401	поскольку она	2	1
402	но все	1	1
403	значительной степени	1	1
404	тем в	3	1
405	единое целое	1	1
406	об этом	1	1
407	и неизбежно	1	1
408	к другу	1	1
409	полной мере	1	1
410	то есть	6	1
411	говорить не	1	1
412	в будущее	2	1
413	в данной	3	1
414	входит в	1	1
415	заключается в	2	1
416	с другими	2	1
417	сейчас в	1	1
418	которая как	1	1
419	и мы	3	1
420	из русских	1	1
421	в жизни	1	1
422	и рядом	2	1
423	этого слова	1	1
424	она и	1	1
425	них то	1	1
426	зрения этих	1	1
427	сие время	1	1
428	культурных ценностей	6	1
429	всегда и	1	1
430	культура которая	1	1
431	они найдут	1	1
432	жизни но	1	1
433	сильнее чем	1	1
434	на одну	2	1
435	иначе говоря	2	1
436	такой же	2	1
437	и того	2	1
438	одного и	1	1
439	перед собой	1	1
440	бы на	1	1
441	может лишь	1	1
442	и культуры	1	1
443	в такой	1	1
444	европейцев и	1	1
445	фактом что	1	1
446	представление о	2	1
447	та культура	1	1
448	в которых	3	1
449	для всякого	1	1
450	очевидно также	1	1
451	ко всему	2	1
452	бы о	2	1
453	на другую	1	1
454	ни было	4	1
455	вовсе не	6	1
456	даже в	4	1
457	освободиться от	1	1
458	если и	1	1
459	этого отнюдь	1	1
460	не менее	1	1
461	к такой	2	1
462	что эта	1	1
463	и другое	1	1
