N	3gram	Medvedev_V_1	Marksizm
1	не может быть	8	10
2	по отношению к	7	8
3	то же время	5	8
4	в то же	5	8
5	в связи с	3	7
6	для того чтобы	3	6
7	в том что	5	6
8	в самом деле	1	5
9	то же самое	1	5
10	может быть и	1	5
11	но в то	1	5
12	в свою очередь	1	5
13	как если бы	1	4
14	в точном смысле	2	4
15	той или иной	1	4
16	если бы он	1	3
17	в той или	1	3
18	и не может	2	3
19	в таком случае	1	3
20	до сих пор	1	3
21	одно и то	1	3
22	с одной стороны	2	3
23	и то же	1	3
24	о том что	3	3
25	к тому что	3	3
26	одной стороны и	2	2
27	бы он был	1	2
28	в противном случае	2	2
29	более или менее	6	2
30	быть и речи	1	2
31	того или иного	1	2
32	в зависимости от	5	2
33	но и в	1	2
34	не было бы	4	2
35	по крайней мере	2	2
36	ни в какой	1	2
37	того чтобы понять	1	2
38	лежит в основе	1	2
39	во всяком случае	1	2
40	так и от	2	2
41	и речи о	1	2
42	отнюдь не может	1	2
43	прав в том	1	2
44	хотя бы в	3	2
45	является для него	1	2
46	к тому же	1	2
47	словесного воплощения в	1	1
48	но и он	2	1
49	в другом месте	2	1
50	чем же в	1	1
51	только в пределах	1	1
52	в какой мере	1	1
53	чуть ли не	2	1
54	то о чем	1	1
55	может быть сведена	1	1
56	не говоря уже	1	1
57	и сознания а	1	1
58	в том числе	2	1
59	в соответствии с	1	1
60	и как увидим	1	1
61	не как на	1	1
62	тот или иной	1	1
63	говоря уже о	1	1
64	сами по себе	1	1
65	что все эти	1	1
66	каждой из этих	2	1
67	в этом отношении	13	1
68	том числе и	2	1
69	какой мере не	1	1
70	прямо и непосредственно	1	1
71	одна из них	1	1
72	с ними в	1	1
73	по себе в	1	1
74	в этом процессе	2	1
75	в процессе этого	1	1
76	все эти тенденции	1	1
77	все его герои	1	1
78	же в таком	1	1
79	так или иначе	1	1
80	как мы знаем	1	1
81	мы полагаем что	1	1
82	уже о том	1	1
83	не только в	2	1
84	лишь в пределах	2	1
85	и в процессе	2	1
86	может обойтись без	1	1
87	а как бы	1	1
88	имеют громадное значение	1	1
89	автора так и	1	1
90	по сравнению с	1	1
91	является таким образом	1	1
92	для него в	2	1
93	таком случае является	1	1
94	не могут быть	1	1
95	во всех этих	1	1
96	зависит как от	1	1
97	хотя бы с	1	1
98	приводит к тому	1	1
99	быть сведена к	1	1
100	для правильного понимания	1	1
101	а как на	1	1
102	с другой стороны	8	1
103	мы видели что	3	1
104	на то или	1	1
105	точном смысле слова	2	1
106	таким образом в	2	1
107	стороны он совершенно	1	1
108	в этом и	2	1
109	никогда не может	1	1
110	даже и в	1	1
111	в работе над	1	1
112	то или иное	1	1
113	в конечном счете	5	1
114	ни одна из	1	1
115	в статье о	1	1
116	неизбежно приводит к	1	1
117	не было в	2	1
118	можно сказать что	4	1
119	но ведь это	1	1
120	одним из наиболее	1	1
121	в каком направлении	1	1
122	между собой не	1	1
123	отнюдь не являются	1	1
124	ними в борьбу	1	1
125	не может обойтись	1	1
126	лицом к лицу	1	1
127	мы только что	1	1
128	что оно является	1	1
