N	2gram	Tiupa_Teor_1	Hudozhes
1	в мире	19	23
2	в качестве	24	19
3	то есть	12	18
4	состоит в	17	16
5	и не	13	16
6	не только	16	15
7	и в	18	15
8	в том	16	15
9	модуса художественности	5	13
10	тогда как	15	13
11	может быть	17	13
12	в частности	16	13
13	при этом	12	12
14	и его	8	12
15	а в	13	12
16	от лат	7	12
17	но не	9	11
18	в этом	8	11
19	в себе	9	11
20	художественного текста	11	11
21	я в	16	11
22	эстетического отношения	12	11
23	то же	7	10
24	по отношению	4	10
25	эстетическое отношение	9	10
26	представляет собой	9	10
27	как бы	5	10
28	так и	10	10
29	а не	9	10
30	отношению к	4	10
31	но и	9	10
32	такого рода	8	9
33	литературного произведения	7	9
34	точки зрения	9	9
35	в его	6	9
36	эстетического завершения	11	9
37	в рамках	7	8
38	своего рода	7	8
39	сводится к	5	8
40	произведение искусства	5	8
41	в миропорядке	8	8
42	себя в	6	8
43	знаковой системы	6	8
44	бытия я	1	8
45	в душе	8	8
46	его внешней	2	8
47	присутствия в	6	8
48	я и	2	7
49	отличие от	6	7
50	но в	9	7
51	в принципе	4	7
52	внутренней речи	13	7
53	в отличие	6	7
54	в то	6	7
55	эмоциональной рефлексии	6	7
56	или иной	4	7
57	с другой	7	7
58	в искусстве	6	7
59	с его	5	6
60	отношение к	5	6
61	эмоциональная рефлексия	4	6
62	модус художественности	6	6
63	объектной организации	10	6
64	том что	9	6
65	не в	7	6
66	в основе	3	6
67	же время	5	6
68	по своей	3	6
69	в ее	5	6
70	приводит к	5	6
71	в состав	6	6
72	не сводится	4	6
73	в тексте	14	6
74	не может	4	6
75	что в	9	6
76	вторичной знаковой	5	5
77	в их	2	5
78	эстетическая деятельность	6	5
79	художественного языка	7	5
80	более или	2	5
81	в самом	4	5
82	то что	3	5
83	художественной реальности	5	5
84	не предполагает	1	5
85	ни в	2	5
86	художественного творчества	1	5
87	я есть	5	5
88	внешней данности	1	5
89	тем самым	4	5
90	коммуникативного события	1	5
91	художественной деятельности	1	5
92	могут быть	4	5
93	той или	1	5
94	с ее	3	5
95	по сути	2	5
96	внутреннего зрения	11	5
97	можно сказать	3	5
98	а также	6	5
99	того что	4	5
100	и одновременно	4	5
101	природа литературы	2	5
102	только в	6	5
103	внешней заданности	2	5
104	уже не	4	5
105	и т.п	4	5
106	между ними	4	5
107	другой стороны	5	5
108	субъектной организации	9	5
109	или менее	2	5
110	я с	5	5
111	художественности в	4	5
112	в нем	4	5
113	присутствия я	6	5
114	героя и	5	5
115	отношения к	2	4
116	и то	2	4
117	мы имеем	7	4
118	место в	5	4
119	высказывания в	3	4
120	говорить о	3	4
121	жизни как	4	4
122	данности бытия	1	4
123	еще не	4	4
124	а только	3	4
125	внутреннего я	4	4
126	как к	2	4
127	кто говорит	3	4
128	хотя и	3	4
129	сознания в	1	4
130	и как	2	4
131	роли в	5	4
132	порядка в	4	4
133	он не	3	4
134	без исключения	4	4
135	в другом	3	4
136	самим собой	3	4
137	и тем	3	4
138	в слове	3	4
139	личностного присутствия	3	4
140	в этих	3	4
141	в ходе	4	4
142	в своей	6	4
143	естественного языка	4	4
144	не столько	1	4
145	эстетических отношений	3	4
146	лирический герой	2	4
147	эстетический объект	3	4
148	личности в	3	4
149	эстетического объекта	2	4
150	говоря словами	3	4
151	знакового материала	4	4
152	и т.д	3	4
153	входит в	1	4
154	между тем	5	4
155	аналогичным образом	2	4
156	искусства в	2	4
157	в форме	2	4
158	организации художественного	6	4
159	художественного восприятия	1	4
160	во времени	3	4
161	для него	2	4
162	художественный текст	4	4
163	со стороны	2	4
164	к которому	3	4
165	прежде всего	2	4
166	а на	3	4
167	не знает	3	4
168	воспринимающего сознания	3	4
169	я относительно	1	4
170	произведения искусства	2	4
171	как это	8	4
172	как эстетической	4	4
173	например в	1	4
174	к тому	2	4
175	особого рода	2	4
176	внутренней данности	1	4
177	по пути	3	4
178	сказать что	3	4
179	речи и	2	4
180	художественного произведения	4	3
181	того же	3	3
182	значении этого	3	3
183	на деле	2	3
184	или говоря	1	3
185	перед лицом	2	3
186	со своей	3	3
187	всех и	1	3
188	законе искусства	3	3
189	телячья головка	4	3
190	авторской позиции	1	3
191	и ее	3	3
192	следует смешивать	3	3
193	в целом	3	3
194	что можно	3	3
195	в виду	5	3
196	ритмического ряда	3	3
197	как правило	4	3
198	и читателей	1	3
199	конечном счете	6	3
200	герой не	3	3
201	элегическое я	3	3
202	мясную лавку	2	3
203	как говорит	3	3
204	субъекта и	2	3
205	в акте	2	3
206	в художественном	3	3
207	как уже	1	3
208	и к	3	3
209	или иного	3	3
210	в противоположность	2	3
211	всего лишь	6	3
212	в которой	2	3
213	первичной знаковой	3	3
214	не следует	4	3
215	он должен	2	3
216	порядок в	3	3
217	художественности и	2	3
218	картины мира	1	3
219	одно и	1	3
220	эстетическая ситуация	3	3
221	лишь в	6	3
222	его в	2	3
223	это не	2	3
224	системе ценностей	3	3
225	этом смысле	2	3
226	к области	2	3
227	в единое	3	3
228	текст в	4	3
229	как и	4	3
230	текста выступает	1	3
231	иначе говоря	4	3
232	одного и	3	3
233	несет в	2	3
234	с точки	3	3
235	внутренняя граница	2	3
236	все прочие	3	3
237	первичной реальности	3	3
238	композиционных форм	5	3
239	от гр	3	3
240	но он	3	3
241	тем не	3	3
242	их в	3	3
243	однако в	7	3
244	литературного текста	2	3
245	произведений искусства	2	3
