N	3gram	Nazirov_Tv_1	VLabPisa
1	и т д	1	15
2	и т п	2	9
3	с другой стороны	1	8
4	по отношению к	1	7
5	хотя бы и	1	5
6	то же время	12	5
7	в конечном счете	4	5
8	в то же	13	5
9	не могут быть	1	4
10	в связи с	1	4
11	можно сказать что	2	4
12	равно как и	1	4
13	в том что	6	4
14	и в то	2	3
15	процессе художественного творчества	1	3
16	вместе с тем	1	3
17	в своем творчестве	1	3
18	в этой области	1	3
19	о том что	5	3
20	в процессе художественного	1	3
21	к тому что	1	3
22	не может не	1	2
23	чуть ли не	1	2
24	до сих пор	1	2
25	только то что	1	2
26	война и мир	1	2
27	по крайней мере	2	2
28	так и от	1	2
29	с одной стороны	1	2
30	в конце концов	1	2
31	от апреля года	1	2
32	реальной действительности и	1	2
33	и борьба противоположностей	1	1
34	этой проблемы в	1	1
35	чем отличается от	1	1
36	бросается в глаза	1	1
37	связи с его	1	1
38	хотя и не	1	1
39	в прямом смысле	1	1
40	как один из	1	1
41	образом уже в	1	1
42	в соответствии с	3	1
43	значит что он	1	1
44	в том же	1	1
45	сами по себе	1	1
46	что он не	1	1
47	то что в	1	1
48	это вовсе не	1	1
49	во всей ее	1	1
50	о свободе воли	2	1
51	вспомним хотя бы	1	1
52	некоторые из них	1	1
53	ту или иную	1	1
54	таким образом уже	1	1
55	в ту же	1	1
56	и эдгар по	1	1
57	единство и борьба	1	1
58	в данном случае	2	1
59	но в то	4	1
60	не только в	2	1
61	таким образом и	1	1
62	но она не	1	1
63	то же самое	1	1
64	в году и	1	1
65	человека таким образом	2	1
66	и в их	1	1
67	в действительной жизни	1	1
68	не заметить что	1	1
69	в этом плане	1	1
70	у него в	1	1
71	а вместе с	1	1
72	имеем в виду	1	1
73	в свою очередь	1	1
74	а как бы	1	1
75	из действительной жизни	1	1
76	действительной жизни и	1	1
77	бы и в	1	1
78	мало чем отличается	1	1
79	в стихах и	1	1
80	дело не в	1	1
81	к тому же	1	1
82	не значит что	1	1
83	заключает в себе	1	1
84	не только для	1	1
