N	3gram	Berdyaev_M_1	Poddanst
1	в отношении к	1	5
2	не только в	2	4
3	в том что	1	4
4	но и в	4	2
5	заключает в себе	3	2
6	и потому в	1	2
7	– все это	1	1
8	разных точек зрения	1	1
9	есть прежде всего	1	1
10	и не может	2	1
11	хотя бы и	2	1
12	в отличие от	1	1
13	и быть может	1	1
14	культурной традиции в	1	1
15	не было бы	5	1
16	в момент когда	1	1
17	так раскрывается в	1	1
18	и еще в	1	1
19	вместе с тем	5	1
20	по сравнению с	1	1
21	нужно обратиться к	1	1
22	не в том	1	1
23	во всяком случае	1	1
24	потому что есть	2	1
25	в творчестве достоевского	4	1
26	не может быть	17	1
27	но также и	1	1
28	для того чтобы	2	1
29	он живет в	2	1
30	с разных точек	1	1
