N	2gram	Bakhtin_Pr_3	PoTuStor
1	может быть	12	17
2	и в	53	16
3	в этом	8	9
4	таким образом	6	9
5	мы можем	5	9
6	прежде всего	15	9
7	и с	6	8
8	точки зрения	4	8
9	и его	10	8
10	не может	2	8
11	с его	2	7
12	не только	4	7
13	сказать что	10	7
14	я и	1	6
15	конечно не	4	6
16	при этом	3	6
17	с точки	2	6
18	и это	3	6
19	и к	5	6
20	еще не	5	5
21	отношение к	6	5
22	все эти	9	5
23	нуждается в	1	5
24	как бы	14	5
25	на самом	1	4
26	и ее	6	4
27	и на	18	4
28	и наконец	2	4
29	но в	5	4
30	в этой	1	4
31	в нем	10	4
32	и может	1	4
33	его в	2	4
34	в один	2	4
35	мысли и	1	4
36	все это	8	4
37	самого начала	4	4
38	как мы	5	4
39	с ее	1	4
40	с самого	3	4
41	так и	6	4
42	но мы	1	4
43	можно сказать	8	4
44	в его	8	4
45	а потому	1	4
46	с ними	1	4
47	только в	4	4
48	для всех	2	4
49	и их	2	4
50	так как	7	4
51	и даже	2	4
52	но и	7	4
53	все позволено	2	4
54	и не	15	4
55	и все	10	4
56	хотя бы	2	4
57	если б	7	3
58	во всех	12	3
59	в общем	1	3
60	и художественного	1	3
61	с их	2	3
62	и теперь	1	3
63	их в	2	3
64	на этом	1	3
65	на этой	1	3
66	этом смысле	1	3
67	реальности и	1	3
68	том что	5	3
69	во время	1	3
70	сих пор	5	3
71	по крайней	1	3
72	и притом	1	3
73	в основе	5	3
74	до сих	5	3
75	к себе	6	3
76	его ученики	1	3
77	мира и	2	3
78	по сравнению	4	3
79	на язык	4	3
80	с другими	3	3
81	крайней мере	1	3
82	и она	1	3
83	в том	14	3
84	в большинстве	4	3
85	только на	1	3
86	большинстве случаев	4	3
87	всяком случае	1	3
88	даже не	1	3
89	в области	3	3
90	и др	14	3
91	вместе с	2	3
92	и потому	5	3
93	как это	2	3
94	сравнению с	4	3
95	могут быть	4	3
96	что в	2	3
97	в этих	5	3
98	а в	2	3
99	то что	9	3
100	между ними	2	3
101	жизни и	9	3
102	во всяком	1	3
103	ту же	1	2
104	нем нет	3	2
105	в самом	2	2
106	мы уже	5	2
107	мы не	4	2
108	говорить о	2	2
109	что можно	1	2
110	того же	2	2
111	на них	1	2
112	из этих	1	2
113	нет и	1	2
114	за пределы	1	2
115	с этим	2	2
116	что это	2	2
117	и через	3	2
118	но ведь	1	2
119	он не	3	2
120	нашего времени	1	2
121	и по	3	2
122	в глубину	1	2
123	то же	6	2
124	по своему	6	2
125	связанные с	3	2
126	связанных с	1	2
127	на протяжении	5	2
128	было бы	5	2
129	в жизни	8	2
130	в них	2	2
131	всю жизнь	1	2
132	как и	11	2
133	потому и	1	2
134	в своей	3	2
135	знаем что	1	2
136	рождение и	1	2
137	находится на	1	2
138	можем сказать	1	2
139	и вся	3	2
140	не менее	3	2
141	его целом	1	2
142	в науке	1	2
143	всей их	1	2
144	никогда не	2	2
145	сущность его	1	2
146	так называемый	1	2
147	понятия и	1	2
148	что на	1	2
149	все то	3	2
150	и всех	1	2
151	на основе	2	2
152	и этим	1	2
153	как с	1	2
154	для этого	1	2
155	и вообще	3	2
156	с ним	2	2
157	это главное	1	2
158	о том	2	2
159	что и	3	2
160	во всей	4	2
161	один из	6	2
162	образов и	4	2
163	мы видим	2	2
164	что он	4	2
165	и действительно	1	2
166	и так	3	2
167	всех его	1	2
168	со всеми	8	2
169	есть в	3	2
170	не можем	1	2
171	в начале	2	2
172	за счет	1	2
173	в душе	1	2
174	и других	9	2
175	к ним	1	2
176	при всей	2	2
177	у него	1	2
178	и т.п	31	2
179	характерно для	1	2
180	себя и	2	2
181	что не	1	2
182	в развитии	3	2
183	с помощью	1	2
184	в область	1	2
185	с этой	1	2
186	своей жизни	1	2
187	но это	3	2
188	это последнее	1	2
189	к другим	2	2
190	и для	4	2
191	и образы	1	2
192	не существует	1	2
193	сознания и	1	2
194	все остальные	1	2
195	не знает	4	2
196	всех других	2	2
197	есть и	2	2
198	а может	1	2
199	ее в	3	2
200	к этому	4	2
201	во сне	5	2
202	можно назвать	2	2
203	они не	3	2
204	этим как	1	1
205	человека и	7	1
206	с философским	1	1
207	мы здесь	3	1
208	нельзя это	1	1
209	и то	1	1
210	корней и	1	1
211	это и	1	1
212	органическое единство	1	1
213	бы очень	2	1
214	конечно с	1	1
215	явления и	1	1
216	смерть в	1	1
217	века в	4	1
218	собою в	2	1
219	в году	1	1
220	очень широко	2	1
221	хорошо и	1	1
222	мы имеем	1	1
223	что если	1	1
224	теперь мы	4	1
225	нам в	1	1
226	своей органической	1	1
227	а для	2	1
228	план в	1	1
229	я не	4	1
230	конечно и	4	1
231	зависимости от	2	1
232	он несколько	1	1
233	в ней	7	1
234	в скобках	1	1
235	имеет по	1	1
236	он был	1	1
237	иное как	1	1
238	столь же	1	1
239	это великолепное	1	1
240	но не	5	1
241	значение и	2	1
242	менее всего	2	1
243	данная нами	1	1
244	вступают в	2	1
245	с духом	2	1
246	иногда и	3	1
247	воспроизводится в	1	1
248	интересует только	1	1
249	что они	1	1
250	в особом	1	1
251	некоторое время	1	1
252	в полном	1	1
253	хотя и	4	1
254	когда он	1	1
255	был связан	1	1
256	это просто	1	1
257	этой цели	1	1
258	тон и	1	1
259	уже не	1	1
260	и связанных	1	1
261	или во	1	1
262	не сделал	1	1
263	на некоторых	2	1
264	было связано	1	1
265	как он	2	1
266	жизнь как	1	1
267	во многих	1	1
268	по мнению	1	1
269	всех внешних	1	1
270	человек не	1	1
271	на его	3	1
272	что она	1	1
273	что было	1	1
274	на различных	1	1
