N	2gram	Propp_Morf_1	Literetu
1	и не	12	22
2	тогда как	2	17
3	и в	13	16
4	при этом	1	15
5	в этом	14	14
6	не только	4	14
7	но и	4	14
8	в том	6	12
9	может быть	52	12
10	а не	11	12
11	то что	8	12
12	в частности	2	11
13	не в	3	10
14	е годы	1	9
15	то же	7	9
16	так и	6	9
17	в то	3	9
18	того что	3	9
19	в е	1	8
20	в этой	2	8
21	том что	4	8
22	не может	14	8
23	как бы	3	8
24	в своей	1	7
25	только в	2	7
26	себя в	1	7
27	со стороны	3	7
28	точки зрения	2	7
29	еще не	3	6
30	с его	2	6
31	в себе	1	6
32	состоит в	2	6
33	в другом	2	6
34	о том	2	6
35	и его	1	6
36	в его	1	6
37	с другой	8	6
38	к тому	4	6
39	отличие от	1	5
40	как в	3	5
41	в целом	3	5
42	это не	6	5
43	как и	3	5
44	в основе	1	5
45	этом отношении	1	5
46	что он	4	5
47	в качестве	5	5
48	а именно	1	5
49	а в	7	5
50	одним из	1	4
51	но не	4	4
52	по отношению	4	4
53	в рамках	1	4
54	хотя и	3	4
55	входит в	2	4
56	должно быть	1	4
57	однако в	2	4
58	даже в	1	4
59	данном случае	1	4
60	а также	4	4
61	с одной	1	4
62	в начале	3	4
63	из них	3	4
64	одно из	1	4
65	в одном	1	4
66	как будто	2	4
67	одной стороны	1	4
68	в данном	1	4
69	по существу	12	4
70	и для	2	4
71	отношению к	4	4
72	например в	2	3
73	самом деле	4	3
74	свое место	1	3
75	с ее	1	3
76	и как	5	3
77	и наконец	1	3
78	и к	4	3
79	но в	2	3
80	то в	3	3
81	на его	4	3
82	а затем	4	3
83	и тем	2	3
84	в г	1	3
85	с точки	2	3
86	только для	1	3
87	потому что	3	3
88	в области	1	3
89	все еще	3	3
90	еще в	1	3
91	прежде всего	9	3
92	между тем	5	3
93	вслед за	5	3
94	ни к	2	3
95	совершенно не	1	3
96	уже не	2	3
97	о чем	1	3
98	как это	3	3
99	в иных	4	3
100	тому как	5	3
101	там где	5	3
102	как на	1	3
103	в первом	3	2
104	как мы	6	2
105	вопрос о	7	2
106	так чтобы	1	2
107	не вполне	1	2
108	то это	3	2
109	и на	1	2
110	бы то	3	2
111	во всех	4	2
112	а и	3	2
113	отношение к	1	2
114	все же	7	2
115	могли бы	1	2
116	как таковое	2	2
117	не знает	1	2
118	представляет собой	17	2
119	право на	2	2
120	им в	1	2
121	на то	2	2
122	все они	1	2
123	в первой	1	2
124	этом с	1	2
125	и вот	1	2
126	подобно тому	6	2
127	то ни	3	2
128	в совершенно	1	2
129	и с	1	2
130	а по	3	2
131	его в	2	2
132	было бы	3	2
133	и даже	1	2
134	лишь на	2	2
135	далеко не	5	2
136	не всегда	9	2
137	несмотря на	4	2
138	и тогда	1	2
139	еще раз	1	2
