N	2gram	Propp_Isto_2	Narrotol
1	не только	18	26
2	а не	5	17
3	представляет собой	5	16
4	тогда как	1	15
5	но и	14	15
6	при этом	4	14
7	в том	6	14
8	в качестве	3	14
9	и не	11	14
10	в этом	11	13
11	и в	15	13
12	том что	7	13
13	состоит в	2	12
14	только в	6	11
15	в частности	1	11
16	может быть	17	10
17	своего рода	1	9
18	сводится к	1	9
19	так и	5	9
20	к тому	5	9
21	а в	12	9
22	в себе	4	8
23	то что	12	8
24	не в	7	8
25	не может	5	8
26	к себе	2	7
27	у него	4	6
28	все же	9	6
29	и к	1	6
30	но в	6	6
31	в жизни	2	6
32	никогда не	15	6
33	ничего не	7	6
34	а также	2	6
35	в его	6	6
36	вслед за	1	6
37	того что	3	6
38	со стороны	1	6
39	прежде всего	5	6
40	как бы	6	6
41	героя в	1	6
42	я не	2	5
43	ответ на	1	5
44	отличие от	1	5
45	что он	24	5
46	как в	5	5
47	в нем	7	5
48	тем не	1	5
49	он не	8	5
50	таким образом	7	5
51	далеко не	1	5
52	в котором	5	5
53	не столько	2	5
54	тем самым	2	5
55	в то	1	5
56	на него	5	5
57	о том	3	5
58	с одной	4	5
59	по отношению	3	5
60	с другой	2	5
61	одной стороны	3	5
62	в той	1	5
63	в отличие	1	5
64	отношению к	3	5
65	то же	10	4
66	в этой	4	4
67	отнюдь не	1	4
68	перед нами	2	4
69	встрече с	1	4
70	что это	6	4
71	тому же	2	4
72	в силу	2	4
73	уже не	1	4
74	об этом	11	4
75	в своей	1	4
76	не менее	1	4
77	при всей	1	4
78	в себя	3	4
79	в другом	9	4
80	в какой	1	4
81	свидетельствует о	1	4
82	у нее	4	4
83	как и	2	4
84	как это	3	4
85	в герое	1	4
86	с ним	1	4
87	же в	1	4
88	что в	12	4
89	самом деле	2	3
90	говорилось выше	1	3
91	едва ли	1	3
92	а как	1	3
93	мы имеем	15	3
94	с его	1	3
95	но не	2	3
96	что они	10	3
97	как к	1	3
98	в целом	1	3
99	все эти	4	3
100	и его	3	3
101	так сказать	2	3
102	и по	2	3
103	при встрече	1	3
104	он является	2	3
105	соответствии с	1	3
106	характер и	1	3
107	одна из	2	3
108	того чтобы	2	3
109	и когда	2	3
110	мира и	1	3
111	о котором	1	3
112	о нем	4	3
113	это не	2	3
114	к ней	2	3
115	один из	8	3
116	с ними	2	3
117	характера и	1	3
118	да и	2	3
119	с этой	1	3
120	и для	2	3
121	от первого	1	3
122	сказать что	2	3
123	в таком	1	3
124	и т	19	2
125	он может	1	2
126	по его	1	2
127	мы не	3	2
128	же как	5	2
129	в ней	4	2
130	еще не	9	2
131	он сам	1	2
132	на самом	2	2
133	в центре	1	2
134	внутренняя жизнь	1	2
135	однако не	1	2
136	со своей	1	2
137	в самом	1	2
138	из этих	3	2
139	роль в	3	2
140	как он	3	2
141	на то	3	2
142	жизнью и	1	2
143	что она	5	2
144	к миру	1	2
145	не будет	1	2
146	она оказывается	1	2
147	той же	2	2
148	было бы	5	2
149	должен был	3	2
150	на второй	1	2
151	несмотря на	1	2
152	ведет к	1	2
153	бы на	1	2
154	и что	6	2
155	от его	1	2
156	всякий раз	1	2
157	но он	4	2
158	и более	2	2
159	в обоих	1	2
160	в процессе	1	2
161	как о	1	2
162	говорить о	1	2
163	только не	1	2
164	потому что	9	2
165	для нас	4	2
166	не вполне	1	2
167	в детстве	1	2
168	у нас	1	2
169	и здесь	9	2
170	мы узнаем	1	2
171	и он	1	2
172	подобно тому	3	2
173	здесь не	2	2
174	всей своей	1	2
175	что у	2	2
176	можно было	5	2
177	том как	1	2
178	а во	1	2
179	восходит к	1	2
180	или иначе	1	2
181	что и	6	2
182	представления о	5	2
183	вся жизнь	1	2
184	узнаем что	1	2
185	не происходит	3	2
186	не все	2	2
187	у меня	1	2
188	одно из	2	2
189	а то	2	2
190	могло бы	1	2
191	вовсе не	1	2
192	в других	3	2
193	представляют собой	3	2
194	только на	1	2
195	именно в	2	2
196	а с	2	2
197	в настоящем	1	2
198	только по	1	2
199	превращается в	2	2
200	зависит от	2	2
201	так же	13	2
202	в него	2	2
203	к своему	1	2
204	по своему	1	2
205	о чем	1	2
206	видит в	2	2
207	в течение	1	2
208	тому как	3	2
209	а потом	4	2
210	другого человека	1	2
211	у героя	1	2
212	но это	4	2
213	видно что	6	2
214	к которому	5	2
215	и состоит	1	2
216	в результате	1	2
217	не должен	4	2
218	хотя бы	2	2
219	во время	2	2
220	как показывает	1	2
221	в свою	1	2
222	точно так	6	2
223	можно назвать	1	2
224	и вновь	1	2
225	они не	4	2
226	например в	2	1
227	относится и	1	1
228	и посвящение	1	1
229	к своей	1	1
230	это и	1	1
231	так у	2	1
232	каждый из	1	1
233	перед лицом	1	1
234	из его	1	1
235	мать и	1	1
236	в зависимости	1	1
237	его мнению	1	1
238	вопрос о	4	1
239	героя но	1	1
240	с радостью	1	1
241	но она	1	1
242	как то	1	1
243	на себя	1	1
244	вместо того	2	1
245	детей не	2	1
246	похожи на	1	1
247	зависимости от	1	1
248	это время	1	1
249	проявляет себя	1	1
250	иное как	2	1
251	со словами	1	1
252	на своих	1	1
253	во всех	2	1
254	а тем	1	1
255	могло быть	1	1
256	в сторону	1	1
257	не просто	2	1
258	каждый в	1	1
259	из таких	1	1
260	голосом и	1	1
261	как говорит	1	1
262	наряду с	6	1
263	другой день	1	1
264	в одной	4	1
265	до его	1	1
266	этой стороны	1	1
267	им в	1	1
268	кто не	1	1
269	и как	1	1
270	и наконец	5	1
271	по пути	1	1
272	его к	1	1
273	себе не	1	1
274	самое важное	1	1
275	говорится в	2	1
276	за собой	1	1
277	для которого	1	1
278	а есть	1	1
279	в которой	2	1
280	так или	1	1
281	без этой	1	1
282	в главе	1	1
283	говорит не	1	1
284	есть на	2	1
285	не могла	2	1
286	после этого	4	1
287	раз когда	1	1
288	бог или	1	1
289	сказал что	2	1
290	силу своей	1	1
291	из двенадцати	1	1
292	из него	2	1
293	что ни	1	1
294	в нее	2	1
295	с собой	1	1
296	исходя из	1	1
297	здесь мы	3	1
298	не мотивировано	1	1
299	и внутренняя	1	1
300	его не	2	1
301	это весьма	1	1
302	входит в	1	1
303	обоих случаях	1	1
304	есть не	1	1
305	на горизонте	1	1
306	этого как	1	1
307	это свидетельствует	1	1
308	матери и	1	1
309	приходит в	1	1
310	здесь нет	2	1
311	в это	1	1
312	смерть и	1	1
313	ни в	2	1
314	но уже	1	1
315	исходили из	1	1
316	из дома	4	1
317	герой сказки	1	1
318	не всегда	1	1
319	он имеет	2	1
320	птиц в	1	1
321	обратимся к	2	1
322	и ничего	2	1
323	не мог	3	1
324	в саду	1	1
325	и видит	1	1
326	поставлены в	1	1
327	она сама	1	1
328	женщин и	1	1
329	это делает	1	1
330	еще нет	1	1
331	в которых	2	1
332	действительно так	1	1
333	который стоял	1	1
334	что было	1	1
335	их в	2	1
336	и долго	1	1
337	освободиться от	1	1
338	связи с	8	1
339	вплоть до	1	1
340	но они	4	1
341	как можно	1	1
342	с которой	2	1
343	она не	5	1
344	дело не	4	1
345	на котором	2	1
346	не делают	1	1
347	чтобы стать	1	1
348	иметь в	2	1
349	что иное	2	1
350	этого обряда	2	1
351	следует понимать	1	1
352	и после	1	1
