N	2gram	Losev_Dial_4	Vvedenie
1	и т	17	42
2	т д	15	36
3	т е	46	35
4	и в	15	32
5	в том	11	31
6	в этом	11	30
7	том что	10	26
8	может быть	17	26
9	не только	8	22
10	для того	5	21
11	того чтобы	5	20
12	таким образом	5	19
13	также и	4	18
14	то что	16	16
15	потому что	10	15
16	так как	14	15
17	не может	11	14
18	но также	1	14
19	в самом	2	13
20	в нем	5	13
21	о том	5	13
22	со стороны	3	13
23	в их	3	12
24	в общем	1	12
25	в его	4	12
26	того что	13	12
27	только в	7	12
28	и не	30	12
29	как на	1	12
30	как мы	1	11
31	в ее	2	11
32	и именно	2	11
33	ясно что	11	11
34	в данном	3	11
35	что такое	5	11
36	что в	7	10
37	то же	9	9
38	в истории	3	9
39	и как	4	9
40	но в	3	9
41	по себе	13	9
42	в той	1	9
43	этом смысле	4	9
44	это не	12	8
45	не в	8	8
46	тем не	2	8
47	не менее	2	8
48	с другой	1	8
49	именно в	5	8
50	вопрос о	2	7
51	все же	2	7
52	было бы	9	7
53	точки зрения	14	7
54	можно было	1	7
55	как нечто	2	7
56	прежде всего	11	7
57	о котором	1	7
58	смысле слова	1	6
59	и это	8	6
60	из этих	2	6
61	как он	1	6
62	его в	1	6
63	с тем	4	6
64	как и	7	6
65	вовсе не	6	6
66	в то	6	6
67	в качестве	2	6
68	же время	6	6
69	тем что	2	6
70	не могут	2	6
71	один из	4	6
72	этот вопрос	1	6
73	и его	7	6
74	и даже	6	6
75	но и	4	6
76	а именно	6	6
77	все это	9	6
78	хотя бы	4	6
79	а как	2	5
80	иное как	8	5
81	или вообще	3	5
82	с их	4	5
83	об этом	3	5
84	и тем	6	5
85	данном случае	1	5
86	в них	2	5
87	но если	5	5
88	в которых	1	5
89	сказать что	6	5
90	могут быть	3	5
91	быть в	5	5
92	д но	1	5
93	так что	6	5
94	уже в	1	5
95	не есть	40	5
96	что не	3	5
97	на этот	1	5
98	а не	18	5
99	она есть	10	5
100	в течение	4	5
101	как бы	14	5
102	другой стороны	2	5
103	есть и	3	5
104	вместе с	2	5
105	и то	3	4
106	как это	2	4
107	той же	5	4
108	мы имеем	5	4
109	науки и	2	4
110	что иное	8	4
111	не просто	7	4
112	от этого	3	4
113	уже не	9	4
114	так или	1	4
115	в себе	8	4
116	но ведь	1	4
117	и заключается	1	4
118	истории и	2	4
119	науки а	1	4
120	в своей	3	4
121	в котором	2	4
122	по сравнению	2	4
123	по крайней	7	4
124	как о	2	4
125	не имеет	14	4
126	в разных	2	4
127	шла речь	1	4
128	это только	1	4
129	и что	9	4
130	крайней мере	7	4
131	еще не	4	4
132	что он	7	4
133	и ее	8	4
134	с одной	1	4
135	в виде	3	4
136	речь в	1	4
137	одно из	1	4
138	само по	4	4
139	как раз	4	4
140	даже и	3	4
141	науки в	1	4
142	в особенности	4	4
143	или иначе	2	4
144	е в	2	4
145	видит в	1	4
146	сравнению с	2	4
147	с этой	2	4
148	этом случае	1	4
149	и для	5	4
150	только что	2	4
151	а в	1	4
152	не что	8	4
153	во всяком	2	4
154	не признать	1	3
155	и есть	19	3
156	собственном смысле	2	3
157	что уже	2	3
158	в сущности	5	3
159	так чтобы	3	3
160	говорить о	11	3
161	то это	1	3
162	в виду	9	3
163	и этого	1	3
164	и на	5	3
165	он сам	1	3
166	в чем	8	3
167	сама по	5	3
168	стороны и	1	3
169	хотя и	6	3
170	бы и	3	3
171	что это	13	3
172	все эти	3	3
173	в этой	4	3
174	в известном	1	3
175	что она	5	3
176	как оно	1	3
177	при этом	2	3
178	если бы	6	3
179	не как	4	3
180	вообще не	1	3
181	на этом	3	3
182	всего то	1	3
183	заключается в	2	3
184	в практической	1	3
185	в свое	2	3
186	и уже	4	3
187	мы видели	1	3
188	нисколько не	2	3
189	со всей	2	3
190	от себя	2	3
191	понятно что	1	3
192	и вот	11	3
193	есть еще	2	3
194	однако в	2	3
195	тогда когда	5	3
196	дело в	1	3
197	дело не	1	3
198	связи с	1	3
199	как будто	2	3
200	в области	3	3
201	в каком	5	3
202	но все	2	3
203	себе что	2	3
204	в ней	5	3
205	в собственном	3	3
206	на том	1	3
207	что может	1	3
208	и вообще	7	3
209	чтобы понять	1	3
210	вот почему	3	3
211	можно сказать	5	3
212	что с	2	3
213	или как	1	3
214	к нему	1	3
215	знания и	5	3
216	одной из	2	3
217	что даже	2	3
218	история и	2	3
219	при помощи	3	3
220	и других	1	3
221	из них	2	3
222	в одном	4	3
223	в конце	1	3
224	что и	6	3
225	отношение к	1	3
226	но что	5	3
227	именно как	1	3
228	до конца	1	3
229	говорит о	3	3
230	только по	1	3
231	на основании	3	3
232	так же	4	3
233	что же	2	3
234	да и	2	3
235	в своем	5	3
236	но с	1	3
237	в результате	6	3
238	наука о	1	3
239	к этому	3	3
240	в частности	2	3
241	гораздо более	1	3
242	это однако	1	2
243	же как	1	2
244	должна быть	7	2
245	научного анализа	1	2
246	что мы	7	2
247	мы уже	3	2
248	есть не	5	2
249	мы не	9	2
250	что если	3	2
251	имеет свою	1	2
252	а во-вторых	1	2
253	в основу	1	2
254	природы и	2	2
255	и всего	1	2
256	значение и	1	2
257	себе и	2	2
258	надо было	3	2
259	чем же	2	2
260	сам же	1	2
261	что нет	1	2
262	в этот	2	2
263	чем больше	2	2
264	учение о	5	2
265	ни одна	2	2
266	что каждая	1	2
267	о которой	1	2
