N	2gram	Tiupa_Anal_3	Dialekti
1	не есть	4	47
2	и не	12	30
3	может быть	9	20
4	не только	22	19
5	и в	18	19
6	по себе	4	18
7	в мифе	1	16
8	а не	9	16
9	в себе	2	15
10	что она	2	14
11	потому что	1	14
12	то что	2	14
13	в том	9	14
14	и даже	8	14
15	как бы	10	14
16	вовсе не	1	13
17	то же	3	12
18	точки зрения	3	12
19	но и	13	12
20	и все	2	12
21	и как	4	10
22	в нем	2	10
23	как и	14	10
24	том что	12	10
25	сказать что	2	10
26	так и	14	10
27	это не	2	10
28	по крайней	4	9
29	никогда не	5	9
30	крайней мере	4	9
31	не может	2	9
32	мы уже	1	8
33	в этом	14	8
34	в своей	1	8
35	с точки	2	8
36	не в	6	8
37	личности в	3	8
38	прежде всего	5	8
39	есть не	2	7
40	сама по	2	7
41	так что	1	7
42	и к	4	7
43	должно быть	1	7
44	как это	3	7
45	как будто	1	7
46	совершенно не	2	7
47	но это	1	7
48	что в	9	7
49	я не	1	6
50	но не	7	6
51	что они	3	6
52	отнюдь не	4	6
53	в то	3	6
54	что он	4	6
55	есть ни	1	6
56	что не	3	6
57	того что	1	6
58	да и	2	6
59	и может	1	6
60	личности и	2	6
61	есть и	1	6
62	жизни и	1	6
63	и потому	2	5
64	говорить о	3	5
65	в силу	1	5
66	в одну	1	5
67	жизнь и	3	5
68	же время	3	5
69	и его	13	5
70	о том	6	5
71	можно сказать	4	5
72	но как	3	5
73	что и	5	5
74	с другой	7	5
75	не обязательно	1	5
76	а именно	1	5
77	в одно	1	5
78	по своему	2	5
79	как раз	7	5
80	в самом	5	5
81	только в	2	5
82	и есть	1	4
83	во мне	1	4
84	еще не	6	4
85	самом деле	2	4
86	за пределы	1	4
87	независимо от	1	4
88	в своем	4	4
89	все же	4	4
90	нет никакой	1	4
91	та же	1	4
92	при этом	11	4
93	он не	6	4
94	и вот	2	4
95	и по	2	4
96	таким образом	4	4
97	заключается в	1	4
98	в одном	4	4
99	все это	3	4
100	с ним	1	4
101	не нуждается	1	4
102	по своей	2	4
103	связи с	1	4
104	в таком	1	4
105	не могут	1	4
106	той или	3	4
107	в ее	3	4
108	в другом	1	4
109	и только	1	4
110	субъекта и	2	4
111	уже в	3	4
112	одно из	1	4
113	в связи	1	4
114	могут быть	2	4
115	хотя бы	1	4
116	а в	10	4
117	другой стороны	5	4
118	по одному	1	4
