N	4gram	Vinokur_Vv_1	VLabPisa
1	в то же время	5	5
2	в том отношении что	3	2
3	хотя бы и не	1	2
4	в большей или меньшей	1	2
5	одном и том же	1	2
6	с одной стороны и	3	2
7	большей или меньшей степени	1	2
8	мы имеем дело с	1	1
9	только в том что	1	1
10	может быть и речи	1	1
11	говоря уже о том	1	1
12	и т д но	5	1
13	в том или ином	1	1
14	одно и то же	1	1
15	с этой точки зрения	1	1
16	с теми или иными	1	1
17	уже о том что	1	1
18	в каждой из этих	1	1
19	но в то же	3	1
20	на то или иное	1	1
21	но с другой стороны	1	1
22	ответ на этот вопрос	1	1
23	в одном и том	1	1
24	в чем же заключается	1	1
25	не может быть и	1	1
26	но вместе с тем	1	1
27	не говоря уже о	1	1
28	теснейшим образом связана с	1	1
