N	2gram	Tiupa_Teor_1	RusskieA
1	и в	18	29
2	что в	9	22
3	в том	16	22
4	том что	9	22
5	в поле	1	19
6	как бы	5	18
7	состоит в	17	15
8	и другие	2	14
9	может быть	17	13
10	так как	1	13
11	как и	4	11
12	в этом	8	11
13	в лесу	1	10
14	все это	2	10
15	не только	16	10
16	а на	3	9
17	во многих	1	9
18	а в	13	9
19	о том	1	9
20	а а	5	8
21	его в	2	8
22	но и	9	8
23	ее в	2	8
24	данном случае	5	7
25	или в	3	7
26	как в	5	7
27	еще не	4	6
28	таким образом	3	6
29	того чтобы	1	6
30	с тем	1	6
31	вместе с	2	6
32	и на	1	6
33	для того	1	6
34	мы имеем	7	6
35	при этом	12	6
36	на нее	1	6
37	в данном	8	6
38	для этого	1	5
39	не может	4	5
40	с ней	1	5
41	но не	9	5
42	к жизни	2	5
43	потому что	3	5
44	это не	2	5
45	то что	3	5
46	и что	3	5
47	на земле	1	5
48	но в	9	5
49	вопрос о	1	4
50	так же	2	4
51	к нему	1	4
52	не в	7	4
53	на поле	1	4
54	так что	1	4
55	как это	8	4
56	именно в	3	4
57	а затем	1	4
58	то же	7	4
59	у нас	2	4
60	не все	3	4
61	о чем	1	4
62	на них	1	4
63	уже не	4	4
64	в них	2	4
65	далеко не	2	4
66	же как	1	4
67	том же	1	4
68	этих случаях	1	4
69	их в	3	4
70	а также	6	4
71	по существу	1	4
72	а не	9	4
73	из них	1	4
74	все эти	2	3
75	как мы	1	3
76	но он	3	3
77	в качестве	24	3
78	в этой	3	3
79	подобно тому	1	3
80	что это	1	3
81	во всех	1	3
82	или даже	4	3
83	в году	1	3
84	а именно	2	3
85	в таких	1	3
86	в ее	5	3
87	между тем	5	3
88	что для	1	3
89	в этих	3	3
90	было бы	1	3
91	можно предположить	1	3
92	отличие от	6	3
93	с другими	5	3
94	и от	1	3
95	и о	4	3
96	что от	1	3
97	тем что	1	3
98	тому как	1	3
99	под именем	1	3
100	на первый	1	3
101	на этом	1	3
102	того что	4	3
103	в отличие	6	3
104	она не	1	3
105	должен был	1	3
106	что она	2	3
107	в лес	1	3
