N	3gram	Bakhtin_Fr_3	Vladivir
1	о том что	2	7
2	в том что	1	7
3	в свое время	1	5
4	то что он	1	5
5	дело в том	1	4
6	то же время	6	4
7	в то же	6	4
8	том что в	1	3
9	с другой стороны	1	3
10	не может быть	2	3
11	как мы уже	5	3
12	мы знаем что	1	2
13	но даже и	1	2
14	и не раз	1	2
15	как раз и	1	2
16	на первый план	1	2
17	как мы увидим	1	2
18	и в частности	1	2
19	в том чтобы	1	2
20	в году и	1	2
21	в связи со	1	2
22	во всяком случае	1	2
23	мы уже сказали	1	2
24	можно сказать что	2	2
25	можно судить по	1	2
26	для того чтобы	3	2
27	что и в	1	2
28	как это делает	1	1
29	что иное как	1	1
30	не только во	1	1
31	нет и не	1	1
32	в них все	1	1
33	и вообще в	1	1
34	в дальнейшем в	1	1
35	и той же	2	1
36	тех людей которые	1	1
37	и в особенности	1	1
38	во всем своем	1	1
39	в настоящее время	1	1
40	сводить только к	1	1
41	свидетельствует о том	1	1
42	несколько слов о	1	1
43	в том же	2	1
44	те же кто	1	1
45	и не может	1	1
46	в таких случаях	1	1
47	то может быть	1	1
48	бы то ни	1	1
49	только то что	1	1
50	то что тот	1	1
51	еще в эпоху	1	1
52	большую роль в	1	1
53	в значительной мере	1	1
54	к жизни и	1	1
55	как раз в	2	1
56	всего со всеми	1	1
57	и тут же	1	1
58	но в то	4	1
59	то ни было	1	1
60	что во время	1	1
61	до того он	1	1
62	смысле этого слова	1	1
63	в связи с	4	1
64	а также и	3	1
65	в обычном смысле	1	1
66	и в этом	1	1
67	которой видно что	1	1
68	своей живости и	1	1
69	притом не только	1	1
70	том чтобы установить	1	1
71	в состоянии их	1	1
72	это конечно не	1	1
73	была у него	1	1
74	очень мало и	1	1
75	одной и той	2	1
76	есть не что	1	1
77	заключается в том	1	1
78	начиная с года	1	1
79	и вместе с	1	1
80	но как раз	1	1
81	даже и в	1	1
82	в свою очередь	1	1
83	это и есть	1	1
84	в париже и	2	1
85	так как в	1	1
86	только во время	1	1
87	но и для	1	1
88	что для характеристики	1	1
89	за то что	1	1
90	отношение к жизни	1	1
91	не что иное	1	1
92	мы еще встретимся	1	1
93	в этом отношении	2	1
94	также и в	1	1
