N	3gram	Bakhtin_Fr_3	PoTuStor
1	с точки зрения	1	6
2	по ту сторону	1	4
3	на самом деле	3	4
4	с самого начала	1	4
5	до сих пор	4	3
6	по сравнению с	2	3
7	во всяком случае	1	3
8	не может быть	2	3
9	можно сказать что	2	3
10	в его целом	1	2
11	все то что	2	2
12	о том что	2	2
13	и в этом	1	2
14	не нуждается в	1	2
15	несколько слов о	1	1
16	прежде всего на	1	1
17	дело в том	1	1
18	мы имеем в	1	1
19	в нем и	1	1
20	его интересует только	2	1
21	имеем в виду	1	1
22	подобно тому как	1	1
23	но даже и	1	1
24	сих пор еще	1	1
25	как это делает	1	1
26	на первый план	1	1
27	бы то ни	1	1
28	и др и	1	1
29	в этом отношении	2	1
30	но несмотря на	1	1
31	можно было бы	2	1
32	все же в	1	1
33	но в основном	1	1
34	остановимся прежде всего	1	1
35	может быть только	1	1
36	в данном случае	2	1
37	но именно этот	1	1
38	никакому сомнению что	2	1
39	для него существует	1	1
40	то ни было	1	1
41	что может быть	1	1
42	в высшей степени	1	1
43	в связи с	4	1
44	между ними уже	1	1
45	в применении к	1	1
46	поры до времени	1	1
47	него существует только	1	1
48	но вернемся к	2	1
49	в свое время	1	1
50	в том что	1	1
51	момент и момент	1	1
52	так как его	1	1
53	каждого из этих	1	1
54	его отношение к	2	1
55	это и есть	1	1
56	связи с этим	1	1
57	и его школы	1	1
58	и прежде всего	3	1
59	что иное как	1	1
60	мы знаем что	1	1
61	или во всяком	1	1
62	лежит на границе	1	1
63	таким образом и	1	1
64	не что иное	1	1
65	вводит нас в	1	1
66	для того чтобы	3	1
67	что между ними	1	1
68	как мы знаем	1	1
69	до поры до	1	1
70	той или иной	2	1
