N	3gram	Tiupa_Narr_2	Tragedij
1	то же время	3	5
2	в то же	3	5
3	так и в	1	3
4	в отличие от	5	2
5	точно так же	2	2
6	в данном случае	6	2
7	о том что	4	2
8	в том что	8	2
9	это по слову	1	1
10	а между тем	1	1
11	в обоих случаях	1	1
12	свидетельствует о его	1	1
13	а как же	1	1
14	и не может	2	1
15	и не могли	1	1
16	и т п	2	1
17	а стало быть	1	1
18	во всяком случае	1	1
19	его дочь и	1	1
20	в чем же	1	1
21	но при этом	3	1
22	по сравнению с	1	1
23	тем не менее	4	1
24	по природе своей	1	1
25	в связи с	1	1
26	то что он	1	1
27	что я не	1	1
28	не только к	1	1
29	вместо того чтобы	1	1
30	но уже не	1	1
31	не может быть	2	1
32	уже не к	1	1
33	xx века в	1	1
34	и все же	2	1
35	но в конце	1	1
36	что в ней	1	1
37	у него есть	1	1
38	с того что	1	1
39	не только не	2	1
40	мысль о том	2	1
41	в самом деле	1	1
42	к тому что	3	1
43	в разговоре с	1	1
44	от всего предшествующего	1	1
