N	3gram	Propp_Isto_2	OGranits
1	не может быть	2	4
2	по отношению к	3	3
3	что иное как	2	2
4	но так как	1	2
5	в зависимости от	1	2
6	с одной стороны	3	2
7	и то же	1	2
8	с другой стороны	2	2
9	есть не что	1	2
10	с самого начала	2	2
11	не что иное	2	2
12	в том что	5	2
13	в другом месте	2	1
14	том что в	1	1
15	как то что	1	1
16	иметь в виду	2	1
17	в виду что	1	1
18	об этом говорит	2	1
19	на самом деле	2	1
20	подобно тому как	3	1
21	должно было бы	1	1
22	мы можем установить	1	1
23	в отличие от	1	1
24	и не мог	1	1
25	можно было бы	3	1
26	почти никогда не	1	1
27	по себе а	1	1
28	и пр с	1	1
29	так же как	4	1
30	и в его	1	1
31	тем не менее	1	1
32	и вместе с	2	1
33	в одном случае	2	1
34	в связи с	4	1
35	потому что они	1	1
36	мы уже видели	3	1
37	указать на то	1	1
38	в тех случаях	1	1
39	в связи со	1	1
40	мы не можем	1	1
41	таким образом мы	1	1
42	все же остается	1	1
43	в природе не	1	1
44	не только на	1	1
45	и один из	1	1
46	на то что	2	1
47	было бы быть	1	1
48	тех случаях когда	1	1
