N	3gram	Bakhtin_Fr_2	Tragedij
1	то же время	6	5
2	в то же	6	5
3	так и в	1	3
4	но в то	3	2
5	в году в	2	2
6	о том что	3	2
7	но все же	2	2
8	в том что	1	2
9	которые так часто	1	1
10	в этом случае	1	1
11	в основном на	1	1
12	эти образы и	1	1
13	и не может	1	1
14	в своей книге	2	1
15	но и на	1	1
16	в дальнейшем этот	1	1
17	но несмотря на	2	1
18	это как бы	1	1
19	средство для достижения	1	1
20	к своей любовнице	1	1
21	в известной мере	3	1
22	во всяком случае	2	1
23	в конце концов	1	1
24	в чем же	1	1
25	в году и	1	1
26	по сравнению с	2	1
27	один из популярнейших	1	1
28	не могут быть	1	1
29	прежде всего необходимо	1	1
30	в xix веке	3	1
31	относится еще к	1	1
32	не может быть	4	1
33	все эти образы	1	1
34	не только не	1	1
35	от всего что	1	1
36	как своего рода	1	1
37	после того как	1	1
38	как и в	1	1
