N	3gram	Bakhtin_Pr_3	formyVre
1	с точки зрения	2	8
2	в связи с	1	7
3	то же время	5	4
4	в то же	5	4
5	как мы уже	3	4
6	в эпоху возрождения	5	3
7	к себе самому	6	3
8	в том числе	11	3
9	в средние века	10	3
10	и в то	2	3
11	но и в	1	3
12	мы еще вернемся	3	3
13	к вопросу о	1	3
14	мы уже говорили	2	3
15	и прежде всего	5	3
16	в большинстве случаев	4	3
17	в том что	3	3
18	прежде всего в	1	2
19	равно как и	1	2
20	то же самое	1	2
21	в дальнейшем мы	1	2
22	до сих пор	5	2
23	и во всех	3	2
24	в царстве мертвых	2	2
25	том числе и	10	2
26	каждом из них	2	2
27	может быть и	2	2
28	то что было	1	2
29	человеческой жизни и	1	2
30	потому что они	1	2
31	тон и стиль	1	2
32	очень важный момент	1	2
33	в этом отношении	1	2
34	на протяжении всего	1	2
35	средние века и	2	2
36	друг от друга	1	2
37	еще вернемся в	1	2
38	почти все темы	1	2
39	в так называемой	1	1
40	и связанных с	1	1
41	для более глубокого	1	1
42	своей специфической логикой	1	1
43	сих пор еще	2	1
44	в той или	1	1
45	он ни был	1	1
46	и символов в	1	1
47	и др все	2	1
48	и наконец в	2	1
49	отношение к себе	3	1
50	как и во	1	1
51	в котором он	1	1
52	и так сказать	1	1
53	в последующие эпохи	2	1
54	и в каждой	1	1
55	здесь в большинстве	1	1
56	роман в письмах	1	1
57	со всеми ее	1	1
58	как и все	1	1
59	в конце концов	1	1
60	в отличие от	1	1
61	мы в дальнейшем	1	1
62	жизни и смерти	2	1
63	в основе их	1	1
64	дальнейшем остановимся подробнее	1	1
65	себе самому и	1	1
66	эпохи возрождения у	1	1
67	отчасти и у	1	1
68	с самим собою	4	1
69	в землю но	1	1
70	в европейской литературе	2	1
71	себе самому к	1	1
72	далекого и разъединенного	1	1
73	влияние на развитие	1	1
74	мне все равно	2	1
75	в заключение нашего	1	1
76	и помимо этого	1	1
77	в этих произведениях	2	1
78	проявляется прежде всего	1	1
79	в загробном мире	1	1
80	как и в	3	1
81	мы найдем и	3	1
82	как бы уже	1	1
83	таким образом и	1	1
84	и все его	1	1
85	этой средневековой традиции	1	1
86	в себя и	1	1
87	необходимо указать на	1	1
88	а также и	3	1
89	но при этом	1	1
90	не касаемся здесь	2	1
91	по сравнению с	4	1
92	или иной форме	1	1
93	др все эти	2	1
94	мира и человека	2	1
95	мы не касаемся	1	1
96	явления и вещи	1	1
97	мир в зоне	1	1
98	все более и	1	1
99	в дальнейшем остановимся	1	1
100	и строго говоря	1	1
101	в связи со	1	1
102	прежде всего образ	1	1
103	но только в	1	1
104	он не знает	2	1
105	с другой стороны	1	1
106	он утрачивает свою	1	1
107	не может быть	1	1
108	в широком смысле	1	1
109	но в то	1	1
110	на основе этого	1	1
111	почти вовсе не	1	1
112	определяющее влияние на	3	1
113	бы он ни	1	1
114	то есть в	2	1
115	могла быть только	1	1
116	но и помимо	1	1
117	у эдгара по	1	1
118	найдем и у	2	1
119	о том что	2	1
120	с самого начала	3	1
121	касаемся здесь вопросов	1	1
122	более и более	1	1
123	можно сказать что	4	1
124	также и в	1	1
125	а вместе с	1	1
126	же самое мы	1	1
127	и вступают в	1	1
128	и в нем	1	1
129	во всех случаях	1	1
130	и все они	1	1
131	в этой литературе	1	1
132	в различных вариациях	1	1
133	человека и его	3	1
134	со всеми своими	1	1
135	мы наблюдаем в	1	1
136	новое отношение к	1	1
137	той или иной	1	1
138	но к этому	1	1
139	только с помощью	1	1
140	то есть с	2	1
