N	2gram	Propp_Isto_3	Vvedenie
1	и т	16	42
2	т д	15	36
3	т е	16	35
4	и в	22	32
5	в том	9	31
6	в этом	17	30
7	том что	8	26
8	может быть	11	26
9	не только	14	22
10	таким образом	10	19
11	также и	1	18
12	то что	7	16
13	потому что	3	15
14	так как	7	15
15	не может	4	14
16	в нем	9	13
17	о том	3	13
18	со стороны	3	13
19	представляет собой	3	12
20	в его	3	12
21	того что	5	12
22	только в	4	12
23	и не	12	12
24	как на	1	12
25	как мы	8	11
26	в ее	1	11
27	ясно что	1	11
28	в данном	4	11
29	что такое	1	11
30	что в	15	10
31	то же	6	9
32	и как	3	9
33	но в	10	9
34	по себе	1	9
35	между тем	2	9
36	это не	6	8
37	не в	4	8
38	тем не	5	8
39	не менее	5	8
40	с другой	7	8
41	самом деле	1	7
42	вопрос о	2	7
43	но не	7	7
44	все же	5	7
45	было бы	3	7
46	точки зрения	2	7
47	уже и	1	7
48	можно было	1	7
49	дело с	2	7
50	как нечто	1	7
51	прежде всего	3	7
52	смысле этого	1	7
53	и это	2	6
54	из этих	3	6
55	том чтобы	1	6
56	его в	3	6
57	с тем	2	6
58	как и	3	6
59	вовсе не	2	6
60	в то	2	6
61	в качестве	2	6
62	тем что	4	6
63	один из	5	6
64	этот вопрос	2	6
65	и его	4	6
66	и даже	2	6
67	до сих	5	6
68	но и	12	6
69	а именно	4	6
70	сих пор	5	6
71	все это	1	6
72	хотя бы	1	6
73	одним из	4	5
74	а как	1	5
75	в целом	3	5
76	иное как	3	5
77	так например	1	5
78	об этом	1	5
79	и тем	1	5
80	данном случае	3	5
81	в них	6	5
82	но если	1	5
83	в которых	2	5
84	сказать что	3	5
85	могут быть	5	5
86	быть в	1	5
87	так что	5	5
88	уже в	1	5
89	не есть	1	5
90	представляют собой	4	5
91	что не	2	5
92	на этот	1	5
93	а не	6	5
94	по своему	1	5
95	в течение	6	5
96	как бы	1	5
97	другой стороны	7	5
98	есть и	5	5
99	вместе с	9	5
100	связана с	3	4
101	и то	2	4
102	как это	4	4
103	той же	2	4
104	в и	1	4
105	мы имеем	19	4
106	что иное	3	4
107	по отношению	2	4
108	не просто	1	4
109	независимо от	2	4
110	уже не	7	4
111	так или	1	4
112	этот процесс	1	4
113	должен был	3	4
114	в своей	1	4
115	в котором	2	4
116	не имеет	2	4
117	в разных	1	4
118	только с	1	4
119	при том	1	4
120	и что	2	4
121	как она	1	4
122	еще не	10	4
123	что он	9	4
124	и ее	3	4
125	с одной	2	4
126	в виде	2	4
127	одно из	1	4
128	всяком случае	2	4
129	в особенности	2	4
130	одной стороны	2	4
131	и обратно	1	4
132	или иначе	1	4
133	по мере	1	4
134	о чем	1	4
135	с этой	1	4
136	этом случае	5	4
137	и для	2	4
138	особого рода	3	4
139	а в	6	4
140	не что	3	4
141	отношению к	2	4
142	во всяком	2	4
143	и есть	2	3
