N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	24
2	не только	20	21
3	что он	1	21
4	этих случаях	2	16
5	может быть	18	14
6	не может	7	14
7	что в	3	13
8	в этих	3	13
9	мы имеем	5	12
10	как в	4	12
11	в этом	21	12
12	но и	19	11
13	это не	6	10
14	том что	7	10
15	и что	1	10
16	у него	1	10
17	мы видим	1	10
18	а в	6	10
19	все же	6	9
20	с другой	5	9
21	не в	6	9
22	о том	5	9
23	потому что	5	9
24	то же	5	8
25	еще не	7	8
26	что и	2	8
27	другой стороны	2	8
28	а не	15	8
29	все это	1	8
30	или в	1	8
31	во всех	2	7
32	то что	6	7
33	таким образом	4	7
34	мы видели	2	7
35	одна из	4	7
36	с собой	1	7
37	к нему	1	7
38	один из	3	7
39	в том	10	7
40	вместе с	1	7
41	что это	1	6
42	но не	5	6
43	как он	2	6
44	в нем	5	6
45	он не	3	6
46	всех этих	1	6
47	об этом	4	6
48	как и	11	6
49	для нас	2	6
50	и все	4	6
51	а именно	1	6
52	того что	6	6
53	только в	6	6
54	ответ на	1	6
55	тем что	2	6
56	так же	1	6
57	во время	1	6
58	мы увидим	1	6
59	с одной	5	5
60	отношение к	2	5
61	но в	6	5
62	что она	1	5
63	здесь мы	1	5
64	не менее	4	5
65	с ним	3	5
66	дело не	1	5
67	так и	8	5
68	представляют собой	3	5
69	одной стороны	5	5
70	видно что	1	5
71	тот кто	2	5
72	героя и	3	5
73	начинается с	1	4
74	он может	1	4
75	мы не	4	4
76	представляет собой	15	4
77	первый взгляд	1	4
78	как бы	4	4
79	при этом	26	4
80	мы можем	2	4
81	не всегда	2	4
82	на первый	1	4
83	точки зрения	1	4
84	в их	1	4
85	своего рода	10	4
86	тем не	3	4
87	не имеет	2	4
88	никогда не	4	4
89	со своим	1	4
90	так в	4	4
91	что у	1	4
92	с того	1	4
93	представления о	1	4
94	то и	2	4
95	вовсе не	1	4
96	в данном	13	4
97	и не	12	4
98	жениха и	1	4
99	мы должны	1	4
100	например в	2	3
101	не вполне	3	3
102	и он	1	3
103	в ответ	1	3
104	тогда как	10	3
105	тоже не	2	3
106	что они	1	3
107	к себе	1	3
108	хотя и	7	3
109	и наконец	2	3
110	из этих	3	3
111	на то	1	3
112	и если	1	3
113	том чтобы	2	3
114	и по	3	3
115	а его	2	3
116	кажется что	1	3
117	в них	2	3
118	которой он	1	3
119	и становится	1	3
120	должны были	2	3
121	в конце	1	3
122	но они	2	3
123	как мы	3	3
124	того как	1	3
125	не все	2	3
126	и его	5	3
127	связи с	1	3
128	из одного	1	3
129	данном случае	6	3
130	не столько	4	3
131	и она	1	3
132	в качестве	8	3
133	так что	1	3
134	уже в	1	3
135	между прочим	1	3
136	в другой	1	3
137	и даже	1	3
138	сказке о	1	3
139	по своим	3	3
140	с пребыванием	1	3
141	связано с	3	3
142	превращается в	1	3
143	предположить что	1	3
144	происходит в	1	3
145	что мы	2	3
146	но это	3	3
147	в герое	1	3
148	не говорится	1	3
149	очень много	1	2
150	со своей	1	2
151	на глазах	1	2
152	на себя	1	2
153	и ее	1	2
154	их не	1	2
155	того же	1	2
156	и на	3	2
157	к которой	1	2
158	если в	2	2
159	со стороны	5	2
160	которые не	1	2
161	в одной	2	2
162	его на	1	2
163	стороны и	1	2
164	и нет	1	2
165	перед нами	6	2
