N	2gram	Vygotskiy__7	IolandNe
1	и с	5	3
2	и не	18	2
3	в этом	29	2
4	он не	3	2
5	что в	12	2
6	самого себя	1	2
7	ничего не	2	2
8	все это	3	1
9	и тот	1	1
10	гипотеза и	2	1
11	и в	26	1
12	только что	5	1
13	и о	3	1
14	я не	3	1
15	то и	4	1
16	а по	2	1
17	бы в	5	1
18	как только	1	1
19	того же	1	1
20	при такой	1	1
21	было не	1	1
22	с другой	4	1
23	это было	1	1
24	а в	2	1
25	того что	14	1
26	причина того	1	1
27	и без	1	1
28	на котором	3	1
29	а с	1	1
30	другой стороны	1	1
31	в первую	1	1
32	не так	1	1
33	для него	3	1
34	нам в	1	1
35	доказательство того	1	1
36	в основе	3	1
37	что для	2	1
38	что при	2	1
39	говорить о	1	1
40	понятий и	2	1
41	есть только	2	1
42	этом человеке	1	1
43	отношению к	5	1
44	так и	3	1
45	от этого	1	1
46	того чтобы	19	1
47	первую очередь	1	1
48	никогда не	4	1
49	только для	1	1
50	бы все	2	1
51	и ничего	2	1
52	для других	15	1
53	тем что	9	1
54	в целом	5	1
55	по поводу	1	1
56	по отношению	6	1
57	очевидно что	3	1
58	в них	1	1
59	все эти	6	1
60	по существу	1	1
61	знать и	1	1
62	от нее	2	1
63	со всеми	2	1
64	с любым	1	1
65	если бы	5	1
66	для того	18	1
