N	2gram	Vinokur_Vv_1	Vladivir
1	и в	27	30
2	в этом	34	20
3	то что	17	20
4	у него	1	19
5	и не	13	18
6	в том	31	18
7	и с	2	14
8	что он	4	13
9	в конце	3	13
10	не только	21	12
11	том что	26	12
12	что в	11	12
13	как мы	9	11
14	в его	10	11
15	а в	5	11
16	сказать что	5	11
17	и вообще	3	10
18	а также	3	10
19	не было	1	10
20	в с	1	10
21	и даже	5	10
22	все же	8	9
23	кроме того	1	9
24	было бы	5	9
25	не в	8	9
26	в то	5	9
27	не может	13	9
28	для него	1	9
29	потому что	14	9
30	в своем	3	8
31	но в	10	8
32	что же	3	8
33	не мог	2	8
34	связи с	3	8
35	но и	5	8
36	в связи	2	8
37	вместе с	6	8
38	до конца	3	7
39	точки зрения	7	7
40	никогда не	3	7
41	не менее	8	7
42	может быть	24	7
43	а не	3	7
44	как это	5	7
45	и все	1	7
46	также и	16	6
47	он был	1	6
48	хотя и	3	6
49	и к	1	6
50	в себе	4	6
51	об этом	5	6
52	тем не	8	6
53	и его	5	6
54	у нас	2	6
55	только в	13	6
56	всяком случае	3	6
57	а именно	6	6
58	еще и	3	6
59	прежде всего	8	6
60	о чем	4	6
61	к этому	3	6
62	жизни и	2	6
63	во всяком	3	6
64	того же	3	5
65	и то	5	5
66	и я	1	5
67	с этим	2	5
68	то в	1	5
69	все эти	3	5
70	при этом	3	5
71	же касается	2	5
72	как и	5	5
73	в своей	4	5
74	в котором	4	5
75	по себе	9	5
76	так как	13	5
77	к концу	1	5
78	для себя	1	5
79	в дальнейшем	2	5
80	так и	1	5
81	с ним	1	5
82	другими словами	1	5
83	и что	4	5
84	того что	12	5
85	тот же	1	5
86	так что	5	5
87	но что	3	5
88	в течение	5	5
89	как бы	5	5
90	все это	6	5
91	в результате	3	5
92	то же	8	4
93	той же	4	4
94	письма к	1	4
95	то это	3	4
96	в ней	3	4
97	и на	3	4
98	время в	2	4
99	что его	1	4
100	совсем не	3	4
101	отношение к	3	4
102	в которой	1	4
103	что это	3	4
104	в целом	5	4
105	в этой	3	4
106	на его	1	4
107	в нем	13	4
108	его в	6	4
109	это было	1	4
110	несмотря на	2	4
111	мы знаем	1	4
112	в этих	3	4
113	разного рода	1	4
114	по крайней	4	4
115	мы должны	1	4
116	не есть	4	4
117	и о	1	4
118	здесь не	2	4
119	можно сказать	3	4
120	о том	15	4
121	с которыми	1	4
122	вовсе не	6	4
123	крайней мере	4	4
124	со стороны	12	4
125	именно в	8	4
126	после смерти	1	4
127	его биографии	1	4
128	так же	3	4
129	с этой	4	4
130	но это	1	4
131	в начале	3	4
132	на этот	4	4
133	ко всему	1	4
134	него в	2	4
135	по поводу	1	4
136	можно говорить	1	3
137	отношения к	1	3
138	был и	1	3
139	и вот	3	3
140	что можно	2	3
141	быть в	4	3
142	во всех	2	3
143	но не	7	3
144	не то	1	3
145	отличие от	3	3
146	как в	1	3
147	и как	9	3
148	так или	4	3
149	из этих	5	3
150	учение о	2	3
151	в очень	3	3
152	таким образом	19	3
153	должен был	4	3
154	в них	4	3
155	должно быть	2	3
156	в отношении	2	3
157	в следующем	1	3
158	с точки	2	3
159	не столько	2	3
160	в отличие	3	3
161	но он	1	3
162	в россии	1	3
163	не могли	2	3
164	том же	2	3
165	же время	5	3
166	в области	4	3
167	он называет	1	3
168	он и	2	3
169	когда мы	2	3
170	и это	6	3
171	никак не	1	3
172	впрочем не	1	3
173	что и	3	3
174	вообще в	2	3
175	философии и	2	3
176	уже не	5	3
177	уже в	5	3
178	в виде	4	3
179	а это	1	3
180	само собой	2	3
181	даже и	3	3
182	или иначе	4	3
183	дело в	3	3
184	наконец в	1	3
185	сведения о	1	3
186	не говоря	2	3
187	конце концов	2	3
188	в данном	11	3
189	духовного развития	1	3
190	да и	4	3
191	по существу	2	3
192	и для	4	3
193	еще более	1	3
194	тем более	2	3
195	хотя бы	5	3
196	в свою	1	3
197	точно так	2	3
198	большой интерес	1	3
199	это в	2	3
200	и особенно	1	3
201	я и	1	2
202	также что	1	2
203	в рукописи	1	2
204	сам по	1	2
205	и есть	3	2
206	очень много	1	2
207	в чисто	4	2
208	и до	2	2
209	из его	2	2
210	что эти	1	2
211	приходит к	1	2
212	мы уже	1	2
213	еще на	1	2
214	что если	2	2
215	есть нечто	1	2
216	который был	1	2
217	не вполне	4	2
218	только после	2	2
219	по своему	5	2
220	при жизни	2	2
221	только тогда	1	2
222	в общем	12	2
223	себе и	2	2
224	как к	1	2
225	это тоже	1	2
226	к числу	1	2
227	в самом	12	2
228	бы с	1	2
229	во многих	1	2
230	как он	6	2
