N	3gram	Medvedev_F_1	EvropaiE
1	с точки зрения	13	16
2	в то же	8	15
3	то же время	8	14
4	в отношении к	1	12
5	и в то	1	8
6	с одной стороны	4	8
7	одной стороны и	4	6
8	в том что	1	6
9	с этой точки	1	5
10	так же как	1	5
11	этой точки зрения	1	5
12	бы то ни	3	4
13	то ни было	1	4
14	и в этом	2	4
15	того или иного	2	4
16	в этом смысле	1	3
17	в их отношении	1	3
18	же как и	1	3
19	хотя бы и	1	3
20	в этом отношении	1	3
21	в применении к	2	3
22	их отношении к	1	3
23	во всяком случае	4	3
24	как бы ни	3	3
25	или хотя бы	1	2
26	прежде всего в	3	2
27	между прочим и	1	2
28	не говоря уже	1	2
29	к тому чтобы	1	2
30	и в частности	2	2
31	в данном случае	1	2
32	дело идет о	2	2
33	но в то	2	2
34	заключается в том	1	2
35	по сравнению с	1	2
36	так и в	4	2
37	с другой стороны	1	2
38	не может быть	5	2
39	по себе не	1	2
40	и притом в	1	2
41	в свою очередь	6	2
42	хотя бы в	1	2
43	друг от друга	2	2
44	в большинстве случаев	2	2
45	как мы видели	2	2
46	не может не	1	1
47	еще далеко не	1	1
48	свое собственное идеологическое	1	1
49	в последнее время	1	1
50	более или менее	6	1
51	имеет значение лишь	1	1
52	т е во	1	1
53	гораздо большей степени	1	1
54	в нем и	2	1
55	и не в	2	1
56	что как бы	1	1
57	в лучшем случае	3	1
58	говоря уже о	1	1
59	в отличие от	1	1
60	но и в	1	1
61	том числе и	1	1
62	мы увидим что	1	1
63	в гораздо большей	1	1
64	в мире культуры	1	1
65	в противном случае	1	1
66	в этом процессе	2	1
67	может быть и	3	1
68	поскольку дело идет	1	1
69	этом отношении в	1	1
70	и с точки	1	1
71	не сводится к	2	1
72	смысле этого слова	3	1
73	а также и	1	1
74	ни на минуту	1	1
75	так и с	1	1
76	в отношении содержания	1	1
77	и всякая иная	1	1
78	в связи с	2	1
79	же время не	1	1
80	в идеологическом смысле	1	1
81	до настоящего времени	2	1
82	в этой среде	2	1
83	вместо того чтобы	1	1
84	как и всякая	2	1
85	мы не можем	2	1
86	та или иная	1	1
87	связи с этим	2	1
88	как одной из	1	1
89	и тем самым	1	1
90	это значит что	1	1
91	и в идеологическом	1	1
92	выходит за пределы	1	1
93	он не дает	1	1
94	что оно не	1	1
95	в том числе	1	1
96	к тому что	1	1
97	тех или иных	1	1
98	точки зрения этих	1	1
99	отнюдь не на	1	1
100	и до настоящего	1	1
101	на то чтобы	1	1
102	и т д	8	1
103	в пределах одного	1	1
