N	3gram	Bakhtin_sl_1	Stilisti
1	в то же	12	9
2	в зависимости от	3	7
3	то же время	12	7
4	для того чтобы	1	7
5	с точки зрения	8	5
6	того или иного	2	5
7	и то же	2	4
8	прежде всего в	1	4
9	одно и то	2	4
10	в свою очередь	2	4
11	с самого начала	1	4
12	той или иной	9	4
13	в этом случае	2	3
14	во всех своих	1	3
15	но и в	1	3
16	то или иное	1	3
17	не только в	2	3
18	как мы уже	2	3
19	как мы видели	1	3
20	и той же	1	2
21	равно как и	1	2
22	отношение говорящего к	1	2
23	речи то есть	1	2
24	и в то	5	2
25	в этом отношении	1	2
26	в значительной степени	1	2
27	но в то	4	2
28	мы не знаем	1	2
29	и на его	1	2
30	одни и те	1	2
31	не должно быть	1	2
32	то же слово	2	2
33	не может быть	1	2
34	в точном смысле	1	2
35	о том что	1	2
36	и вследствие этого	1	2
37	и те же	1	2
38	можно сказать что	1	2
39	к тому что	2	2
40	мы видим что	1	2
41	одной и той	1	2
42	тех или иных	1	2
43	до наших дней	1	1
44	не в самом	1	1
45	слово как бы	1	1
46	а затем и	1	1
47	более или менее	3	1
48	и нет ничего	1	1
49	и в особенности	4	1
50	и в отношении	1	1
51	же время и	1	1
52	свое выражение в	2	1
53	то есть к	1	1
54	и перестает быть	1	1
55	одному из них	1	1
56	в скрытой форме	1	1
57	в нем и	1	1
58	на один из	1	1
59	до сих пор	2	1
60	и во всех	2	1
61	целый ряд явлений	1	1
62	в каком направлении	1	1
63	можно было бы	2	1
64	в которой оно	1	1
65	которая могла бы	1	1
66	нет ничего что	1	1
67	то у нас	1	1
68	по крайней мере	1	1
69	хотя бы и	3	1
70	связанных с ними	1	1
71	между отдельными моментами	1	1
72	в большинстве случаев	6	1
73	речь но в	1	1
74	понимание и ответ	1	1
75	и не могут	1	1
76	и в этом	2	1
77	и не было	1	1
78	тем не менее	1	1
79	зависимости от социального	1	1
80	один из этих	1	1
81	в которой живет	1	1
82	по своему композиционному	1	1
83	ближе к тому	1	1
84	друг друга и	1	1
85	здесь как бы	1	1
86	все же и	1	1
87	здесь таким образом	1	1
88	и кроме того	2	1
89	таким образом в	3	1
90	именно в процессе	1	1
91	не может не	5	1
92	его стилистическую структуру	1	1
93	но чаще всего	1	1
94	не только не	1	1
95	и не может	2	1
96	на то или	1	1
97	не только на	2	1
98	ни в какой	1	1
99	мы имеем в	1	1
100	с другой стороны	4	1
101	как мы видим	1	1
102	они как бы	2	1
103	новый язык и	1	1
104	эти слова и	2	1
105	мы все же	1	1
106	уже не только	1	1
107	на слушателя и	3	1
108	лишь там где	1	1
109	о языке и	1	1
110	в том что	1	1
111	именно потому что	1	1
112	в последнем счете	1	1
113	речи героя ведь	1	1
114	как и в	1	1
115	в пределах одного	1	1
