N	2gram	Vygotskiy__5	IolandNe
1	и с	3	3
2	и не	12	2
3	в этом	25	2
4	он не	8	2
5	что в	16	2
6	ничего не	5	2
7	не утверждал	1	2
8	бы что	1	2
9	же это	1	1
10	себя в	1	1
11	все это	2	1
12	нисколько не	1	1
13	и тот	3	1
14	и в	16	1
15	только что	5	1
16	и о	1	1
17	я не	2	1
18	то и	2	1
19	бы в	4	1
20	более чем	1	1
21	как только	1	1
22	того же	7	1
23	с другой	4	1
24	это было	1	1
25	а в	3	1
26	и дети	1	1
27	так то	1	1
28	того что	16	1
29	не дает	2	1
30	следовательно в	1	1
31	своего исследования	1	1
32	на котором	1	1
33	а с	2	1
34	другой стороны	2	1
35	в первую	1	1
36	не так	1	1
37	нее и	1	1
38	для него	5	1
39	доказательство того	1	1
40	в основе	8	1
41	что для	2	1
42	что при	1	1
43	говорить о	3	1
44	понятий и	15	1
45	есть только	1	1
46	отношению к	12	1
47	а если	1	1
48	так и	7	1
49	дает и	1	1
50	того чтобы	17	1
51	первую очередь	1	1
52	никогда не	5	1
53	следующим образом	1	1
54	только для	2	1
55	жизни и	2	1
56	и ничего	1	1
57	тем что	5	1
58	в целом	4	1
59	по поводу	2	1
60	по отношению	12	1
61	очевидно что	2	1
62	в них	2	1
63	все эти	4	1
64	по существу	3	1
65	от нее	1	1
66	со всеми	2	1
67	если бы	8	1
68	для того	14	1
69	без этого	1	1
