N	3gram	Losev_Dial_3	Sotsiolo
1	в том что	3	2
2	не в том	1	2
3	это и есть	2	1
4	и в этом	2	1
5	по крайней мере	5	1
6	то же самое	1	1
7	сама по себе	4	1
8	что это вовсе	1	1
9	тем более не	2	1
10	в конечном счете	1	1
11	быть не только	1	1
12	в то же	1	1
13	это вовсе не	1	1
14	что в них	1	1
15	в виде задания	1	1
16	и стало быть	1	1
17	на точке зрения	1	1
18	ничего не значат	3	1
19	в связи с	1	1
20	на первый план	4	1
21	ни на что	1	1
22	более не наука	1	1
23	то же время	1	1
24	ровно ничего не	3	1
25	ибо по самому	1	1
26	и в то	1	1
27	в лучшем случае	1	1
28	с одной стороны	3	1
29	только как совокупность	1	1
30	выдвигает на первый	1	1
31	метод и в	1	1
32	во всяком случае	2	1
33	ведь это же	2	1
