N	2gram	Berdyaev_M_2	Problema
1	то что	5	38
2	и не	18	37
3	и в	46	35
4	не есть	13	33
5	не только	18	24
6	сказать что	3	24
7	том что	4	19
8	что такое	1	18
9	у нас	11	18
10	о том	3	18
11	может быть	21	18
12	в этом	20	17
13	но и	15	16
14	такого рода	2	15
15	только в	3	14
16	потому что	12	13
17	не может	15	13
18	и что	2	13
19	также и	4	12
20	того что	6	12
21	в том	3	12
22	хотя бы	7	12
23	не будет	3	11
24	так что	2	11
25	прежде всего	12	11
26	что в	4	11
27	и то	1	10
28	говорить о	1	10
29	ничего не	2	10
30	и с	3	10
31	а не	13	10
32	да и	2	10
33	есть знак	1	10
34	в этой	7	9
35	для себя	1	9
36	что же	2	9
37	значение и	1	8
38	по себе	2	8
39	было бы	1	8
40	уже не	4	8
41	смысле слова	3	7
42	совсем не	5	7
43	бы и	5	7
44	все эти	1	7
45	мы не	1	7
46	не имеет	4	7
47	в конце	5	7
48	так и	4	7
49	в его	5	7
50	конце концов	1	7
51	так как	8	7
52	есть не	5	6
53	с другой	1	6
54	но в	10	6
55	на то	1	6
56	что все	5	6
57	был бы	1	6
58	можно ли	3	6
59	не о	2	6
60	как будто	2	6
61	ни в	3	6
62	о чем	1	6
63	но это	8	6
64	и для	7	6
65	не существует	3	6
66	то же	5	5
67	по своему	1	5
68	с этим	1	5
69	в самом	5	5
70	в себе	10	5
71	как и	13	5
72	и без	1	5
73	что всякий	3	5
74	и более	1	5
75	связи с	2	5
76	той или	1	5
77	и это	5	5
78	можно было	2	5
79	и на	3	5
80	или иной	2	5
81	своего собственного	1	5
82	что не	2	5
83	так же	6	5
84	и все	5	5
85	есть то	1	5
86	самом деле	1	4
87	на самом	1	4
88	и есть	8	4
89	что если	1	4
90	и самого	3	4
91	не был	2	4
92	не все	1	4
93	сама по	1	4
94	в своем	8	4
95	и той	2	4
96	и как	1	4
97	что она	5	4
98	их в	1	4
99	и тем	1	4
100	которой он	1	4
101	в этих	2	4
102	но если	1	4
103	же такое	1	4
104	в отношении	5	4
105	есть прежде	5	4
106	для каждого	1	4
107	до сих	3	4
108	что на	1	4
109	не могут	1	4
110	все еще	1	4
111	если бы	3	4
112	и здесь	6	4
113	и только	1	4
114	тот же	2	4
115	что он	7	4
116	есть в	3	4
117	самостоятельное значение	1	4
118	тем что	3	4
119	как бы	8	4
120	сих пор	3	4
121	все это	1	4
122	а в	2	4
123	это и	3	3
124	вопрос о	6	3
125	что иное	3	3
126	это отношение	1	3
127	для нашей	2	3
128	мы еще	2	3
129	в нашем	7	3
130	только тогда	1	3
131	нет и	1	3
132	что они	3	3
133	нельзя было	2	3
134	хотя и	2	3
135	могли бы	1	3
136	не было	11	3
137	и к	7	3
138	в каком-то	1	3
139	в целом	1	3
140	бы не	2	3
141	и тот	2	3
142	только один	1	3
143	перестает быть	1	3
144	лишь в	2	3
145	его в	3	3
146	для них	1	3
147	все равно	3	3
148	с тем	1	3
149	как угодно	1	3
150	в чистом	1	3
151	нас не	2	3
152	никто не	1	3
153	должны были	1	3
154	но эта	2	3
155	тому что	4	3
156	иной раз	1	3
157	как о	1	3
158	тогда когда	2	3
159	в основе	2	3
160	только и	4	3
161	не знает	9	3
162	оно не	2	3
163	она не	8	3
164	с самим	3	3
165	он сам	6	3
166	для этого	4	3
167	иное как	3	3
168	в значительной	1	3
169	нас в	2	3
170	и можно	3	3
171	один из	5	3
172	ли он	1	3
173	есть ни	1	3
174	и все-таки	1	3
175	и всякий	1	3
176	уже в	2	3
177	уже и	1	3
178	для того	5	3
179	это будет	1	3
180	же о	1	3
181	может ли	1	3
182	без которых	1	3
183	и если	2	3
184	тому как	2	3
185	к тому	5	3
186	и от	3	3
187	бы в	2	3
188	мы должны	1	3
189	не что	3	3
190	в своих	3	3
191	все что	4	3
192	чтобы не	3	2
193	мере в	1	2
194	из самых	1	2
195	по преимуществу	5	2
196	ведь и	1	2
197	той же	3	2
198	от всякой	1	2
199	если я	2	2
200	это совершенно	1	2
201	большую роль	1	2
202	что существует	1	2
203	в ней	11	2
204	во всех	2	2
205	от его	2	2
206	в голове	1	2
207	не то	1	2
208	есть по	2	2
209	себе и	2	2
210	которые не	1	2
211	в той	1	2
212	независимо от	1	2
213	отношение между	1	2
214	роль в	1	2
215	во многих	1	2
216	человек не	7	2
217	все другие	1	2
218	он не	10	2
219	в плане	1	2
220	одной и	2	2
221	подобно тому	2	2
222	в нее	1	2
223	и ее	1	2
224	но все	1	2
225	то чтобы	1	2
226	сознание и	1	2
227	об этом	1	2
228	к другу	5	2
229	входит в	1	2
230	в них	3	2
231	она и	1	2
232	эту тему	1	2
233	должно быть	2	2
234	точки зрения	2	2
235	будет в	1	2
236	в такой	3	2
237	прийти к	1	2
238	которые в	2	2
239	не в	9	2
240	человека но	1	2
241	правда в	2	2
242	же его	1	2
243	и слишком	1	2
244	того чтобы	4	2
245	та или	1	2
246	или как	1	2
247	или иная	1	2
248	как на	1	2
249	отличается от	1	2
250	само понятие	1	2
251	мысль о	2	2
252	и сам	1	2
253	вещи и	1	2
254	еще в	2	2
255	при такой	1	2
256	и поэтому	2	2
257	а также	1	2
258	к нему	2	2
259	что и	4	2
260	тотчас же	1	2
261	из моментов	1	2
262	друг к	5	2
263	быть и	2	2
264	форме но	1	2
265	же и	2	2
266	не так	3	2
267	себе в	2	2
268	только с	3	2
269	были бы	2	2
270	и прежде	1	2
271	нет ничего	3	2
272	вместе с	2	2
273	на тот	1	2
274	на эту	1	2
275	это за	1	2
276	самого себя	4	2
277	она должна	1	2
278	сознания и	2	2
279	еще более	2	2
280	ли сказать	1	2
281	от всякого	1	2
282	по поводу	1	2
283	бы его	2	2
284	из этого	1	2
285	в действительности	2	2
286	а может	1	2
287	это в	1	2
288	которых не	1	1
289	отношения к	2	1
290	в обычном	2	1
291	же как	3	1
292	сам по	2	1
293	отражается на	1	1
294	стали бы	3	1
295	к другому	3	1
296	от которых	1	1
297	должна быть	1	1
298	когда это	1	1
299	тут в	2	1
300	с таким	2	1
301	их и	1	1
302	более ничего	1	1
303	для сохранения	2	1
304	в учении	1	1
305	требует от	1	1
306	на себя	1	1
307	на практике	1	1
308	я не	5	1
309	приводит в	1	1
310	не всякая	1	1
311	же начала	2	1
312	который может	2	1
313	еще у	1	1
314	он был	9	1
315	на них	1	1
316	быть никакого	1	1
317	определенный предмет	1	1
318	с его	4	1
319	тем как	1	1
320	а следовательно	1	1
321	он может	1	1
322	то он	2	1
323	к которой	3	1
324	для всякой	1	1
325	отношение к	8	1
326	можно как	1	1
327	человек мы	1	1
328	необходимо и	1	1
329	мы дадим	1	1
330	как в	7	1
331	он перестает	1	1
332	что нет	3	1
333	в мысли	2	1
334	всего как	1	1
335	вносит в	1	1
336	есть ли	2	1
337	для которого	1	1
338	что это	6	1
339	формы в	1	1
340	за себя	1	1
341	думать что	4	1
342	ничего и	1	1
343	бы только	1	1
344	и те	2	1
345	если он	2	1
346	не имеют	2	1
347	только потому	1	1
348	что было	3	1
349	в первых	1	1
350	в нем	22	1
351	все те	1	1
352	есть та	1	1
353	вообще он	1	1
354	ведь не	1	1
355	что нужно	1	1
356	отношений между	1	1
357	до человеческого	1	1
358	на земле	8	1
359	и окончательное	1	1
360	что ни	1	1
361	может существовать	1	1
362	имел бы	1	1
363	на этом	2	1
364	всех своих	1	1
365	людей и	3	1
366	тут не	2	1
367	же не	1	1
368	что такой	1	1
369	в другом	1	1
370	а для	2	1
371	в глубине	3	1
372	если для	1	1
373	и менее	1	1
374	это не	5	1
375	которая ничего	1	1
376	который так	1	1
377	на почве	3	1
378	он есть	1	1
379	но потом	1	1
380	не соответствует	1	1
381	то остается	1	1
382	он несет	1	1
383	чем все	1	1
384	бы для	1	1
385	с такой	1	1
386	принадлежит в	1	1
387	потому и	1	1
388	и тогда	3	1
389	не мог	3	1
390	но я	1	1
391	бы на	1	1
392	другим и	2	1
393	из сферы	1	1
394	только самых	1	1
395	уже к	1	1
396	всего только	1	1
397	место в	2	1
398	в которых	1	1
399	не могли	1	1
400	как можно	1	1
