N	3gram	Propp_Morf_1	Russkaja
1	друг с другом	1	14
2	с точки зрения	2	9
3	в том что	3	7
4	на самом деле	4	6
5	во всяком случае	2	6
6	для того чтобы	2	6
7	до сих пор	1	5
8	более или менее	2	4
9	на то что	2	4
10	бы то ни	3	4
11	в том случае	1	4
12	не может быть	9	4
13	то ни стало	1	3
14	во что бы	1	3
15	при таких условиях	1	3
16	в этом случае	8	3
17	том случае если	1	3
18	что бы то	1	3
19	в данном случае	1	3
20	точно так же	1	2
21	в настоящее время	3	2
22	из которых каждый	1	2
23	о том что	1	2
24	ни к чему	2	2
25	ни одна из	1	2
26	в другом случае	1	2
27	в большинстве случаев	3	2
28	к тому что	3	2
29	состоит в том	2	1
30	между прочим и	1	1
31	по отношению к	4	1
32	но как бы	1	1
33	и в некоторых	1	1
34	то что же	1	1
35	что он может	1	1
36	и в других	1	1
37	до известной степени	1	1
38	а с ними	1	1
39	в этом отношении	1	1
40	совершенно ясно что	1	1
41	в противном случае	1	1
42	лишь постольку поскольку	1	1
43	ни одна не	1	1
44	в обмен на	3	1
45	главным образом как	1	1
46	то ни было	2	1
47	к чему не	2	1
48	очевидно также и	1	1
49	совершенно очевидно также	1	1
50	в связи с	8	1
51	как бы то	1	1
52	друг к другу	2	1
53	и что его	1	1
54	и таким образом	2	1
55	она могла бы	1	1
56	мы прежде всего	1	1
57	между собой и	1	1
58	говорить о том	1	1
59	в этом и	1	1
60	тех или иных	1	1
61	на ряду с	1	1
62	то в большинстве	1	1
63	может быть достигнуто	1	1
64	с самого начала	1	1
65	но все же	3	1
66	прежде всего о	1	1
67	как же может	1	1
68	тем не менее	4	1
69	на первый взгляд	3	1
70	со стороны их	2	1
