N	3gram	Nazirov_Tv_1	slovoVRo
1	и т п	2	23
2	то же время	12	12
3	в то же	13	12
4	в отношении к	1	6
5	не может не	1	5
6	и в то	2	5
7	и т д	1	5
8	с одной стороны	1	4
9	с другой стороны	1	4
10	но в то	4	4
11	хотя бы и	1	3
12	в данном случае	2	3
13	до сих пор	1	2
14	не только в	2	2
15	о нем и	1	2
16	в известном смысле	1	2
17	не могут быть	1	2
18	в свою очередь	1	2
19	к тому что	1	2
20	здесь лишь на	1	1
21	да и в	1	1
22	в в виноградов	1	1
23	между прочим в	1	1
24	со всеми его	1	1
25	то есть не	2	1
26	дело в том	3	1
27	имеем в виду	1	1
28	но это не	1	1
29	же время он	2	1
30	с установкой на	1	1
31	в своей книге	1	1
32	в отличие от	1	1
33	бы то ни	1	1
34	на самом же	1	1
35	человек может не	1	1
36	по крайней мере	2	1
37	мы все время	1	1
38	а как бы	1	1
39	отношение автора к	1	1
40	все же и	1	1
41	то ни было	1	1
42	между настоящим и	1	1
43	в один ряд	1	1
44	мы имеем в	1	1
45	в его романах	2	1
46	это не значит	1	1
47	и даже как	1	1
48	тем не менее	2	1
49	о том что	5	1
50	не был бы	1	1
51	равно как и	1	1
52	из них он	1	1
53	у него есть	1	1
54	на протяжении всего	2	1
55	еще далеко не	1	1
56	собой в его	1	1
57	с самого начала	3	1
58	еще более резко	1	1
59	можно сказать что	2	1
60	и вследствие этого	1	1
61	по преимуществу в	1	1
62	настоящим и прошлым	1	1
63	самом же деле	1	1
64	в том что	6	1
65	как и в	1	1
66	в основе этой	1	1
