N	2gram	Propp_Morf_1	Narrotol
1	не только	4	31
2	но и	4	27
3	и не	12	23
4	при этом	1	19
5	может быть	52	15
6	в качестве	5	14
7	в частности	2	14
8	как и	3	13
9	а не	11	13
10	а в	7	13
11	в этом	14	12
12	только в	2	12
13	и в	13	11
14	в данном	1	11
15	тогда как	2	10
16	состоит в	2	10
17	и его	1	10
18	то что	8	9
19	то же	7	8
20	представляет собой	17	8
21	не может	14	8
22	данном случае	1	8
23	в том	6	8
24	уже не	2	8
25	со стороны	3	8
26	в рассказе	1	8
27	но в	2	7
28	том что	4	7
29	если бы	2	7
30	у него	1	7
31	не в	3	6
32	в этой	2	6
33	в себе	1	6
34	об этом	4	6
35	к тому	4	6
36	во втором	3	6
37	в его	1	6
38	как бы	3	6
39	один из	5	6
40	как раз	1	6
41	или в	4	6
42	а также	4	6
43	между двумя	1	5
44	и на	1	5
45	перед нами	10	5
46	так и	6	5
47	точки зрения	2	5
48	в своей	1	5
49	потому что	3	5
50	можно сказать	2	5
51	действующих лиц	11	5
52	то в	3	4
53	в первом	3	4
54	еще не	3	4
55	с его	2	4
56	но не	4	4
57	как в	3	4
58	все же	7	4
59	хотя и	3	4
60	из этих	1	4
61	из них	3	4
62	и тем	2	4
63	в одном	1	4
64	вплоть до	1	4
65	в то	3	4
66	одна из	4	4
67	не по	2	4
68	того чтобы	3	4
69	о том	2	4
70	а во	1	4
71	к нему	3	4
72	того что	3	4
73	для него	1	4
74	у нее	1	4
75	прежде всего	9	4
76	из наиболее	1	4
77	о чем	1	4
78	этом и	1	4
79	однако и	1	4
80	или не	3	4
81	также и	4	3
82	и то	1	3
83	самом деле	4	3
84	мы имеем	9	3
85	мы не	8	3
86	а для	1	3
87	он сам	1	3
88	но как	2	3
89	и как	5	3
90	к чему	3	3
91	в целом	3	3
92	в нашем	3	3
93	он не	3	3
94	для того	2	3
95	подобно тому	6	3
96	и с	1	3
97	это не	6	3
98	не всегда	9	3
99	еще раз	1	3
100	в ходе	4	3
101	и ее	3	3
102	тем не	5	3
103	их в	1	3
104	однако в	2	3
105	не менее	5	3
106	но они	1	3
107	в русской	1	3
108	как будто	2	3
109	этом отношении	1	3
110	у нас	2	3
111	еще в	1	3
112	когда в	1	3
113	обращается к	1	3
114	между тем	5	3
115	что он	4	3
116	по отношению	4	3
117	могло бы	1	3
118	представляют собой	11	3
119	как это	3	3
120	тому как	5	3
121	быть не	1	3
122	в начале	3	3
123	но для	2	3
124	это уже	3	3
125	не является	3	3
126	в следующей	1	3
127	не существует	3	3
128	и все	1	3
129	в поле	4	3
130	первом случае	3	3
131	отношению к	4	3
132	героя в	4	3
133	что в	8	3
134	и для	2	2
135	в сущности	3	2
136	не вполне	1	2
137	ему в	1	2
138	между собой	4	2
139	в чем	1	2
140	чем это	2	2
141	друг на	2	2
142	если в	5	2
143	отличие от	1	2
144	в е	1	2
145	в той	1	2
146	если она	2	2
147	что касается	1	2
148	та же	2	2
149	он идет	1	2
150	на то	2	2
151	героя из	2	2
152	героя к	1	2
153	и вот	1	2
154	одно и	1	2
155	не будет	1	2
156	а по	3	2
157	входит в	2	2
158	это было	3	2
159	и иных	2	2
160	также не	1	2
161	этого не	2	2
162	на друга	2	2
163	и тогда	1	2
164	в этих	13	2
165	сих пор	1	2
166	она не	2	2
167	в обоих	2	2
168	не имеет	2	2
169	дело в	1	2
170	и сама	1	2
171	дело не	2	2
172	ничего не	4	2
173	связи с	10	2
174	же самое	1	2
175	они и	3	2
176	оно не	2	2
177	состоят в	1	2
178	как мы	6	2
179	с ее	1	2
180	здесь не	2	2
181	другой стороны	4	2
182	в пределах	3	2
183	точек зрения	1	2
184	то они	2	2
185	до сих	1	2
186	с другой	8	2
187	в форме	6	2
188	же в	2	2
189	идет по	2	2
190	с ними	1	2
191	дело с	1	2
192	всяком случае	2	2
193	который в	2	2
194	себя в	1	2
195	только на	1	2
196	ее из	2	2
197	его и	2	2
198	друг друга	3	2
199	мы можем	2	2
200	в особенности	1	2
201	и даже	1	2
202	в области	1	2
203	в результате	7	2
204	она в	2	2
205	на ее	1	2
206	или просто	2	2
207	после смерти	1	2
208	и притом	1	2
209	что не	1	2
210	а на	3	2
211	могут служить	1	2
212	что мы	2	2
213	если не	1	2
214	по своему	2	2
215	в первой	1	2
216	быть и	2	2
