N	3gram	Propp_Isto_5	Problemy
1	в пределах одного	1	9
2	с точки зрения	1	8
3	до сих пор	2	7
4	по отношению к	2	5
5	сам по себе	1	5
6	то же время	1	5
7	в то же	1	5
8	в отличие от	1	4
9	не может быть	3	4
10	друг с другом	2	4
11	в самом деле	1	4
12	и т д	18	4
13	мы уже говорили	1	3
14	как мы увидим	3	3
15	с другой стороны	8	3
16	никак не может	1	3
17	как и в	2	3
18	то время как	1	2
19	тем не менее	4	2
20	в то время	1	2
21	но все же	4	2
22	на то что	2	2
23	в этих случаях	6	2
24	по себе но	1	2
25	о том как	2	1
26	он живет в	2	1
27	в целом его	1	1
28	мере того как	1	1
29	иметь в виду	1	1
30	в виду что	1	1
31	для наших целей	1	1
32	в том числе	1	1
33	по мере того	1	1
34	он не только	1	1
35	одной стороны и	1	1
36	так что он	1	1
37	же как и	2	1
38	но для наших	1	1
39	в себя как	1	1
40	и в других	1	1
41	приведем два примера	1	1
42	что он не	1	1
43	не знаем о	1	1
44	но и в	2	1
45	его функции в	1	1
46	в себе и	1	1
47	том числе и	1	1
48	у него нет	1	1
49	уже после того	2	1
50	же относится и	1	1
51	т е в	3	1
52	в которых может	1	1
53	мы не знаем	2	1
54	с одной стороны	7	1
55	он знает что	1	1
56	в связи с	4	1
57	до некоторой степени	1	1
58	то что он	1	1
59	они друг друга	1	1
60	во всяком случае	1	1
61	то что у	1	1
62	о том что	4	1
63	но тем не	1	1
64	само по себе	1	1
65	на самом деле	1	1
66	этой точки зрения	1	1
67	приведем еще один	1	1
68	в пределах одной	1	1
69	что может быть	1	1
70	можно сказать что	1	1
71	на которой он	1	1
72	сюда же относится	1	1
73	как мы знаем	1	1
74	после того как	3	1
75	и что он	1	1
76	о нем в	1	1
77	в том что	2	1
78	мы увидим что	1	1
79	вид что он	1	1
80	следует за ней	1	1
