N	2gram	Losev_Dial_1	DiskursI
1	в себе	11	19
2	при этом	1	17
3	в этом	12	16
4	как и	2	16
5	и в	18	16
6	в качестве	2	16
7	может быть	17	16
8	и не	30	15
9	а не	14	14
10	то есть	1	12
11	в частности	2	12
12	но в	6	11
13	в мире	2	11
14	но и	7	11
15	со стороны	2	10
16	не только	13	10
17	том что	9	10
18	так и	9	9
19	не может	12	9
20	как в	2	8
21	в том	9	8
22	а также	1	8
23	но не	4	7
24	в данном	3	7
25	в нем	16	7
26	ни в	15	7
27	не менее	2	7
28	прежде всего	10	7
29	то же	10	6
30	еще не	2	6
31	себя в	1	6
32	отнюдь не	9	6
33	все же	5	6
34	в своей	2	6
35	тем самым	1	6
36	по своей	1	6
37	в своем	5	5
38	в противоположность	5	5
39	в то	6	5
40	нового времени	1	5
41	с другой	6	5
42	же время	4	5
43	что в	13	5
44	для него	2	5
45	то что	13	5
46	а с	2	5
47	ни к	2	5
48	я в	2	5
49	я и	1	4
50	и то	9	4
51	разумеется не	1	4
52	в этой	1	4
53	в основе	3	4
54	потому что	14	4
55	этом отношении	2	4
56	о том	4	4
57	известного рода	1	4
58	с одной	2	4
59	одной стороны	2	4
60	как бы	11	4
61	не является	3	4
62	мира и	1	4
63	точки зрения	17	4
64	к его	1	4
65	к этому	2	4
66	также и	7	3
67	например в	1	3
68	чего не	1	3
69	проявляется в	1	3
70	столь же	1	3
71	перед нами	1	3
72	и как	7	3
73	и наконец	1	3
74	все эти	2	3
75	из этих	2	3
76	он не	3	3
77	и может	2	3
78	в другом	2	3
79	его в	1	3
80	это не	9	3
81	жизни но	1	3
82	в этих	5	3
83	в котором	4	3
84	не в	6	3
85	мире и	1	3
86	могут быть	3	3
87	об одном	2	3
88	той или	7	3
89	мысль о	1	3
90	еще в	1	3
91	в его	3	3
92	но она	3	3
93	только в	3	3
94	и его	1	3
95	уже не	2	3
96	из них	2	3
97	в них	3	3
98	или иной	3	3
99	здесь в	2	3
100	не было	6	3
101	не знает	2	3
102	как будто	1	3
103	можно сказать	6	3
104	но это	8	3
105	в пределе	1	3
106	и все	3	3
107	жизни в	1	3
108	жизни а	1	3
109	жизни и	3	3
110	же как	2	2
111	и это	2	2
112	перед лицом	1	2
113	по преимуществу	1	2
114	той же	1	2
115	жизненного опыта	1	2
116	место в	1	2
117	говорить о	5	2
118	в ней	3	2
119	к своему	1	2
120	мы имеем	2	2
121	не нужно	2	2
122	качестве примера	2	2
123	не требует	1	2
124	большей части	1	2
125	отношение к	5	2
126	первый взгляд	1	2
127	стороны и	3	2
128	что как	2	2
129	не более	1	2
130	должна быть	3	2
131	в первую	2	2
132	не к	1	2
133	у пушкина	4	2
134	что ни	3	2
135	является не	2	2
136	одно и	4	2
137	содержит в	3	2
138	же касается	1	2
139	и с	5	2
140	обоих случаях	1	2
141	на почве	1	2
142	но уже	2	2
143	должно быть	3	2
144	такой же	2	2
145	все это	11	2
146	на первый	1	2
147	как все	1	2
148	с точки	12	2
149	непосредственно и	1	2
150	дело в	1	2
151	чем не	1	2
152	никогда не	9	2
153	того и	1	2
154	жизни не	1	2
155	и другого	2	2
156	базируется на	1	2
157	при котором	1	2
158	указать на	1	2
159	с их	1	2
160	но при	1	2
161	здесь не	1	2
162	говорит об	1	2
163	природе своей	1	2
164	времени и	1	2
165	не с	5	2
166	в результате	1	2
167	первую очередь	1	2
168	между тем	1	2
169	эти характеристики	1	2
170	что и	3	2
171	который не	1	2
172	есть в	1	2
173	для рассказа	1	2
174	не о	4	2
175	на примере	1	2
176	именно в	2	2
177	с той	2	2
178	далеко не	1	2
179	по большей	1	2
180	стремится к	2	2
181	может иметь	3	2
182	вместе с	1	2
183	или по	2	2
184	с субъективностью	1	2
185	о чем	2	2
186	в той	1	2
187	что же	3	2
188	а потом	5	2
189	я с	1	2
190	в полном	1	2
191	и для	2	2
192	объекта и	2	2
193	по природе	1	2
194	а в	5	2
195	может и	4	2
196	с ней	2	2
197	другой стороны	4	2
198	что он	11	2
199	и состоит	2	2
200	как нечто	1	1
201	жизни где	1	1
202	речь идет	1	1
203	чтобы не	2	1
204	есть мы	1	1
205	а между	1	1
206	самом деле	3	1
207	это и	4	1
208	изображения и	1	1
209	на деле	2	1
210	и есть	16	1
211	к другому	1	1
212	странное и	1	1
213	можно говорить	2	1
214	проникает в	1	1
215	эпохи то	1	1
216	но если	5	1
217	и могут	1	1
218	к чему	1	1
219	есть не	3	1
220	для своего	2	1
221	и само	1	1
222	мы не	1	1
223	с самых	1	1
224	вопрос о	2	1
225	этом не	1	1
226	он как	1	1
227	что данная	1	1
228	я не	5	1
229	они были	2	1
230	но даже	1	1
231	их самих	1	1
232	нечто более	1	1
233	об их	1	1
234	во мне	1	1
235	не иметь	1	1
236	может так	1	1
237	он сам	5	1
238	на их	1	1
239	в чем	6	1
240	характер и	1	1
241	во всех	1	1
242	во внешнем	1	1
243	в ее	1	1
244	как система	1	1
245	точка зрения	2	1
246	не то	6	1
247	в сторону	1	1
248	всего он	1	1
249	к богу	3	1
250	между внутренним	1	1
251	если в	3	1
252	эта особенность	1	1
253	которая не	2	1
254	не просто	7	1
255	друг от	1	1
256	друга и	1	1
257	у баратынского	3	1
258	на примерах	1	1
259	мере в	1	1
260	почему и	1	1
261	можно констатировать	1	1
262	опору для	1	1
263	просто как	2	1
264	хотя и	4	1
265	а со	1	1
266	себе не	5	1
267	то в	7	1
268	в самом	3	1
269	только то	4	1
270	еще на	1	1
271	в которой	1	1
272	бы не	1	1
273	поэтому и	2	1
274	так в	1	1
275	говорят о	2	1
276	как у	2	1
277	внутренним и	1	1
278	другого это	1	1
279	к выводу	1	1
280	но именно	1	1
281	и только	1	1
282	и именно	1	1
283	пушкина и	1	1
284	и еще	3	1
285	же это	3	1
286	к одному	1	1
287	не как	2	1
288	в силу	1	1
289	о субъективности	1	1
290	одной и	1	1
291	даже относительно	2	1
292	на этом	2	1
293	образа и	2	1
294	с этой	2	1
295	не бывает	1	1
296	таким образом	1	1
297	мы его	1	1
298	сознание и	1	1
299	об этом	4	1
300	и объяснять	1	1
301	всей ее	1	1
302	полной мере	1	1
303	того или	1	1
304	мире как	1	1
305	как при	1	1
306	форму и	2	1
307	не соответствует	1	1
308	еще одно	1	1
309	в жизни	1	1
310	она и	1	1
311	этого не	1	1
312	несмотря на	10	1
313	самых ранних	1	1
314	со всей	2	1
315	вещами и	1	1
316	и внешним	1	1
317	с магическими	1	1
318	в такой	1	1
319	это вы	1	1
320	как произведение	1	1
321	в которых	2	1
322	бы мы	1	1
323	нас она	1	1
324	стало быть	9	1
325	и той	1	1
326	что особенно	1	1
327	и тепла	1	1
328	другом и	1	1
329	тем не	1	1
330	по крайней	4	1
331	и более	4	1
332	же может	2	1
333	для нее	2	1
334	может трактоваться	1	1
335	сознании в	1	1
336	нас самих	1	1
337	вообще но	1	1
338	вплоть до	3	1
339	но они	2	1
340	до известной	1	1
341	она не	6	1
342	виду что	1	1
343	с теми	1	1
344	самого начала	1	1
345	как о	2	1
346	мысли в	2	1
347	дело не	2	1
348	взгляд может	1	1
349	я буду	1	1
350	мы все	1	1
351	о них	1	1
352	самого по	2	1
353	та или	3	1
354	себе самом	2	1
355	не стремится	1	1
356	на язык	1	1
357	ничего не	17	1
358	в разных	3	1
359	того как	1	1
360	имеем дело	1	1
361	или иная	3	1
362	показывает как	1	1
363	к ней	4	1
364	мира по	1	1
365	и до	1	1
366	во всем	2	1
367	есть основания	1	1
368	субъектов и	1	1
369	однако это	1	1
370	а тогда	1	1
371	или не	5	1
372	известной степени	1	1
373	ни о	5	1
374	он видел	1	1
375	не могут	1	1
376	но все	3	1
377	было у	1	1
378	не знаем	1	1
379	отличается от	2	1
380	только еще	1	1
381	уже было	1	1
382	всего в	1	1
383	к тому	4	1
384	его с	3	1
385	но также	1	1
386	указывает на	3	1
387	не есть	40	1
388	в полной	2	1
389	для восприятия	1	1
390	имеет место	1	1
391	оно не	1	1
392	утверждать что	3	1
393	должен быть	1	1
394	наукой или	2	1
395	от друга	1	1
396	и образ	6	1
397	субъекта это	1	1
398	человеческого сознания	2	1
399	с самого	1	1
400	своем значении	1	1
401	эти две	1	1
402	во главе	1	1
403	однако эта	1	1
404	как с	2	1
405	и сам	1	1
406	в образе	1	1
407	здесь как	1	1
408	отождествляется с	7	1
409	и каждый	1	1
410	можно только	2	1
411	ней и	1	1
412	в эпоху	2	1
413	для этого	2	1
414	и даже	13	1
415	бывает в	1	1
416	с ним	6	1
417	мы живем	2	1
418	и смерть	1	1
419	быть выведена	1	1
420	к прямому	1	1
421	и должно	1	1
422	не был	2	1
423	существование но	1	1
424	с действием	1	1
425	никак не	6	1
426	и что	12	1
427	не стоит	1	1
428	и нечто	1	1
429	должно было	1	1
430	добра и	1	1
431	грань между	2	1
432	ним и	1	1
433	крайней мере	4	1
434	даже наиболее	1	1
435	внешнее и	4	1
436	исторического развития	1	1
437	не будучи	2	1
438	и следовательно	2	1
439	как она	7	1
440	не зная	2	1
441	но тут	1	1
442	в современной	2	1
443	свет и	2	1
444	и быть	2	1
445	и весьма	1	1
446	не идет	2	1
447	даже если	3	1
448	может оказаться	2	1
449	и так	2	1
450	для освещения	1	1
451	мира как	1	1
452	имеет своим	1	1
453	так что	15	1
454	есть откровение	1	1
455	же и	2	1
456	только на	3	1
457	и они	1	1
458	в поэзии	1	1
459	не дает	1	1
460	законченной и	1	1
461	например к	1	1
462	мир в	1	1
463	и их	2	1
464	всяком случае	2	1
465	вовсе не	7	1
466	не для	1	1
467	содержание и	1	1
468	в состоянии	1	1
469	для меня	4	1
470	случае не	3	1
471	человек как	1	1
472	как такового	1	1
473	не говорит	4	1
474	общая идея	1	1
475	в случаях	1	1
476	были бы	2	1
477	из того	2	1
478	того что	2	1
479	бытия но	1	1
480	не были	1	1
481	а стало	1	1
482	точек зрения	3	1
483	как духовная	1	1
484	о своем	2	1
485	и между	1	1
486	еще и	3	1
487	и др	1	1
488	между ними	1	1
489	но есть	2	1
490	не нужна	1	1
491	превращается в	1	1
492	света и	3	1
493	его как	1	1
494	там где	1	1
495	главе с	1	1
496	общий контекст	1	1
497	понимания этого	1	1
498	картины природы	1	1
499	как это	4	1
500	места для	1	1
501	в меру	1	1
502	в особенности	5	1
503	покоя как	1	1
504	перехода от	1	1
505	и полное	1	1
506	и там	1	1
507	это его	1	1
508	да и	6	1
509	кто из	1	1
510	об ее	1	1
511	сам в	1	1
512	и смерти	1	1
513	даже в	3	1
514	и от	2	1
515	однако они	1	1
516	видно что	1	1
517	своему собственному	1	1
518	этом и	1	1
519	что касается	2	1
520	двух миров	1	1
521	но для	1	1
522	один из	3	1
523	и точка	1	1
524	о мире	1	1
525	но с	3	1
526	лишь его	1	1
527	ли в	1	1
528	не собственное	1	1
529	его не	6	1
530	хома брут	2	1
531	своей собственной	1	1
532	в повествовании	1	1
533	когда он	1	1
534	но об	1	1
