N	2gram	Kanaev_Sov_1	Literetu
1	и не	6	22
2	в мире	1	16
3	и в	7	16
4	при этом	3	15
5	в этом	7	14
6	не только	4	14
7	в том	4	12
8	может быть	12	12
9	а не	3	12
10	не в	3	10
11	такого рода	2	10
12	то же	3	9
13	в то	1	9
14	в этой	3	8
15	том что	1	8
16	не может	17	8
17	как бы	4	8
18	же время	1	7
19	только в	1	7
20	точки зрения	12	7
21	еще не	3	6
22	с его	1	6
23	в себе	3	6
24	в другом	1	6
25	о том	1	6
26	и его	1	6
27	в его	2	6
28	и т.п	1	6
29	с другой	1	6
30	в отличие	2	5
31	отличие от	2	5
32	в целом	4	5
33	это не	4	5
34	как и	6	5
35	именно в	1	5
36	вместе с	4	5
37	а в	4	5
38	с жизнью	1	4
39	но не	1	4
40	по отношению	1	4
41	хотя и	1	4
42	и если	1	4
43	должно быть	1	4
44	никогда не	1	4
45	данном случае	1	4
46	с одной	2	4
47	в начале	1	4
48	из них	4	4
49	в одном	3	4
50	как у	1	4
51	в природе	1	4
52	одной стороны	1	4
53	в данном	1	4
54	по существу	1	4
55	и для	1	4
56	жизни в	1	4
57	отношению к	1	4
58	самом деле	2	3
59	той же	2	3
60	с ее	1	3
61	но уже	1	3
62	отнюдь не	3	3
63	и наконец	5	3
64	и к	3	3
65	но в	3	3
66	на его	2	3
67	а затем	1	3
68	с точки	5	3
69	в области	3	3
70	для его	2	3
71	еще в	1	3
72	не случайно	1	3
73	прежде всего	5	3
74	все время	1	3
75	живой жизни	1	3
76	совершенно не	2	3
77	уже не	2	3
78	в самом	2	3
79	там где	1	3
80	это как	1	3
81	в третьем	2	3
82	жизни и	4	3
83	того же	1	2
84	в первом	3	2
85	жизни к	1	2
86	для своего	1	2
87	как мы	2	2
88	вопрос о	4	2
89	жизни как	1	2
90	бы то	1	2
91	во всех	1	2
92	в такого	1	2
93	стороны и	1	2
94	все же	3	2
95	нашего столетия	1	2
96	не знает	1	2
97	он в	3	2
98	вследствие этого	1	2
99	все они	1	2
100	в нем	3	2
101	чтобы он	1	2
102	этом с	1	2
103	человека в	1	2
104	то ни	2	2
105	в совершенно	1	2
106	его в	1	2
107	было бы	3	2
108	и даже	2	2
109	той или	1	2
110	она и	1	2
111	несмотря на	1	2
112	мы с	2	2
113	и тогда	1	2
114	еще раз	1	2
115	и при	1	2
116	ни было	1	2
117	в конце	3	2
118	по себе	1	2
119	не менее	2	2
120	свободы и	1	2
121	жизни не	1	2
122	у нас	3	2
123	же самое	2	2
124	он ищет	1	2
125	то она	1	2
126	если бы	1	2
127	одного из	1	2
128	во втором	1	2
129	во всей	1	2
130	и только	1	2
131	в ту	1	2
132	как например	1	2
133	собой но	1	2
134	со всеми	2	2
135	связи с	1	2
136	или иной	2	2
137	в живом	2	2
138	а на	2	2
139	все более	1	2
140	так же	1	2
141	и потому	3	2
142	xix века	1	2
143	в самый	1	2
144	быть только	1	2
145	человек с	1	2
146	скажем в	2	2
147	один из	1	2
148	это последнее	1	2
149	по аналогии	1	2
150	что в	2	2
151	же в	1	2
152	в свою	2	2
153	но еще	1	2
154	в своих	1	2
155	к этому	1	2
156	и наиболее	1	1
157	как известно	2	1
158	жизни где	1	1
159	объективной стороны	1	1
160	на самом	1	1
161	это и	1	1
162	определенные условия	1	1
163	идет о	1	1
164	и есть	2	1
165	между двумя	1	1
166	по преимуществу	1	1
167	и до	1	1
168	все те	2	1
169	он выражается	1	1
170	по его	1	1
171	мы уже	1	1
172	говорить о	2	1
173	совсем иное	1	1
174	что иное	1	1
175	к началу	1	1
176	три направления	1	1
177	кто же	1	1
178	в ней	1	1
179	он сам	1	1
180	иное как	1	1
181	быть в	1	1
182	и внутренний	1	1
183	если в	1	1
184	конечном счете	1	1
185	нет и	4	1
186	независимо от	1	1
187	с этим	2	1
188	в своем	1	1
189	ценность и	1	1
190	в этот	1	1
191	за собой	1	1
192	в нашем	2	1
193	у каждого	3	1
194	ни одна	2	1
195	уже в	3	1
196	как он	3	1
197	так сказать	2	1
198	тем не	2	1
199	он не	1	1
200	при определенных	1	1
201	все перечисленные	1	1
202	и еще	1	1
203	свою собственную	2	1
204	становится его	1	1
205	в корне	1	1
206	жизнью на	1	1
207	же остается	1	1
208	обычно на	1	1
209	значение в	2	1
210	весь мир	1	1
211	только одно	1	1
212	нет в	1	1
213	все равно	1	1
214	этого не	1	1
215	жизни но	1	1
216	как целого	1	1
217	чем в	1	1
218	на этот	2	1
219	что такое	2	1
220	но это	1	1
221	такую же	1	1
222	вовсе не	1	1
223	этот был	1	1
224	она не	1	1
225	мысли в	1	1
226	в процессе	1	1
227	на ее	1	1
228	с и	1	1
229	и возникал	1	1
230	исчезает из	1	1
231	он с	1	1
232	только не	1	1
233	не имеет	1	1
234	к концу	1	1
235	в будущем	1	1
236	в действительности	1	1
237	когда мы	3	1
238	его с	1	1
239	роли а	1	1
240	ничего общего	1	1
241	правда не	1	1
242	свою очередь	2	1
243	если как	1	1
244	и от	1	1
245	так в	1	1
246	времени и	2	1
247	здесь нет	1	1
248	том как	1	1
249	и т.д	3	1
250	на этой	3	1
251	определенным образом	1	1
252	но мы	3	1
253	аналогии с	1	1
254	в конечном	1	1
255	ним и	1	1
256	которая и	1	1
257	по своим	1	1
258	человека как	1	1
259	к нему	1	1
260	одной из	1	1
261	и действительно	1	1
262	может оказаться	1	1
263	по мнению	2	1
264	и у	1	1
265	то и	2	1
266	и их	1	1
267	так как	4	1
268	у него	2	1
269	случае не	1	1
270	процесса и	1	1
271	очередь на	1	1
272	в каждом	8	1
273	только на	1	1
274	с общим	2	1
275	из двух	3	1
276	жизнь по	1	1
277	есть не	1	1
278	на поверхности	1	1
279	не было	1	1
280	в связи	1	1
281	этого явления	1	1
282	иначе жизнь	1	1
283	конечно не	1	1
284	возникновения и	1	1
285	это значит	1	1
286	явлениям жизни	1	1
287	век век	1	1
288	все это	3	1
289	это уже	1	1
290	и более	1	1
291	человек и	1	1
292	но отнюдь	1	1
293	себя самого	1	1
294	для нас	3	1
295	и все	3	1
296	еще более	2	1
297	и жизненных	1	1
298	сказать что	1	1
299	на другом	2	1
300	не что	1	1
301	в таком	2	1
302	они не	1	1
303	которая не	1	1
