N	4gram	Vygotskiy__2	Freidism
1	один и тот же	1	3
2	бы то ни было	1	2
3	в зависимости от того	1	2
4	нам известно из других	1	1
5	в самом деле что	1	1
6	мы имеем в виду	1	1
7	на самом же деле	1	1
8	с научной точки зрения	1	1
9	если мы обратимся к	1	1
10	в собственном смысле слова	3	1
11	в самом деле если	1	1
12	или во всяком случае	2	1
13	что мы знаем о	2	1
14	он приходит к выводу	1	1
15	которой мы говорили выше	1	1
16	к тому чтобы узнать	1	1
17	приходит к выводу что	1	1
18	в первые годы жизни	2	1
19	и не могут быть	1	1
20	ответ на этот вопрос	1	1
21	ответить на этот вопрос	1	1
22	мы старались показать что	1	1
23	в том что в	1	1
24	в коем случае не	1	1
25	о которой мы говорили	1	1
26	что с точки зрения	1	1
27	того что нам известно	2	1
28	ни в коем случае	1	1
29	сводится к тому чтобы	1	1
30	так и со стороны	1	1
31	что нам известно из	2	1
