1	так и в	2	3
2	и не случайно	1	2
3	но все же	4	2
4	точно так же	5	2
5	в данном случае	3	2
6	о том что	2	2
7	то что он	2	1
8	и не может	1	1
9	к тому что	1	1
10	из дома и	1	1
11	за то что	1	1
12	после того как	2	1
13	смысле этого слова	2	1
14	в точности соответствует	2	1
15	своего отца он	1	1
16	не могут быть	1	1
17	и то что	5	1
18	по сравнению с	3	1
19	в этой связи	1	1
20	вряд ли есть	1	1
21	что он не	1	1
22	у него есть	1	1
23	в этом случае	3	1
24	в связи с	2	1
25	и знает что	1	1
26	отцом и сыном	1	1
27	объясняется тем что	1	1
28	с того что	2	1
29	не может быть	4	1
30	ли есть необходимость	1	1
31	все эти черты	1	1
32	на одной стороне	1	1
33	мы видим уже	1	1
34	и я тебе	1	1
35	тем не менее	2	1
36	в дальнейшем он	1	1
37	и вместе с	1	1
38	как и в	1	1
39	в виду не	1	1
40	не только по	1	1
41	это и есть	1	1
42	как и все	1	1
43	это мы видим	1	1
