N	2gram	Berdyaev_N_1	Psycholo
1	то что	4	37
2	и в	16	30
3	в том	8	27
4	что в	9	24
5	и что	2	23
6	потому что	4	23
7	том что	2	21
8	того чтобы	2	20
9	все время	2	20
10	для того	1	20
11	что он	1	17
12	не только	5	16
13	и мы	4	16
14	в этом	7	14
15	в самом	1	14
16	так же	2	13
17	в сущности	1	12
18	с одной	2	12
19	одной стороны	2	12
20	вместе с	2	12
21	может быть	7	11
22	что мы	1	11
23	как на	1	11
24	о том	4	10
25	никогда не	6	9
26	и когда	1	9
27	так как	1	9
28	с другой	3	9
29	для этого	2	9
30	не может	16	9
31	сказать что	3	9
32	с тем	3	8
33	не в	6	8
34	к тому	3	8
35	и это	2	8
36	а не	17	8
37	могут быть	2	8
38	зависимости от	1	7
39	но не	2	7
40	в нем	5	7
41	по себе	1	7
42	в основе	3	7
43	как это	2	7
44	в зависимости	1	6
45	мы уже	1	6
46	в своем	1	6
47	говорит что	1	6
48	что она	2	6
49	что все	2	6
50	как и	7	6
51	и его	1	6
52	как будто	2	6
53	когда мы	2	6
54	уже в	1	6
55	тем что	1	6
56	но и	3	6
57	и не	11	6
58	и для	4	6
59	жизни и	8	6
60	и есть	10	5
61	еще не	3	5
62	в себе	2	5
63	в этой	1	5
64	было бы	1	5
65	сих пор	1	5
66	но в	2	5
67	только в	1	5
68	до сих	1	5
69	и потому	4	5
70	обратиться к	1	5
71	другой стороны	2	5
72	то это	1	4
73	в виду	1	4
74	в ней	5	4
75	и к	5	4
76	и заключается	2	4
77	в основу	1	4
78	в них	4	4
79	в своей	3	4
80	не могли	2	4
81	заключает в	1	4
82	у нас	1	4
83	в его	1	4
84	в конце	1	4
85	от того	1	4
86	прежде всего	4	4
87	как ни	1	4
88	уже давно	1	4
89	и все	4	4
90	а в	2	4
91	не есть	3	4
92	мы не	2	3
93	и на	2	3
94	в ее	3	3
95	как в	3	3
96	в которой	1	3
97	из этих	1	3
98	он не	8	3
99	в силу	1	3
100	можно было	2	3
101	человека в	1	3
102	это не	4	3
103	ни в	6	3
104	в этих	1	3
