N	2gram	Bakhtin_KF_1	Mirosoze
1	может быть	45	30
2	не только	5	29
3	и в	24	28
4	не может	27	28
5	но и	9	25
6	а не	17	25
7	он не	6	24
8	в этом	14	20
9	не было	8	18
10	не в	12	16
11	потому что	2	16
12	в ней	3	15
13	в своей	10	15
14	и есть	9	14
15	никогда не	5	14
16	до конца	3	14
17	в нем	28	13
18	и он	1	12
19	и это	12	12
20	в самом	1	11
21	для него	8	11
22	и не	26	11
23	в своем	16	10
24	человек не	2	10
25	было бы	8	10
26	что в	4	10
27	в мире	6	10
28	прежде всего	2	10
29	что он	2	10
30	был бы	3	10
31	и потому	2	10
32	и все	7	10
33	с тем	2	9
34	но он	1	9
35	и его	17	9
36	не есть	20	9
37	в его	40	9
38	к человеку	1	9
39	есть лишь	5	9
40	в котором	24	8
41	но не	12	8
42	в человеке	1	8
43	не был	1	7
44	менее всего	6	7
45	но в	5	7
46	в себе	21	7
47	любви к	1	7
48	к нему	12	7
49	того что	3	7
50	нет ничего	1	7
51	должна быть	4	6
52	и на	3	6
53	в которой	1	6
54	лишь в	8	6
55	в этой	2	6
56	все в	1	6
57	только в	16	6
58	вместе с	1	6
59	все это	10	6
60	человек и	1	6
61	в том	6	6
62	христа в	1	5
63	нет и	3	5
64	если он	1	5
65	это не	10	5
66	как и	5	5
67	что есть	2	5
68	движении в	1	5
69	то что	7	5
70	и я	5	5
71	мира и	4	5
72	смысле слова	1	4
73	отношения к	1	4
74	это и	2	4
75	и этот	3	4
76	отношение к	5	4
77	не к	1	4
78	не как	4	4
79	и по	1	4
80	должен был	1	4
81	в этих	1	4
82	точки зрения	12	4
83	в их	8	4
84	человека но	1	4
85	к ней	1	4
86	она не	1	4
87	иной мир	1	4
88	мог бы	1	4
89	что и	7	4
90	значит что	1	4
91	один из	2	4
92	уже не	7	4
93	а в	4	4
94	тем что	3	4
95	нет в	4	4
96	всю жизнь	1	4
97	которых он	1	4
98	от него	3	4
99	не знает	5	4
100	небо и	1	4
101	его не	1	3
102	не была	1	3
103	и мира	1	3
104	с его	1	3
105	с этим	1	3
106	когда он	1	3
107	этого мира	3	3
108	бы и	3	3
109	на том	1	3
110	этот процесс	1	3
111	на этом	1	3
112	и с	1	3
113	то есть	1	3
114	его в	5	3
115	в жизни	2	3
116	только одно	1	3
117	мир в	11	3
118	не мог	1	3
119	том что	4	3
120	мира не	3	3
121	не имеет	5	3
122	ничего не	3	3
123	в движении	1	3
124	в момент	3	3
125	к тому	1	3
126	в ее	16	3
127	особенно в	1	3
128	с собой	1	3
129	человека его	1	3
130	в него	2	3
131	это очень	1	3
132	себя в	8	3
133	конечно не	7	3
134	одно из	1	3
135	и их	6	3
136	так как	1	3
137	себя и	2	3
138	людьми и	1	3
139	это есть	2	3
140	в мир	1	3
141	это значит	1	3
142	должно быть	6	3
143	он должен	1	3
144	для нас	4	3
145	хотя бы	4	3
146	в иной	1	3
147	на своем	3	3
148	также и	1	2
149	чтобы не	2	2
150	в этот	1	2
151	не остается	2	2
152	проникает в	5	2
153	к чему	3	2
154	а как	2	2
155	есть единственное	1	2
156	мир не	1	2
157	вопрос о	2	2
158	в виду	3	2
159	по отношению	26	2
160	себе и	3	2
161	относится к	1	2
162	в истории	1	2
163	как в	2	2
164	все же	5	2
165	и как	2	2
166	и к	1	2
167	от этого	2	2
168	за собой	1	2
169	под ним	2	2
170	все эти	10	2
171	бы не	3	2
172	приводит к	1	2
173	самого себя	1	2
174	если бы	8	2
175	он ни	2	2
176	было с	1	2
177	к миру	1	2
178	с ней	1	2
179	не значит	6	2
180	остается лишь	1	2
181	лишь момент	5	2
182	людей и	2	2
183	него и	1	2
184	входит в	3	2
185	который и	1	2
186	бытия но	4	2
187	и мы	2	2
188	чем в	1	2
189	место в	5	2
190	мысли и	1	2
191	от его	5	2
192	он живет	1	2
193	был не	1	2
194	этот мир	2	2
195	с которой	1	2
196	в то	3	2
197	к этим	1	2
198	в основе	5	2
199	его есть	1	2
200	того чтобы	2	2
201	котором не	1	2
202	к добру	1	2
203	по своей	1	2
204	и сама	1	2
205	в каком	4	2
206	когда мы	1	2
207	есть только	1	2
208	могут быть	3	2
209	отличается от	1	2
210	всего в	1	2
211	его с	2	2
212	него как	1	2
213	должен быть	7	2
214	смысле в	2	2
215	и от	1	2
216	и когда	2	2
217	живет в	1	2
218	нет человека	1	2
219	с ним	5	2
220	о нем	4	2
221	о том	3	2
222	может не	2	2
223	с разных	1	2
224	ли она	1	2
225	и во	1	2
226	которой все	2	2
227	человека как	1	2
228	и она	2	2
229	и мир	2	2
230	мы видим	1	2
231	нем не	1	2
232	философии но	2	2
233	жизни и	8	2
234	философии религии	1	2
235	и последняя	1	2
236	никто не	1	2
237	ведь это	1	2
238	которого все	1	2
239	отношению к	22	2
240	для того	3	2
241	момент в	7	2
242	во власти	1	2
243	этом пути	1	2
244	человеческой жизни	1	2
245	его как	5	2
246	он и	2	2
247	по своему	3	2
248	как бы	9	2
249	том смысле	1	2
250	быть не	2	2
251	и для	9	2
252	не существует	1	2
253	она может	1	2
254	я всегда	1	2
255	всего что	1	2
256	уже нет	1	2
257	отношении к	2	2
258	жизни в	5	2
259	в свою	3	2
260	эти слова	1	2
261	понять его	1	2
262	к этому	2	2
263	все что	1	2
264	себя как	2	1
265	я и	2	1
266	только он	1	1
267	ту же	1	1
268	и то	2	1
269	на самом	3	1
270	и до	1	1
271	вокруг человека	1	1
272	в зависимости	1	1
273	разные стороны	1	1
274	из всех	1	1
275	мы имеем	5	1
276	мы не	3	1
277	ни у	2	1
278	я не	6	1
279	жизни как	5	1
280	бы ни	1	1
281	ему в	2	1
282	зависимости от	1	1
283	себе а	2	1
284	стороны его	1	1
285	еще не	4	1
286	себя а	4	1
287	мир мир	1	1
288	нему подхода	1	1
289	во всех	11	1
290	тем как	3	1
291	за тобой	1	1
292	самом деле	3	1
