N	3gram	Tiupa_Anal_2	VerxiiNi
1	с одной стороны	4	7
2	с точки зрения	2	6
3	более или менее	1	5
4	по крайней мере	3	5
5	друг с другом	1	5
6	о том что	6	4
7	к тому же	4	4
8	так или иначе	1	3
9	точно так же	1	3
10	в связи с	1	3
11	тем не менее	3	3
12	в том что	6	3
13	то же самое	1	2
14	в этом отношении	3	2
15	с этой точки	1	2
16	не только для	1	2
17	то же время	2	2
18	этой точки зрения	1	2
19	но и для	1	2
20	той или иной	3	2
21	можно сказать что	1	2
22	на то что	2	2
23	в то же	2	2
24	и в этом	4	2
25	а между тем	1	1
26	сказать что в	1	1
27	состоит в том	4	1
28	между нами и	1	1
29	по отношению к	4	1
30	в самом деле	1	1
31	в соответствии с	2	1
32	свидетельствует о том	1	1
33	крайней мере в	1	1
34	сказать и о	1	1
35	самое следует сказать	1	1
36	в таком случае	2	1
37	до известной степени	1	1
38	сами по себе	1	1
39	в первую очередь	1	1
40	несмотря на его	1	1
41	том или ином	2	1
42	в том или	2	1
43	в данном случае	5	1
44	и т.д в	1	1
45	на этот раз	1	1
46	следует сказать и	1	1
47	в отличие от	2	1
48	из них не	1	1
49	в одну из	1	1
50	с другой стороны	2	1
51	речь идет о	1	1
52	не совпадает с	1	1
53	а в том	1	1
54	только то что	1	1
55	не может быть	1	1
56	в свою очередь	1	1
57	не только не	2	1
58	в рамках определенной	1	1
59	есть то самое	1	1
60	как и ее	1	1
61	в себе не	1	1
62	и тот же	1	1
