N	3gram	Nazirov_Tr_1	Hudozhes
1	о том что	2	9
2	и т п	1	8
3	то же время	5	8
4	в то же	5	8
5	в том что	2	6
6	в самом деле	1	4
7	в этой связи	1	4
8	к тому что	1	4
9	но в то	2	3
10	в связи с	1	3
11	и в самом	2	3
12	тем не менее	1	3
13	как и в	1	3
14	в столкновение с	1	2
15	что он не	1	2
16	вместо того чтобы	1	2
17	не может быть	1	2
18	а между тем	1	1
19	но у него	1	1
20	и не случайно	2	1
21	но при этом	1	1
22	к жизни столь	1	1
23	том что он	1	1
24	и в этом	1	1
25	с самого начала	1	1
26	в отличие от	2	1
27	произведений писателя и	1	1
28	именно в связи	1	1
29	как и все	1	1
30	л н толстой	1	1
31	еще ничего не	1	1
32	в высшей степени	1	1
33	в конце концов	1	1
34	объясняется тем что	1	1
35	так и в	3	1
36	по нашему мнению	1	1
37	во всяком случае	1	1
38	xx века в	1	1
39	за этими словами	1	1
40	в данном случае	2	1
41	между этими двумя	2	1
42	с того что	1	1
43	не только не	1	1
44	но все же	2	1
45	за то что	1	1
46	приходит в голову	1	1
47	все же не	1	1
48	друг друга и	1	1
49	по мнению л	1	1
50	своей и чужой	1	1
