N	2gram	Bakhtin_Pr_3	Poddanst
1	не только	4	17
2	и в	53	14
3	и не	15	12
4	в области	3	11
5	в этом	8	10
6	в качестве	1	9
7	но в	5	9
8	то же	6	9
9	в том	14	9
10	хотя бы	2	8
11	только в	4	7
12	в то	5	7
13	же время	5	7
14	в ней	7	6
15	xix века	1	6
16	было бы	5	6
17	но и	7	6
18	в смысле	2	6
19	с другой	2	5
20	может быть	12	5
21	а я	2	5
22	не в	2	5
23	а также	4	4
24	в своем	1	4
25	и к	5	4
26	как бы	14	4
27	и если	3	4
28	том что	5	4
29	не может	2	4
30	и потому	5	4
31	в котором	1	4
32	что в	2	4
33	мы должны	4	4
34	а в	2	4
35	то что	9	4
36	мы не	4	3
37	столь же	1	3
38	между тем	2	3
39	это не	6	3
40	хотя и	4	3
41	тот же	2	3
42	с ними	1	3
43	в себе	5	3
44	в нем	10	3
45	в россии	1	3
46	для того	1	3
47	заключается в	1	3
48	прежде всего	15	3
49	света как	1	3
50	и без	3	3
51	с точки	2	3
52	но не	5	3
53	наряду с	5	3
54	могут быть	4	3
55	тем самым	1	3
56	потому что	5	3
57	точки зрения	4	3
58	я и	1	3
59	и это	3	2
60	например в	5	2
61	в сфере	1	2
62	в ее	3	2
63	в мире	5	2
64	есть не	1	2
65	по сравнению	4	2
66	есть нечто	1	2
67	но к	3	2
68	в xix	1	2
69	время в	1	2
70	во всех	12	2
71	в которую	1	2
72	говорить о	2	2
73	в общем	1	2
74	во всей	4	2
75	с этим	2	2
76	и пусть	2	2
77	как мир	1	2
78	есть в	3	2
79	в начале	2	2
80	главным образом	3	2
81	и других	9	2
82	в его	8	2
83	из них	4	2
84	не к	1	2
85	в силу	1	2
86	где в	2	2
87	именно как	1	2
88	и с	6	2
89	именно в	2	2
90	и тем	2	2
91	в жизни	8	2
92	xix веке	1	2
93	в определенную	1	2
94	для них	1	2
95	в них	2	2
96	весьма вероятно	1	2
97	не было	4	2
98	а не	11	2
99	в эту	3	2
100	жизнь которую	1	2
101	не будем	3	2
102	творчества и	1	2
103	культуры в	1	2
104	не менее	3	2
105	все это	8	2
106	не о	2	2
107	одна из	7	2
108	да и	2	2
109	еще более	5	2
110	тем более	2	2
111	и мучеников	1	2
112	как на	1	2
113	том числе	11	2
114	в применении	1	1
115	от этой	1	1
116	также и	4	1
117	и через	3	1
118	связана с	2	1
119	и то	1	1
120	и поныне	1	1
121	на основе	2	1
122	и этим	1	1
123	в себя	6	1
124	из предшествующего	1	1
125	применении к	1	1
126	собственном смысле	2	1
127	заставить их	1	1
128	особенно в	4	1
129	века как	1	1
130	очень далеко	1	1
131	не тех	1	1
132	что дело	1	1
133	бы что	1	1
134	что уже	2	1
135	развитие в	2	1
136	в эпоху	10	1
137	для этого	1	1
138	в собственном	2	1
139	план в	1	1
140	с ее	1	1
141	и ее	6	1
142	именно потому	1	1
143	мы и	2	1
144	эти явления	1	1
145	и здесь	1	1
146	церкви в	1	1
147	судеб и	1	1
148	но несколько	1	1
149	подчеркнуть что	3	1
150	и что	1	1
151	литературы и	2	1
152	еще не	5	1
153	и на	18	1
154	он был	1	1
155	это но	1	1
156	в различных	1	1
157	с его	2	1
158	вопросу о	1	1
159	восходит к	1	1
160	и главное	1	1
161	психологическом и	1	1
162	жить и	4	1
163	не все	1	1
164	что и	3	1
165	отличие от	1	1
166	не просто	1	1
167	есть с	2	1
168	и достоевский	1	1
169	них в	2	1
170	в истории	3	1
171	государства и	1	1
172	стилю и	1	1
173	и где	1	1
174	обе эти	3	1
175	сочетаются с	1	1
176	мы видим	2	1
177	действие в	2	1
178	над собой	2	1
179	более или	3	1
180	бы из	1	1
181	и греческой	1	1
182	поскольку мы	1	1
183	в самом	2	1
184	в условиях	4	1
185	в которой	2	1
186	во времени	1	1
187	что это	2	1
188	могли бы	1	1
189	у каждого	1	1
190	из этих	1	1
191	именно на	1	1
192	человека с	1	1
193	история и	1	1
194	отчасти и	2	1
195	развитии европейской	2	1
196	в глубины	1	1
197	только один	1	1
198	и современная	1	1
199	уже в	2	1
200	во многих	1	1
201	xviii и	2	1
202	в большинстве	4	1
203	только на	1	1
204	но на	1	1
205	философской и	1	1
206	в европейском	1	1
207	взятые в	1	1
208	в определенном	1	1
209	веры и	1	1
210	вероятно что	1	1
211	мир в	1	1
212	стал также	1	1
213	идеи и	3	1
214	не как	1	1
215	свои собственные	1	1
216	к ним	1	1
217	исторические и	1	1
218	друг друга	1	1
219	мы можем	5	1
220	века в	4	1
221	каждый из	1	1
222	широко и	1	1
223	и по	3	1
224	дело идет	1	1
225	прежде чем	2	1
226	с собой	1	1
227	в каждом	4	1
228	а затем	4	1
229	связанные с	3	1
230	имеют в	1	1
231	в исторической	1	1
232	ней и	1	1
233	и некоторой	1	1
234	или иной	1	1
235	развития в	1	1
236	на этой	1	1
237	большинстве случаев	4	1
238	его в	2	1
239	в душе	1	1
240	связаны с	3	1
241	живет в	2	1
242	времени так	1	1
243	сущности а	1	1
244	например с	1	1
245	что не	1	1
246	или хотя	1	1
247	к более	1	1
248	и мертвых	1	1
249	где он	1	1
250	далеко не	2	1
251	в этой	1	1
252	идеи в	2	1
253	зрения исторической	1	1
254	как и	11	1
255	и уже	2	1
256	в свете	1	1
257	ведет к	1	1
258	в развитии	3	1
259	раскрывается в	1	1
260	не об	1	1
261	нисколько не	1	1
262	и еще	1	1
263	эту эпоху	1	1
264	или менее	3	1
265	что если	1	1
266	в творчестве	8	1
267	что истина	1	1
268	творчестве достоевского	5	1
269	работы в	1	1
270	люди и	2	1
271	и особенно	3	1
272	причастны к	1	1
273	представить себе	1	1
274	всяком случае	1	1
275	того чем	1	1
276	что именно	2	1
277	место в	2	1
278	в отличие	1	1
279	мысли и	1	1
280	знаем что	1	1
281	сравнению с	4	1
282	он будет	1	1
283	живых и	1	1
284	что было	1	1
285	из авторов	1	1
286	и более	2	1
287	там где	1	1
288	и вся	3	1
289	сочетается со	3	1
290	от тех	1	1
291	xviii века	3	1
292	иной раз	1	1
293	мире в	1	1
294	к другим	2	1
295	которые были	1	1
296	этом смысле	1	1
297	исторической и	2	1
298	идет именно	1	1
299	как возможность	1	1
300	общественной и	1	1
301	и образы	1	1
302	рассматривать как	1	1
303	никогда не	2	1
304	ней только	1	1
305	в результате	1	1
306	казалось бы	3	1
307	или иным	1	1
308	этих двух	2	1
309	исторической действительности	1	1
310	и притом	1	1
311	и которая	1	1
312	как она	1	1
313	и народной	1	1
314	другой стороны	1	1
315	к разрушению	1	1
316	и теперь	1	1
317	в этих	5	1
318	всеми его	1	1
319	над ним	1	1
320	нет ничего	2	1
321	конечно и	4	1
322	гоголя и	1	1
323	отношением к	1	1
324	в момент	1	1
325	по одному	1	1
326	является и	1	1
327	традиции в	1	1
328	одновременно и	3	1
329	что все	1	1
330	этом не	1	1
331	есть и	2	1
332	в других	1	1
333	начала в	1	1
334	числе и	10	1
335	мы все	2	1
336	к этой	1	1
337	сочетаться с	1	1
338	ни на	1	1
339	и другие	9	1
340	вместе с	2	1
341	все еще	3	1
342	это в	1	1
343	темы и	4	1
344	ее по	1	1
345	в последующие	2	1
346	во всяком	1	1
347	они не	3	1
