N	3gram	Trubetskoy_1	Vvedenie
1	для того чтобы	6	20
2	в том что	7	12
3	о том что	2	12
4	не может быть	4	8
5	тем не менее	1	8
6	до сих пор	5	6
7	в самом деле	1	6
8	в применении к	1	6
9	то же время	10	6
10	в то же	10	6
11	в том чтобы	1	5
12	не трудно видеть	1	5
13	по отношению к	1	4
14	в этом случае	3	4
15	в этом отношении	1	4
16	можно было бы	3	4
17	на этот вопрос	1	4
18	по крайней мере	1	4
19	в данном случае	3	4
20	и в этом	1	4
21	во всяком случае	6	4
22	трудно видеть что	1	4
23	в том виде	1	3
24	вместе с тем	3	3
25	вопрос о том	1	3
26	но в то	1	3
27	и в том	2	3
28	заключается в том	1	3
29	сама по себе	2	3
30	но все же	1	3
31	в другом месте	1	2
32	состоит в том	1	2
33	дело в том	1	2
34	то же самое	1	2
35	с точки зрения	9	2
36	представить себе что	1	2
37	точно так же	2	2
38	в значительной мере	2	2
39	в конце концов	3	2
40	смысле этого слова	1	2
41	не могут не	2	2
42	чтобы понять что	2	2
43	в связи с	1	2
44	народов и в	1	2
45	данной национальной культуры	1	2
46	мы уже знаем	1	2
47	той или иной	3	2
48	и того же	1	1
49	а между тем	5	1
50	не может не	3	1
51	это есть та	1	1
52	при беспристрастном взгляде	1	1
53	в начале этой	1	1
54	которая как мы	1	1
55	прежде всего в	1	1
56	более или менее	4	1
57	это то же	1	1
58	на самом деле	6	1
59	одной из этих	1	1
60	в настоящее время	2	1
61	русского языка и	1	1
62	во многих случаях	1	1
63	в том же	1	1
64	может быть назван	1	1
65	данном случае и	1	1
66	в нем все	1	1
67	беспристрастном взгляде на	1	1
68	в лучшем случае	3	1
69	чтобы сделать эти	1	1
70	так смотрят на	1	1
71	так чтобы в	1	1
72	также и то	1	1
73	потому что и	1	1
74	только в том	2	1
75	только то что	1	1
76	что не только	1	1
77	но ведь в	1	1
78	совершенно ясно что	1	1
79	заключает в себе	1	1
80	жизни данного народа	1	1
81	с идеями национального	1	1
82	нечего и говорить	1	1
83	могут не быть	1	1
84	есть только один	1	1
85	том виде как	1	1
86	и то что	3	1
87	тот факт что	2	1
88	так же как	1	1
89	его можно было	1	1
90	то ни было	1	1
91	как видно из	1	1
92	ни к какому	1	1
93	все что может	2	1
94	но не к	1	1
95	в течение очень	1	1
96	от этого не	1	1
97	всяком случае не	1	1
98	идет речь не	1	1
99	бы то ни	4	1
100	лишь в том	2	1
101	о котором мы	1	1
102	ее отношения к	1	1
103	потому что они	1	1
104	а в том	1	1
105	вся эта работа	2	1
106	конкретно представить себе	1	1
107	от того что	1	1
108	говорить о том	1	1
109	в свою очередь	1	1
110	смотреть как на	1	1
111	того или иного	2	1
112	с самого начала	1	1
113	может оказаться для	1	1
114	течение очень долгого	1	1
115	и прежде всего	1	1
116	одного и того	1	1
117	но и обратно	1	1
118	же время в	1	1
119	было бы обозначить	1	1
120	у разных народов	1	1
121	к тому что	2	1
122	только в этом	1	1
123	и это особенно	1	1
124	и те кто	1	1
125	и вопрос о	1	1
