N	3gram	Bakhtin_Pr_2	VrazhdaK
1	то же время	3	4
2	в то же	3	4
3	как и у	1	3
4	в русской литературе	2	3
5	он не только	2	2
6	с точки зрения	9	2
7	в письме к	1	2
8	но в то	3	2
9	не может быть	6	2
10	в том что	4	2
11	то что я	1	1
12	далеко не все	1	1
13	жития великого грешника	1	1
14	уже в конце	1	1
15	же время и	1	1
16	в этом смысле	5	1
17	тем более что	1	1
18	достоевский прежде всего	2	1
19	до сих пор	2	1
20	и не может	2	1
21	в романе достоевского	1	1
22	преступлении и наказании	2	1
23	он и не	2	1
24	к творчеству достоевского	1	1
25	не было бы	1	1
26	в этом отношении	2	1
27	независимо от того	1	1
28	романа может быть	1	1
29	среди них он	1	1
30	как он сам	2	1
31	в преступлении и	2	1
32	отношение автора к	1	1
33	по крайней мере	2	1
34	в момент его	1	1
35	идет не об	3	1
36	так же как	3	1
37	преступления и наказания	1	1
38	в высшей степени	1	1
39	в конце концов	3	1
40	к достоевскому как	1	1
41	и в этом	6	1
42	ее и в	1	1
43	каждый из них	1	1
44	что он сам	1	1
45	достоевского далеко не	1	1
46	от того как	1	1
47	что у него	1	1
48	с другой стороны	1	1
49	мы считаем что	1	1
50	как бы в	2	1
51	тем не менее	1	1
52	преступление и наказание	2	1
53	у него в	1	1
54	в то время	1	1
55	о том что	3	1
56	и в самом	2	1
57	он как бы	1	1
58	на то что	2	1
59	но как в	1	1
60	к страхову в	1	1
61	из подполья но	1	1
