N	3gram	Losev_Vesc_1	OGranits
1	с точки зрения	3	5
2	не может быть	6	4
3	есть прежде всего	2	3
4	одно и то	4	3
5	что иное как	7	2
6	представим себе что	1	2
7	но так как	1	2
8	в самом деле	4	2
9	в зависимости от	1	2
10	в данном случае	2	2
11	с одной стороны	3	2
12	и то же	4	2
13	с другой стороны	2	2
14	есть не что	5	2
15	не что иное	7	2
16	в том что	4	2
17	точки зрения и	1	1
18	тот же самый	1	1
19	только потому что	1	1
20	в чем же	3	1
21	этой точки зрения	1	1
22	более или менее	1	1
23	равно как и	2	1
24	слово в его	1	1
25	подобно тому как	4	1
26	то же самое	1	1
27	и есть не	2	1
28	здесь мы не	1	1
29	мы можем установить	1	1
30	можно говорить о	2	1
31	только то что	2	1
32	в этом отношении	1	1
33	нужно сказать что	1	1
34	в собственном смысле	2	1
35	можно было бы	1	1
36	с этой точки	1	1
37	по себе а	1	1
38	ту или иную	2	1
39	только и может	1	1
40	для того чтобы	2	1
41	так же как	1	1
42	существует только в	1	1
43	один из наиболее	1	1
44	между собою и	2	1
45	тем не менее	3	1
46	и как бы	1	1
47	в одном случае	1	1
48	само по себе	1	1
49	он и не	1	1
50	все то что	1	1
51	потому что они	3	1
52	не только одно	1	1
53	не мог бы	1	1
54	что же такое	3	1
55	то не только	2	1
56	мы не можем	1	1
57	что в ней	1	1
58	хотя бы в	2	1
59	на то что	2	1
60	в то же	1	1
61	к тому что	2	1
62	я беседую с	1	1
63	тех или иных	1	1
64	не может в	1	1
