N	3gram	Propp_Isto_5	Tvorches
1	в то же	1	13
2	то же время	1	12
3	в том что	2	6
4	о том что	4	5
5	что все это	1	3
6	в соответствии с	1	3
7	с самого начала	1	3
8	это уже не	2	2
9	на самом деле	1	2
10	в свою противоположность	2	2
11	точно так же	1	2
12	в данном случае	2	2
13	не только в	2	2
14	можно сказать что	1	2
15	тем не менее	4	2
16	как и его	1	1
17	мы знаем из	1	1
18	по отношению к	2	1
19	до сих пор	2	1
20	и в других	1	1
21	что он не	1	1
22	в отличие от	1	1
23	вместе с тем	6	1
24	и тем не	1	1
25	совершенно естественно что	1	1
26	в ту же	1	1
27	все же и	1	1
28	с одной стороны	7	1
29	не только для	1	1
30	в связи с	4	1
31	из них он	1	1
32	мы уже говорили	1	1
33	целый ряд других	1	1
34	что у него	1	1
35	объясняется тем что	1	1
36	что может быть	1	1
37	в свою очередь	1	1
38	это значит что	2	1
39	он не может	2	1
40	с другой стороны	8	1
41	но это не	2	1
42	в себя как	1	1
43	приходит на смену	1	1
44	как и в	2	1
45	дело не в	1	1
46	и т д	18	1
