N	3gram	Medvedev_S_1	Problema
1	то же самое	1	9
2	в том что	2	5
3	только то что	1	4
4	в конце концов	2	4
5	в связи с	1	4
6	в то же	1	4
7	сама по себе	1	4
8	сказать и о	1	3
9	во всяком случае	1	3
10	то что в	1	3
11	в настоящее время	1	3
12	о том как	1	2
13	по крайней мере	1	2
14	это вовсе не	1	2
15	в этой области	1	2
16	и в этом	1	2
17	а между тем	1	1
18	не выходит за	1	1
19	том что это	1	1
20	на первый план	1	1
21	и в то	1	1
22	и никак не	1	1
23	ровно ничего не	1	1
24	ни на что	1	1
25	но ведь это	2	1
26	как бы они	1	1
27	не было бы	1	1
28	вступает в свои	1	1
29	в свои права	1	1
30	выходит за пределы	1	1
31	только в этом	2	1
32	в том и	1	1
33	что в них	1	1
34	ведь это же	1	1
