1	состоит в том что	2	3
2	не в том чтобы	1	3
3	т е как бы	1	2
4	заключается в том что	2	2
5	в то же время	3	2
6	и в самом деле	1	2
7	а с другой стороны	1	2
8	то обстоятельство что в	1	2
9	с этой точки зрения	1	1
10	в том смысле что	1	1
11	и т д по	1	1
12	в самом деле может	1	1
13	указания на то что	1	1
14	в том что не	1	1
15	и то обстоятельство что	1	1
16	не в том что	1	1
17	и т п ср	1	1
18	о том что он	1	1
19	что мы имеем в	2	1
20	ср с другой стороны	1	1
21	и т д разумеется	1	1
22	я имею в виду	1	1
23	в начале xix века	3	1
