N	2gram	Losev_Prob_1	Istorich
1	и в	32	24
2	не только	17	21
3	что он	7	21
4	и т	11	17
5	т д	10	16
6	этих случаях	3	16
7	т е	1	16
8	может быть	14	14
9	не может	8	14
10	что в	12	13
11	в этих	3	13
12	мы имеем	2	12
13	как в	4	12
14	в этом	19	12
15	и здесь	6	12
16	но и	9	11
17	это не	6	10
18	том что	12	10
19	и что	9	10
20	мы видим	2	10
21	а в	4	10
22	все же	1	9
23	с другой	3	9
24	не в	4	9
25	о том	11	9
26	потому что	16	9
27	то же	10	8
28	еще не	9	8
29	показывает что	1	8
30	так как	11	8
31	другой стороны	3	8
32	а не	15	8
33	все это	7	8
34	или в	4	8
35	во всех	7	7
36	то что	42	7
37	в первую	1	7
38	таким образом	6	7
39	мы видели	1	7
40	одна из	1	7
41	с собой	2	7
42	к нему	3	7
43	что здесь	3	7
44	один из	4	7
45	в том	9	7
46	вместе с	2	7
47	что это	3	6
48	но не	9	6
49	как он	4	6
50	в нем	13	6
51	он не	3	6
52	всех этих	7	6
53	об этом	10	6
54	как и	3	6
55	для нас	5	6
56	и все	7	6
57	а именно	12	6
58	того что	7	6
59	только в	7	6
60	тем что	7	6
61	так же	9	6
62	с этой	1	6
63	во время	1	6
64	мы увидим	3	6
65	то это	1	5
66	в чем	3	5
67	но в	14	5
68	что она	5	5
69	не менее	19	5
70	с ним	3	5
71	дело не	1	5
72	ничего не	10	5
73	так и	12	5
74	представление об	2	5
75	видно что	1	5
76	тот кто	2	5
77	же как	2	4
78	начинается с	1	4
79	он может	1	4
80	мы уже	5	4
81	мы не	2	4
82	первый взгляд	1	4
83	как бы	14	4
84	при этом	6	4
85	мы можем	4	4
86	но все	3	4
87	на первый	2	4
88	точки зрения	3	4
89	в их	4	4
90	тем не	18	4
91	по существу	2	4
92	не имеет	2	4
93	никогда не	7	4
94	в других	5	4
95	в брак	1	4
96	представления о	1	4
97	то и	6	4
98	вовсе не	35	4
99	если не	4	4
100	в данном	9	4
101	и не	31	4
102	мы должны	5	4
103	есть и	3	4
104	например в	2	3
105	с его	2	3
106	тоже не	7	3
107	что они	3	3
108	кроме того	2	3
109	хотя и	6	3
110	видим и	1	3
111	из этих	2	3
112	в дальнейшем	4	3
113	на то	8	3
114	если он	1	3
115	и если	6	3
116	после этого	4	3
117	на новые	1	3
118	том чтобы	1	3
119	а его	1	3
120	его в	6	3
121	кажется что	1	3
122	в них	7	3
123	и становится	1	3
124	представление о	1	3
