N	3gram	Trubetskoy_1	KFilosof
1	по отношению к	9	21
2	не может быть	3	11
3	с точки зрения	8	10
4	в данный момент	1	3
5	на самом деле	7	3
6	между тем как	1	3
7	только по отношению	1	2
8	бы то ни	2	2
9	то ни было	2	2
10	во всех этих	2	2
11	во всех отношениях	1	2
12	то же время	2	2
13	в моем сознании	1	2
14	в то же	2	2
15	тем не менее	4	2
16	в том что	15	2
17	а не в	1	2
18	на то что	7	1
19	не может не	3	1
20	а следовательно и	1	1
21	именно в этой	1	1
22	нет и не	1	1
23	никогда не было	1	1
24	в целом есть	1	1
25	образом и в	1	1
26	время от времени	2	1
27	того что в	1	1
28	и того же	3	1
29	и может быть	2	1
30	конечно не стоит	1	1
31	различия между отдельными	1	1
32	в настоящее время	2	1
33	в том же	3	1
34	тогда когда оно	1	1
35	что и для	1	1
36	он не может	2	1
37	из него все	1	1
38	я тем самым	1	1
39	только в том	1	1
40	не подлежит сомнению	3	1
41	в лучшем случае	1	1
42	в зависимости от	1	1
43	независимо от того	1	1
44	о том кто	1	1
45	жизни и культуры	1	1
46	и в ту	1	1
47	несмотря на то	2	1
48	вместе с тем	2	1
49	и то что	3	1
50	но все они	1	1
51	может быть и	4	1
52	если мы возьмем	1	1
53	на задний план	1	1
54	смысле этого слова	1	1
55	в том случае	4	1
56	отношению к таким	1	1
57	лишь при условии	2	1
58	не в том	1	1
59	в нем не	1	1
60	представляют из себя	3	1
61	дело в том	1	1
62	во всяком случае	2	1
63	я не могу	1	1
64	для того чтобы	7	1
65	вместо того чтобы	1	1
66	и жизни культуры	1	1
67	ввиду того что	1	1
68	в противоречие с	1	1
69	но для того	1	1
70	же самое что	1	1
71	в свою очередь	2	1
72	все же будет	1	1
73	к которой он	1	1
74	не менее в	1	1
75	как бы ни	1	1
76	одного и того	3	1
77	все остальное в	1	1
78	в другом случае	1	1
79	в этом последнем	1	1
80	к тому что	1	1
81	только в этом	1	1
82	и в нем	1	1
83	это может быть	1	1
84	совершенно иной чем	2	1
85	только тогда когда	1	1
86	то же самое	1	1
87	как бы он	1	1
