N	2gram	Propp_Russ_1	PoTuStor
1	может быть	8	17
2	и в	36	16
3	и пр	2	12
4	в этом	12	9
5	таким образом	6	9
6	мы можем	2	9
7	и с	2	8
8	точки зрения	3	8
9	и его	1	8
10	не может	4	8
11	с его	1	7
12	не только	22	7
13	сказать что	1	7
14	самом деле	1	6
15	при этом	6	6
16	с точки	3	6
17	и это	1	6
18	и к	3	6
19	еще не	4	5
20	в чем	1	5
21	все эти	2	5
22	только для	2	5
23	ни в	1	5
24	нуждается в	1	5
25	как бы	5	5
26	на самом	2	4
27	и ее	1	4
28	и на	10	4
29	отнюдь не	2	4
30	и наконец	1	4
31	но в	2	4
32	в этой	1	4
33	в нем	2	4
34	его в	1	4
35	жизни человека	1	4
36	в один	2	4
37	все это	6	4
38	как мы	10	4
39	так и	7	4
40	но мы	1	4
41	можно сказать	1	4
42	в его	2	4
43	с ними	5	4
44	только в	4	4
45	и их	4	4
46	так как	15	4
47	но и	16	4
48	и не	6	4
49	и все	1	4
50	все что	1	4
51	тех же	1	3
52	во всех	4	3
53	в общем	1	3
54	и как	2	3
55	на две	1	3
56	и теперь	1	3
57	их в	3	3
58	на этом	3	3
59	на этой	2	3
60	том что	19	3
61	во время	14	3
62	в одном	3	3
63	в основе	1	3
64	те же	1	3
65	в том	17	3
66	в большинстве	2	3
67	только на	3	3
68	большинстве случаев	2	3
69	мы знаем	1	3
70	всяком случае	1	3
71	в области	3	3
72	и др	4	3
73	пр и	1	3
74	но оно	1	3
75	вместе с	10	3
76	и потому	2	3
77	как это	8	3
78	могут быть	2	3
79	в основном	3	3
80	что в	19	3
81	в этих	3	3
82	а в	9	3
83	то что	6	3
84	между ними	1	3
85	только как	1	3
86	жизни и	1	3
87	во всяком	1	3
88	ту же	1	2
89	же как	1	2
90	мы уже	1	2
91	мы не	6	2
92	и о	1	2
93	говорить о	1	2
94	того же	1	2
95	на них	1	2
96	между собой	2	2
97	из этих	4	2
98	совсем не	1	2
99	с этим	2	2
100	в этот	10	2
101	что это	3	2
102	он не	1	2
103	и по	8	2
104	то же	3	2
105	по своему	1	2
106	связанные с	3	2
107	связанных с	1	2
108	и мы	1	2
109	было бы	1	2
110	в жизни	2	2
111	по всему	1	2
112	в них	6	2
113	как и	10	2
114	не менее	3	2
115	так называемый	2	2
116	что на	4	2
117	не могут	1	2
118	и всех	1	2
119	как не	2	2
120	на основе	1	2
121	в пределах	1	2
122	быть может	1	2
123	для этого	2	2
124	и вообще	1	2
125	с ним	2	2
126	находится в	2	2
127	является по	1	2
128	о том	8	2
129	рождения и	1	2
130	для нас	6	2
131	что и	7	2
132	во всей	1	2
133	один из	8	2
134	мы видим	2	2
135	что он	1	2
136	и действительно	1	2
137	и так	1	2
138	поэтому и	1	2
139	есть в	1	2
140	не можем	3	2
141	в начале	1	2
142	за счет	2	2
143	и других	7	2
144	к ним	3	2
