N	2gram	Propp_Isto_1	FransuaR
1	и в	28	40
2	и его	3	17
3	прежде всего	10	16
4	в этом	8	15
5	мы уже	1	13
6	не только	12	13
7	в его	5	13
8	и не	9	13
9	вовсе не	2	12
10	что в	12	12
11	как и	4	11
12	но и	10	11
13	таким образом	8	10
14	как мы	3	10
15	он не	2	9
16	в них	1	9
17	может быть	25	9
18	и все	1	9
19	и на	4	8
20	все эти	4	8
21	и с	4	8
22	во время	3	8
23	в эпоху	2	8
24	в том	9	8
25	у него	1	8
26	но в	8	8
27	то же	12	7
28	в своем	5	7
29	в виду	1	7
30	в ту	2	7
31	в одном	5	7
32	и др	7	7
33	во всех	2	6
34	в этих	7	6
35	в то	3	6
36	связи с	4	6
37	связь с	4	6
38	мы еще	3	6
39	в своей	1	6
40	к этому	2	6
41	в году	1	5
42	в нем	2	5
43	так сказать	1	5
44	в основе	4	5
45	и для	4	5
46	в особенности	2	5
47	те же	1	5
48	мы видим	11	5
49	для него	2	5
50	то что	9	5
51	не было	1	5
52	а не	15	5
53	в связи	4	5
54	как раз	2	5
55	также и	3	4
56	из всех	2	4
57	в ней	7	4
58	xix века	2	4
59	в истории	1	4
60	в нашем	1	4
61	было бы	7	4
62	с начала	1	4
63	том что	7	4
64	в эту	1	4
65	в их	3	4
66	даже в	4	4
67	того чтобы	1	4
68	в области	2	4
69	у нас	1	4
70	о том	9	4
71	так в	4	4
72	и здесь	7	4
73	а также	1	4
74	один из	4	4
75	только на	1	4
76	из них	3	4
77	так как	6	4
78	за этим	1	4
79	и даже	4	4
80	до сих	5	4
81	и глубже	1	4
82	здесь в	2	4
83	века и	1	4
84	и потому	2	4
85	сих пор	5	4
86	в основном	2	4
87	все это	4	4
88	видно что	6	4
89	на самом	1	3
90	и есть	1	3
91	поэтому он	2	3
92	только для	2	3
93	он был	1	3
94	по отношению	3	3
95	отличие от	2	3
96	в этой	6	3
97	кроме того	1	3
98	и как	2	3
99	и к	1	3
100	шире и	1	3
101	в себе	2	3
102	но ведь	1	3
103	в свет	1	3
104	связанные с	2	3
105	при этом	3	3
106	большей или	2	3
107	всех этих	2	3
108	но дело	1	3
109	связаны со	1	3
110	об этом	4	3
111	мы видели	2	3
112	в отличие	2	3
113	их в	5	3
114	для этого	3	3
115	вплоть до	1	3
116	в таких	2	3
117	дело не	5	3
118	одна из	2	3
119	так много	1	3
120	во всем	3	3
121	о нем	2	3
122	но все	4	3
123	здесь не	4	3
124	в ее	2	3
125	можно было	5	3
