N	2gram	Losev_Dial_3	Retstnzi
1	не может	19	4
2	и в	24	3
3	и можно	2	1
4	и больше	4	1
5	то же	6	1
6	в ней	2	1
7	и истории	1	1
8	его от	1	1
9	может быть	13	1
10	из этих	2	1
11	и не	27	1
12	в его	2	1
13	может и	2	1
14	связи с	1	1
15	конечно и	1	1
16	теми или	1	1
17	явление если	1	1
18	впадает в	1	1
19	не только	23	1
20	с точки	14	1
21	сравнении с	3	1
22	не менее	11	1
23	для него	4	1
24	ни один	2	1
25	если бы	6	1
26	тому что	4	1
27	лучше всего	1	1
28	нет и	4	1
29	можно и	3	1
30	к тому	4	1
31	в особенности	7	1
32	несмотря на	2	1
33	и все	6	1
34	ничего кроме	1	1
35	в то	5	1
36	вопрос что	1	1
37	вещей и	6	1
38	бы в	2	1
39	но и	9	1
40	точки зрения	25	1
41	влияния на	1	1
42	и на	3	1
43	не смог	1	1
44	же время	3	1
45	больше ничего	6	1
46	а не	26	1
