N	3gram	Tiupa_Narr_2	Formalny
1	не может быть	2	10
2	в связи с	1	10
3	и т п	2	9
4	с точки зрения	2	7
5	в этом отношении	3	7
6	в самом деле	1	5
7	то же время	3	5
8	в то же	3	5
9	во всяком случае	1	5
10	того или иного	3	4
11	на самом деле	2	3
12	как раз и	1	3
13	и не может	2	3
14	и в то	1	3
15	в зависимости от	1	3
16	но и в	2	3
17	в большинстве случаев	1	3
18	не в том	1	3
19	в том смысле	1	3
20	так и в	1	3
21	для того чтобы	1	3
22	в этом смысле	1	2
23	в отличие от	5	2
24	не входит в	1	2
25	ни в чем	1	2
26	том что искусство	1	2
27	к тому что	3	2
28	в том что	8	2
29	что иное как	1	1
30	прежде всего на	1	1
31	иметь в виду	1	1
32	как бы не	1	1
33	более или менее	1	1
34	в этом последнем	1	1
35	с одной стороны	5	1
36	самим собой но	1	1
37	до сих пор	1	1
38	в таком случае	1	1
39	и в других	1	1
40	и так или	1	1
41	процессе перехода от	1	1
42	усилия на то	1	1
43	вследствие того что	1	1
44	но они не	1	1
45	в той мере	2	1
46	том или ином	1	1
47	на этот вопрос	1	1
48	во всей его	1	1
49	а все остальное	1	1
50	в противном случае	1	1
51	т п все	1	1
52	исследования в области	1	1
53	в том или	1	1
54	быть самим собой	1	1
55	в данном случае	6	1
56	однако и здесь	1	1
57	п все эти	1	1
58	но при этом	3	1
59	в том как	2	1
60	не в слове	1	1
61	и не могли	1	1
62	так или иначе	1	1
63	то что он	1	1
64	является не только	1	1
65	между двумя полюсами	1	1
66	мере в какой	2	1
67	свои усилия на	1	1
68	не для того	1	1
69	есть не что	1	1
70	только в качестве	1	1
71	и тем самым	2	1
72	несмотря на свой	1	1
73	по аналогии с	1	1
74	оно не является	1	1
75	не что иное	1	1
76	тем не менее	4	1
77	в процессе перехода	1	1
78	на то чтобы	2	1
79	той мере в	2	1
80	но и к	1	1
81	особое место в	2	1
82	в чем не	1	1
