N	3gram	Medvedev_F_2	Hudozhes
1	в отличие от	2	7
2	то же время	5	6
3	в то же	5	6
4	более или менее	1	5
5	с другой стороны	3	5
6	в том что	2	5
7	с точки зрения	7	3
8	тем не менее	1	3
9	того или иного	4	3
10	в этом смысле	2	3
11	что в основе	1	2
12	как бы не	1	2
13	в таком случае	1	2
14	и в то	3	2
15	но он не	1	2
16	во всей его	1	2
17	в противном случае	1	2
18	до известной степени	3	2
19	в значительной степени	3	2
20	с одной стороны	1	2
21	так или иначе	1	2
22	в свою очередь	1	2
23	для того чтобы	3	2
24	к тому что	2	2
25	и прежде всего	2	2
26	сама по себе	1	2
27	дистанции между ними	1	1
28	в нем определенные	1	1
29	что иное как	1	1
30	здесь и теперь	4	1
31	иметь в виду	1	1
32	в виду что	1	1
33	прежде всего в	2	1
34	тем самым по	1	1
35	имеем в виду	1	1
36	в настоящее время	1	1
37	иметь место в	1	1
38	в этом случае	1	1
39	в одной из	1	1
40	не было и	2	1
41	и соответствующих форм	1	1
42	том случае если	1	1
43	в зависимости от	3	1
44	можно говорить о	1	1
45	что он не	1	1
46	не входит в	2	1
47	бы то ни	1	1
48	вследствие того что	1	1
49	только то что	1	1
50	из того что	1	1
51	с самим собою	1	1
52	том или ином	1	1
53	одной из своих	1	1
54	по крайней мере	1	1
55	то или иное	1	1
56	именно в этом	1	1
57	в том случае	2	1
58	может быть и	3	1
59	события в этом	1	1
60	в особенности в	1	1
61	не совпадает с	1	1
62	в художественном произведении	1	1
63	к вопросу о	1	1
64	в той мере	1	1
65	все без исключения	2	1
66	не могут быть	4	1
67	и в этой	2	1
68	в том или	1	1
69	в связи с	10	1
70	и глубже чем	1	1
71	высказывания как целого	1	1
72	она могла бы	1	1
73	есть не что	1	1
74	по себе а	2	1
75	не была бы	1	1
76	это и есть	1	1
77	в истории литературы	2	1
78	и тем самым	1	1
79	мы имеем в	1	1
80	мере в какой	1	1
81	об отсутствии в	1	1
82	таким образом с	1	1
83	не что иное	1	1
84	той мере в	1	1
85	вещи но и	1	1
86	то что они	1	1
87	не может быть	10	1
88	как и в	1	1
89	на фоне этой	1	1
