N	2gram	Tiupa_Lite_2	Narrotol
1	не только	8	32
2	может быть	17	25
3	но и	10	23
4	в качестве	5	21
5	и не	11	20
6	то есть	5	19
7	и в	19	19
8	в том	10	18
9	в этом	9	17
10	в тексте	1	16
11	не в	4	14
12	в частности	4	14
13	том что	7	14
14	состоит в	9	13
15	представляет собой	2	12
16	тогда как	9	12
17	в рамках	4	12
18	своего рода	13	12
19	коммуникативного события	2	12
20	а не	20	12
21	то что	7	11
22	а в	3	11
23	точки зрения	4	10
24	не может	9	10
25	при этом	6	9
26	в мире	9	9
27	так и	7	9
28	в его	4	9
29	со стороны	3	9
30	в себе	6	8
31	и т.п	10	8
32	с другой	8	8
33	не является	2	8
34	героя в	2	8
35	еще не	2	7
36	по отношению	4	7
37	как в	1	7
38	все же	2	7
39	в случае	1	7
40	как и	10	7
41	к тому	1	7
42	и т.д	7	7
43	а также	2	7
44	с одной	7	7
45	одной стороны	6	7
46	такого рода	9	7
47	но не	5	6
48	то в	2	6
49	на протяжении	1	6
50	тем самым	3	6
51	в себя	3	6
52	о том	2	6
53	что он	3	6
54	именно в	1	6
55	как это	2	6
56	отношению к	3	6
57	иначе говоря	1	6
58	том числе	2	6
59	но в	2	6
60	не все	1	5
61	отличие от	1	5
62	отнюдь не	4	5
63	и как	3	5
64	уже не	2	5
65	в этой	3	5
66	далеко не	1	5
67	в отличие	1	5
68	в основе	2	5
69	и его	3	5
70	картина мира	2	5
71	себя в	6	5
72	или иной	1	5
73	мира в	2	5
74	в данном	3	5
75	можно сказать	1	5
76	не предполагает	1	5
77	речь идет	3	4
78	переход от	1	4
79	данном случае	3	4
80	то же	12	4
81	из которых	2	4
82	здесь не	1	4
83	как правило	3	4
84	в противовес	3	4
85	за собой	1	4
86	в нем	3	4
87	в принципе	5	4
88	и с	3	4
89	было бы	2	4
90	не мог	1	4
91	по характеристике	2	4
92	пока еще	1	4
93	связи с	1	4
94	числе и	1	4
95	той или	1	4
96	не столько	3	4
97	одного из	1	4
98	основе своей	1	4
99	же время	9	4
100	во втором	1	4
101	хотя бы	2	4
102	в пространстве	1	4
103	при всей	2	4
104	у него	2	4
105	в особенности	1	4
106	что не	2	4
107	прежде всего	4	4
108	как бы	2	4
109	же в	2	4
110	одной из	2	4
111	героя и	1	4
112	другой стороны	4	4
113	это и	1	3
114	в первом	1	3
115	же как	2	3
116	в сущности	3	3
117	жизни как	2	3
118	и он	3	3
119	в ней	4	3
120	и на	6	3
