N	3gram	Vygotskiy__5	VrazhdaK
1	в то же	1	4
2	в связи с	1	3
3	с точки зрения	9	2
4	и что в	1	2
5	не может быть	3	2
6	в том что	11	2
7	да и в	1	1
8	и уже по	1	1
9	в этом смысле	1	1
10	в том же	1	1
11	а тем более	1	1
12	на первый план	1	1
13	до сих пор	3	1
14	и не может	2	1
15	в той же	2	1
16	объяснить то что	1	1
17	не было бы	1	1
18	в этом отношении	5	1
19	независимо от того	1	1
20	в этот период	2	1
21	но мы знаем	1	1
22	и то что	2	1
23	одно и то	1	1
24	не имеет никаких	1	1
25	но и это	1	1
26	о том как	2	1
27	так же как	7	1
28	к вопросу о	1	1
29	в высшей степени	2	1
30	и то же	1	1
31	но при этом	2	1
32	по нашему мнению	1	1
33	в известном смысле	7	1
34	а с другой	2	1
35	уже на пороге	2	1
36	во всяком случае	1	1
37	с другой стороны	2	1
38	тем самым он	1	1
39	шаг за шагом	1	1
40	тем не менее	1	1
41	есть все основания	1	1
42	последовательность в развитии	1	1
43	что в этой	1	1
44	заключается в том	5	1
45	в то время	4	1
46	его отношение к	2	1
47	в свою очередь	3	1
48	о том что	4	1
49	и никогда не	1	1
50	не только не	3	1
51	но в этом	1	1
52	что уже в	1	1
53	то что они	2	1
