N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	56
2	то есть	12	24
3	в романе	3	21
4	в его	6	18
5	таким образом	3	17
6	все эти	2	15
7	в этом	8	14
8	в том	16	13
9	так и	10	13
10	в то	6	12
11	и его	8	12
12	то же	7	11
13	в них	2	11
14	в этих	3	11
15	и т.п	4	11
16	как бы	5	11
17	и до	1	10
18	еще не	4	10
19	же время	5	10
20	в самом	4	9
21	и не	13	9
22	только в	6	9
23	но и	9	9
24	в сущности	1	8
25	во всех	1	8
26	не только	16	8
27	в нем	4	8
28	и их	1	8
29	и даже	2	8
30	и др	1	8
31	по своему	2	8
32	все это	2	8
33	том что	9	8
34	и на	1	7
35	в большинстве	2	7
36	как мы	1	7
37	у него	1	7
38	в частности	16	7
39	той же	1	6
40	в ее	5	6
41	в этой	3	6
42	но в	9	6
43	на его	1	6
44	точки зрения	9	6
45	вовсе не	3	6
46	мы видим	1	6
47	связи с	1	6
48	большинстве случаев	1	6
49	прежде всего	2	6
50	в той	2	6
51	все они	1	6
52	потому что	3	6
53	одним из	2	5
54	с ее	3	5
55	с его	5	5
56	но не	9	5
57	в пределах	5	5
58	он не	3	5
59	роль в	2	5
60	в отношении	3	5
61	своего рода	7	5
62	никогда не	4	5
63	в области	4	5
64	один из	2	5
65	не было	1	5
66	как и	4	5
67	в условиях	1	5
68	в результате	1	5
69	что в	9	5
70	и другие	2	5
71	они не	1	5
72	ту же	1	4
73	например в	1	4
74	и потому	2	4
75	других языков	1	4
76	но по	1	4
77	за пределы	2	4
78	и к	3	4
79	в которой	2	4
80	что это	1	4
81	в себе	9	4
82	при этом	12	4
83	их в	3	4
84	что все	1	4
85	начала и	1	4
86	тарасе бульбе	2	4
87	и ее	3	4
88	и более	1	4
89	даже в	3	4
90	того чтобы	1	4
91	по своей	3	4
92	наконец в	1	4
93	времени и	2	4
94	о том	1	4
95	с одной	2	4
96	в качестве	24	4
97	так как	1	4
98	в особенности	1	4
99	в тарасе	2	4
100	в эпизоде	3	4
101	в основе	3	4
102	в своих	1	4
103	и четвертой	1	3
104	в году	1	3
105	в их	2	3
106	на них	1	3
107	в своем	4	3
108	перед нами	2	3
109	первой части	2	3
110	слова и	1	3
111	имен и	1	3
112	не в	7	3
113	но он	3	3
114	в таких	1	3
115	и эпизод	1	3
116	казалось бы	2	3
117	в форме	2	3
118	настоящего времени	1	3
119	рядом с	1	3
120	здесь мы	1	3
121	вещами и	1	3
122	и о	4	3
123	в другом	3	3
124	и здесь	2	3
125	и т.д	3	3
126	а также	6	3
127	времени в	2	3
128	это была	1	3
129	между тем	5	3
130	в литературе	2	3
131	одной из	2	3
132	так что	1	3
133	уже не	4	3
134	что и	2	3
135	может быть	17	3
136	к которому	3	3
137	еще и	1	3
138	что для	1	3
139	более того	1	3
140	не на	2	3
141	сказать что	3	3
142	с помощью	1	3
143	к его	2	3
144	образом и	1	3
145	в первой	5	3
146	в систему	1	3
147	в связи	1	3
148	не подлежит	1	3
149	бы в	1	3
150	то что	3	3
151	речи и	2	3
152	том числе	2	3
153	также и	1	2
154	и то	2	2
155	персонажей в	1	2
156	и чрезвычайно	1	2
157	по преимуществу	4	2
158	на две	3	2
159	действительности и	1	2
160	и конечно	1	2
161	бы то	1	2
162	взгляде на	1	2
163	с другой	7	2
164	совсем не	1	2
165	что они	1	2
166	в центре	1	2
167	как к	2	2
168	хотя и	3	2
169	целый ряд	1	2
170	и как	2	2
171	в действительности	1	2
172	в груди	1	2
173	за это	1	2
174	в нашем	4	2
175	языка а	1	2
176	еще один	1	2
177	с их	2	2
178	и те	1	2
179	что она	2	2
180	ни было	1	2
181	в узком	3	2
182	для понимания	2	2
183	картины мира	1	2
184	и такие	1	2
185	но дело	1	2
186	в мире	19	2
187	его в	2	2
188	здесь как	1	2
189	в речевом	1	2
190	ни в	2	2
191	с тем	1	2
192	в слове	3	2
193	и некоторые	2	2
194	или менее	2	2
195	для него	2	2
196	в своей	6	2
197	с точки	3	2
198	друг другу	1	2
199	если бы	3	2
200	не могли	1	2
201	между людьми	1	2
202	на котором	1	2
203	дело в	2	2
204	дело не	2	2
205	и вещи	1	2
206	с одним	1	2
207	смыслу и	1	2
208	ему и	1	2
209	языков в	1	2
210	в каком	1	2
211	числе и	1	2
212	той или	1	2
213	существенное значение	1	2
214	этот язык	1	2
215	данном случае	5	2
216	только не	2	2
217	то время	1	2
218	и сам	1	2
219	с собой	1	2
220	две части	1	2
221	мире в	1	2
222	можно сказать	3	2
223	в значительной	1	2
224	к нему	1	2
225	во всей	1	2
226	не тот	1	2
227	было бы	1	2
228	но с	1	2
229	что он	1	2
230	действующих лиц	1	2
231	это не	2	2
232	на мир	1	2
233	ничто не	1	2
234	только на	1	2
235	в известном	1	2
236	из них	1	2
237	в одном	2	2
238	к ним	1	2
239	как раз	2	2
240	для того	1	2
241	момент в	1	2
242	человека и	1	2
243	и глубже	1	2
244	далеко не	2	2
245	нового времени	3	2
246	говорит о	1	2
247	одной стороны	2	2
248	а на	3	2
249	то ни	1	2
250	языка в	4	2
251	точек зрения	1	2
252	и исторической	1	2
253	не может	4	2
254	о себе	2	2
255	вместе с	2	2
256	так же	2	2
257	в данном	8	2
258	границ между	2	2
259	с некоторыми	1	2
260	в точке	2	2
261	а не	9	2
262	и для	2	2
263	мира и	1	2
264	на языке	2	2
265	а в	13	2
266	между ними	4	2
267	другой стороны	5	2
268	от всех	1	2
269	более или	2	2
270	говоря о	3	1
271	лишь ее	1	1
272	как целому	1	1
