N	3gram	Tiupa_Disk_1	Dialekti
1	с точки зрения	1	14
2	в таком случае	1	10
3	тем не менее	1	10
4	не может быть	3	6
5	сам по себе	1	5
6	по крайней мере	2	5
7	о том что	5	5
8	подобно тому как	2	4
9	и не только	2	3
10	как раз и	1	3
11	сами по себе	2	3
12	с одной стороны	9	3
13	в том что	13	3
14	как и в	1	3
15	и прежде всего	1	3
16	на то что	1	3
17	не только о	1	2
18	не говоря уже	2	2
19	того или иного	1	2
20	он не может	1	2
21	как и все	1	2
22	тот или иной	2	2
23	говоря уже о	2	2
24	из того что	1	2
25	тем более не	1	2
26	одно и то	1	2
27	что не есть	1	2
28	и то же	1	2
29	с другой стороны	3	2
30	во всяком случае	1	2
31	не может существовать	1	2
32	это и есть	1	2
33	той или иной	3	2
34	к тому же	4	2
35	том что в	2	1
36	в чистом виде	1	1
37	что каждый из	1	1
38	потому что в	1	1
39	но и о	1	1
40	на самом деле	1	1
41	потому что каждый	1	1
42	и в особенности	2	1
43	и даже не	1	1
44	как точка зрения	1	1
45	сюда же относятся	1	1
46	внимание на то	1	1
47	то же самое	2	1
48	одной стороны и	2	1
49	до сих пор	1	1
50	и не может	1	1
51	и в то	1	1
52	в этом отношении	1	1
53	перед нами не	1	1
54	а иногда и	1	1
55	только потому что	1	1
56	между мифом и	2	1
57	в данном случае	2	1
58	далеко не всегда	1	1
59	может и должен	1	1
60	в разные эпохи	1	1
61	и как бы	3	1
62	каждый из них	1	1
63	не в том	3	1
64	имеем дело не	1	1
65	так и от	1	1
66	и в том	1	1
67	содержит в себе	1	1
68	требует для себя	1	1
69	более или менее	2	1
70	с той или	1	1
71	ни к чему	1	1
72	то же время	4	1
73	может быть ни	1	1
74	в нем нет	1	1
75	к чему не	1	1
76	легко заметить что	1	1
77	а не от	1	1
78	в конечном счете	1	1
79	речь идет о	1	1
80	если бы я	1	1
81	и все прочие	1	1
82	в то же	3	1
83	в связи с	1	1
84	возможна только в	1	1
85	тех или иных	1	1
86	говорить не только	1	1
87	что в них	1	1
88	в себе не	1	1
89	которое несмотря на	1	1
