N	2gram	Tiupa_Hudo_1	Istorich
1	т е	4	29
2	что он	9	24
3	и т	11	19
4	т д	3	18
5	не только	12	18
6	может быть	5	17
7	и в	14	15
8	никогда не	6	15
9	но и	5	14
10	так как	1	14
11	а в	7	12
12	знаем что	1	12
13	то что	8	12
14	что в	6	12
15	об этом	5	11
16	в этих	5	11
17	и не	2	11
18	в этом	11	11
19	мы знаем	2	11
20	что они	1	10
21	его в	3	10
22	то же	9	10
23	еще не	7	9
24	в другом	2	9
25	все же	3	9
26	потому что	5	9
27	с тем	1	9
28	связи с	4	8
29	он не	4	8
30	один из	4	8
31	сих пор	2	7
32	не в	7	7
33	ничего не	8	7
34	в нем	3	7
35	том что	16	7
36	видно что	2	6
37	мы здесь	1	6
38	связана с	1	6
39	до сих	2	6
40	так что	2	6
41	в том	12	6
42	в его	8	6
43	только в	5	6
44	мы уже	4	6
45	и что	2	6
46	но в	5	6
47	как бы	7	6
48	в связи	3	5
49	не может	7	5
50	прежде всего	11	5
51	дочь в	1	5
52	а не	12	5
53	в одном	1	5
54	этого не	1	5
55	что она	4	5
56	к тому	7	5
57	на него	2	5
58	с этим	3	5
59	же как	2	5
60	она не	4	5
61	этого мотива	1	5
62	так и	13	5
63	что при	3	5
64	было бы	6	5
65	как в	8	5
66	можно было	5	5
67	но все	1	5
68	в русской	4	5
69	все эти	3	4
70	в себе	11	4
71	и с	4	4
72	для нас	1	4
73	вопрос о	2	4
74	но он	3	4
75	и др	1	4
76	к этой	3	4
77	и другие	1	4
78	тем что	3	4
79	его и	1	4
80	одной из	2	4
81	но они	1	4
82	они не	2	4
83	не будем	1	4
84	и они	1	4
85	мы должны	1	4
86	в другой	1	4
87	в одной	2	4
88	как она	2	4
89	в этой	8	4
90	при этом	12	4
91	у него	9	4
92	с одной	1	4
93	и на	3	4
94	три года	1	4
95	у нее	2	4
96	в ней	4	4
97	о нем	3	4
98	но это	1	4
99	из этих	1	3
100	и его	5	3
101	на то	4	3
102	уже знаем	2	3
103	отношению к	8	3
104	всех этих	1	3
105	что после	1	3
106	мы не	2	3
107	как это	1	3
108	уже на	1	3
109	то чего	1	3
110	так в	2	3
111	в их	2	3
112	эти слова	2	3
113	как он	2	3
114	не мог	1	3
115	в себя	2	3
116	того что	4	3
117	что этот	1	3
118	мог бы	1	3
119	в качестве	9	3
120	на печке	1	3
121	и это	4	3
122	же и	1	3
