N	2gram	Medvedev_V_1	Analitik
1	в этом	1	18
2	и в	2	16
3	в частности	1	16
4	и не	1	12
5	том что	2	12
6	в том	2	12
7	в самом	1	6
8	столь же	1	4
9	то же	1	4
10	в конце	2	4
11	только в	1	4
12	и его	1	4
13	все это	1	4
14	и то	1	3
15	в их	1	3
16	по крайней	1	3
17	сводится к	1	3
18	и т.д	1	3
19	крайней мере	1	3
20	именно в	1	3
21	по поводу	1	3
22	в значительной	1	2
23	значительной степени	1	2
24	в устах	1	2
25	ведь это	1	2
26	по существу	1	2
27	речи и	1	2
28	к этому	1	2
29	самом деле	1	1
30	бы уже	1	1
31	я не	1	1
32	и способами	1	1
33	далеко не	1	1
34	прозы в	1	1
35	имеется в	1	1
36	том же	1	1
37	сколь и	1	1
38	потому что	1	1
39	одно и	1	1
40	и заключается	1	1
41	в другом	1	1
42	хотя бы	1	1
43	так как	1	1
44	даже не	1	1
45	уже известно	1	1
46	да и	1	1
47	другое дело	1	1
48	тем более	1	1
49	ни к	1	1
50	но это	1	1
