N	3gram	Bakhtin_sl_2	Stilisti
1	в то же	4	9
2	в зависимости от	4	7
3	то же время	4	7
4	для того чтобы	2	7
5	с точки зрения	3	5
6	того или иного	1	5
7	в свою очередь	2	4
8	с самого начала	1	4
9	той или иной	5	4
10	в этом случае	6	3
11	в той же	1	3
12	но и в	1	3
13	не только в	2	3
14	но все же	4	3
15	как мы уже	2	3
16	как мы видели	1	3
17	и не только	1	2
18	и точек зрения	1	2
19	и в то	1	2
20	что язык не	1	2
21	в этом отношении	3	2
22	в значительной степени	6	2
23	но в то	3	2
24	мы не знаем	1	2
25	не может быть	15	2
26	в точном смысле	2	2
27	о том что	1	2
28	в связи с	2	2
29	тех или иных	1	2
30	все то что	1	2
31	мы видели что	1	2
32	как к своему	1	1
33	иметь дело с	2	1
34	есть может быть	1	1
35	его и в	1	1
36	хотя бы только	1	1
37	по отношению к	4	1
38	более или менее	2	1
39	не только о	2	1
40	для всех его	1	1
41	и в особенности	2	1
42	имеет первостепенное значение	1	1
43	таким образом речь	1	1
44	же время и	1	1
45	и богаче и	1	1
46	для наших целей	1	1
47	свое выражение в	1	1
48	то есть к	1	1
49	действительность но и	1	1
50	не здесь а	1	1
51	до сих пор	2	1
52	лишь при условии	1	1
53	в собственном смысле	3	1
54	слов и выражений	1	1
55	жизни и в	1	1
56	между языком и	3	1
57	хотя бы и	2	1
58	не с помощью	1	1
59	в большинстве случаев	5	1
60	в процессе развития	1	1
61	в дальнейшей истории	1	1
62	приходится иметь дело	2	1
63	он просто не	1	1
64	и не могут	1	1
65	точки зрения и	1	1
66	тем не менее	1	1
67	в нашем случае	1	1
68	с языком и	1	1
69	иметь в виду	1	1
70	так и от	1	1
71	гораздо более сложный	1	1
72	правда и в	1	1
73	и в романе	2	1
74	между этими двумя	1	1
75	влияние и на	1	1
76	неразрывно связано с	1	1
77	по ту сторону	1	1
78	таким образом в	1	1
79	человека в свою	1	1
80	мы не можем	1	1
81	только одна из	1	1
82	не может не	1	1
83	своего собеседника на	1	1
84	не только не	1	1
85	и не может	1	1
86	слово как предмет	3	1
87	различные отношения к	1	1
88	слове в языке	1	1
89	и как мы	1	1
90	с другой стороны	1	1
91	для этого необходимо	1	1
92	и ту же	1	1
93	уже не только	1	1
94	это как бы	1	1
95	что язык и	1	1
96	одну и ту	1	1
97	в том что	4	1
98	слово как таковое	1	1
99	перед нами не	1	1
100	как и в	1	1
101	мы увидим что	1	1
102	в пределах одного	7	1
103	и даже на	2	1
104	тот факт что	2	1
