N	3gram	Voloshinov_2	TeoriaLi
1	по отношению к	8	8
2	в отличие от	3	7
3	в то же	8	6
4	в том что	6	6
5	то же время	8	6
6	того или иного	2	5
7	не сводится к	1	5
8	более или менее	2	4
9	в конечном счете	1	4
10	можно сказать что	1	3
11	с другой стороны	1	3
12	той или иной	4	3
13	тем не менее	1	3
14	в свою очередь	5	3
15	так или иначе	1	2
16	с одной стороны	3	2
17	в данный момент	1	2
18	как и в	1	2
19	в сочетании с	1	2
20	в противном случае	2	2
21	а с другой	1	2
22	и того же	4	2
23	внутренней и внешней	2	2
24	тот или иной	1	2
25	и то же	3	2
26	и его внешней	1	2
27	то что они	1	2
28	одно и то	3	2
29	всех без исключения	2	2
30	но он не	1	2
31	одного и того	4	2
32	в равной степени	1	2
33	в русской литературе	1	2
34	не может быть	10	2
35	с точки зрения	13	2
36	в соответствии с	1	2
37	в таком случае	3	1
38	место лишь в	1	1
39	и соответствующих форм	1	1
40	добро и зло	1	1
41	в том числе	1	1
42	между ним и	1	1
43	в большинстве случаев	5	1
44	бы то ни	4	1
45	в данном высказывании	1	1
46	по себе а	1	1
47	ни в коем	2	1
48	в следующей главе	2	1
49	которого только и	1	1
50	в связи с	7	1
51	но в то	5	1
52	отношению к нему	1	1
53	в первую очередь	1	1
54	до известной степени	1	1
55	бы они ни	1	1
56	– это еще	1	1
57	может быть признано	1	1
58	– не может	1	1
59	может быть и	5	1
60	для того чтобы	6	1
61	только при условии	1	1
62	не совпадает с	1	1
63	то ни было	4	1
64	же время они	1	1
65	тем или иным	1	1
66	их отношении к	1	1
67	о том что	3	1
68	с другой –	1	1
69	в коем случае	2	1
70	таком случае это	2	1
71	является как бы	1	1
72	в значительной степени	2	1
73	в этом случае	1	1
74	в статье о	1	1
75	к чему не	1	1
76	текста но и	1	1
77	к вопросу о	1	1
78	в их отношении	1	1
79	то или иное	1	1
80	же время эти	1	1
81	не могут быть	1	1
82	и прежде всего	2	1
83	искусства и религии	1	1
84	чужой речи и	2	1
85	ни к чему	1	1
86	коем случае не	1	1
87	форм высказывания в	1	1
88	в форме определенной	1	1
89	дело в том	1	1
90	том что он	2	1
91	в данном контексте	2	1
92	в той или	3	1
93	том числе и	1	1
94	в отношении к	4	1
95	они ни были	1	1
96	высказывания как целого	2	1
97	отношении к нему	1	1
98	к тому же	2	1
99	по крайней мере	2	1
