N	3gram	Losev_Vlad_1	EvropaiE
1	в то же	4	15
2	то же время	4	14
3	и в то	2	8
4	с одной стороны	1	8
5	в том что	7	6
6	для того чтобы	2	5
7	бы то ни	1	4
8	не только в	2	4
9	то ни было	1	4
10	и в этом	1	4
11	в этом смысле	4	3
12	в этом отношении	1	3
13	во всяком случае	2	3
14	можно сказать что	2	3
15	в известной степени	1	3
16	в последние годы	1	3
17	того что в	1	2
18	не говоря уже	1	2
19	нам кажется что	1	2
20	согласно сказанному выше	1	2
21	и в частности	2	2
22	но в то	1	2
23	заключается в том	1	2
24	и только в	1	2
25	так и в	1	2
26	с другой стороны	3	2
27	не может быть	3	2
28	в свою очередь	1	2
29	на то что	4	2
30	во второй половине	1	2
31	а не к	1	1
32	мы хотели бы	3	1
33	из всего этого	1	1
34	приняли на себя	1	1
35	о том насколько	1	1
36	как и теперь	1	1
37	дело в том	4	1
38	что в основных	1	1
39	более или менее	3	1
40	также и в	1	1
41	в том же	1	1
42	что же касается	4	1
43	как и другие	1	1
44	говоря уже о	1	1
45	не будет ли	1	1
46	быть речи о	1	1
47	и для всех	1	1
48	с тем что	1	1
49	может быть речи	1	1
50	что в этот	1	1
51	поскольку она не	1	1
52	в значительной мере	1	1
53	в течение этого	1	1
54	если этот факт	1	1
55	на этот раз	4	1
56	и тот же	2	1
57	смысле этого слова	1	1
58	а также и	1	1
59	то время как	1	1
60	в связи с	1	1
61	а также о	1	1
62	до настоящего времени	1	1
63	указать на то	1	1
64	один и тот	2	1
65	тогда как и	1	1
66	в переводе на	1	1
67	в то время	2	1
68	как это мы	2	1
69	и тем самым	1	1
70	но и для	1	1
71	во всем его	1	1
72	к тому что	1	1
73	в себе не	1	1
74	к тому же	2	1
75	и т д	2	1
